InstrumentName, Rocky Flats - North
StartTime, 2020-09-01 00:00:00
EndTime, 2020-09-30 23:59:59
Date,O3
09/14/2020 15:00:00.000000,43.0
09/14/2020 16:00:00.000000,42.0
09/14/2020 17:00:00.000000,47.0
09/14/2020 18:00:00.000000,54.0
09/14/2020 19:00:00.000000,52.0
09/14/2020 20:00:00.000000,51.0
09/14/2020 21:00:00.000000,52.0
09/14/2020 22:00:00.000000,58.0
09/14/2020 23:00:00.000000,59.0
09/15/2020 00:00:00.000000,57.0
09/15/2020 01:00:00.000000,58.0
09/15/2020 02:00:00.000000,56.0
09/15/2020 03:00:00.000000,53.0
09/15/2020 04:00:00.000000,52.0
09/15/2020 05:00:00.000000,54.0
09/15/2020 06:00:00.000000,49.0
09/15/2020 07:00:00.000000,47.0
09/15/2020 08:00:00.000000,45.0
09/15/2020 09:00:00.000000,43.0
09/15/2020 10:00:00.000000,42.0
09/15/2020 11:00:00.000000,43.0
09/15/2020 12:00:00.000000,45.0
09/15/2020 13:00:00.000000,44.0
09/15/2020 14:00:00.000000,44.0
09/15/2020 15:00:00.000000,44.0
09/15/2020 16:00:00.000000,49.0
09/15/2020 17:00:00.000000,52.0
09/15/2020 18:00:00.000000,52.0
09/15/2020 19:00:00.000000,55.0
09/15/2020 20:00:00.000000,56.0
09/15/2020 21:00:00.000000,58.0
09/15/2020 22:00:00.000000,61.0
09/15/2020 23:00:00.000000,59.0
09/16/2020 00:00:00.000000,56.0
09/16/2020 01:00:00.000000,54.0
09/16/2020 02:00:00.000000,51.0
09/16/2020 03:00:00.000000,51.0
09/16/2020 04:00:00.000000,49.0
09/16/2020 05:00:00.000000,47.0
09/16/2020 06:00:00.000000,48.0
09/16/2020 07:00:00.000000,49.0
09/16/2020 08:00:00.000000,50.0
09/16/2020 09:00:00.000000,50.0
09/21/2020 00:00:00.000000,56.0
09/21/2020 01:00:00.000000,55.0
09/21/2020 02:00:00.000000,53.0
09/21/2020 03:00:00.000000,54.0
09/21/2020 04:00:00.000000,52.0
09/21/2020 05:00:00.000000,47.0
09/21/2020 06:00:00.000000,48.0
09/21/2020 07:00:00.000000,47.0
09/21/2020 08:00:00.000000,49.0
09/21/2020 09:00:00.000000,49.0
