InstrumentName, Welby
StartTime, 2021-01-01 00:00:00
EndTime, 2021-01-31 00:00:00
Date,NO2,O3,PM10,SO2
01/01/2021 00:00:00,31.0,13.0,27.0,0.0
01/01/2021 01:00:00,29.0,13.0,22.3,0.0
01/01/2021 02:00:00,37.0,4.0,31.2,0.0
01/01/2021 03:00:00,36.0,3.0,35.5,0.0
01/01/2021 04:00:00,,1.0,44.5,0.0
01/01/2021 05:00:00,39.0,1.0,59.7,0.0
01/01/2021 06:00:00,36.0,1.0,47.0,0.0
01/01/2021 07:00:00,37.0,1.0,52.0,1.0
01/01/2021 08:00:00,39.0,1.0,66.1,1.0
01/01/2021 09:00:00,38.0,1.0,58.6,1.0
01/01/2021 10:00:00,38.0,1.0,31.8,0.0
01/01/2021 11:00:00,40.0,,31.7,1.0
01/01/2021 12:00:00,35.0,,28.5,0.0
01/01/2021 13:00:00,38.0,,18.8,0.0
01/01/2021 14:00:00,39.0,,20.3,0.0
01/01/2021 15:00:00,35.0,4.0,17.4,0.0
01/01/2021 16:00:00,32.0,8.0,20.1,0.0
01/01/2021 17:00:00,24.0,17.0,22.7,0.0
01/01/2021 18:00:00,14.0,31.0,6.7,0.0
01/01/2021 19:00:00,6.0,37.0,5.3,0.0
01/01/2021 20:00:00,7.0,37.0,12.7,0.0
01/01/2021 21:00:00,7.0,37.0,5.9,0.0
01/01/2021 22:00:00,7.0,36.0,8.0,0.0
01/01/2021 23:00:00,10.0,30.0,16.3,0.0
01/02/2021 00:00:00,14.0,22.0,19.9,0.0
01/02/2021 01:00:00,18.0,16.0,13.7,0.0
01/02/2021 02:00:00,24.0,9.0,16.1,0.0
01/02/2021 03:00:00,29.0,2.0,13.5,0.0
01/02/2021 04:00:00,,1.0,24.6,1.0
01/02/2021 05:00:00,35.0,1.0,30.2,0.0
01/02/2021 06:00:00,36.0,1.0,22.9,0.0
01/02/2021 07:00:00,35.0,1.0,18.6,0.0
01/02/2021 08:00:00,35.0,1.0,17.9,0.0
01/02/2021 09:00:00,35.0,1.0,14.2,0.0
01/02/2021 10:00:00,36.0,1.0,8.1,0.0
01/02/2021 11:00:00,34.0,,5.4,0.0
01/02/2021 12:00:00,32.0,,14.2,1.0
01/02/2021 13:00:00,33.0,,21.2,1.0
01/02/2021 14:00:00,37.0,,25.9,2.0
01/02/2021 15:00:00,38.0,5.0,20.1,1.0
01/02/2021 16:00:00,34.0,11.0,35.2,1.0
01/02/2021 17:00:00,23.0,23.0,19.1,0.0
01/02/2021 18:00:00,15.0,31.0,13.5,0.0
01/02/2021 19:00:00,11.0,35.0,11.1,1.0
01/02/2021 20:00:00,8.0,39.0,14.6,0.0
01/02/2021 21:00:00,7.0,36.0,58.8,0.0
01/02/2021 22:00:00,12.0,28.0,41.2,0.0
01/02/2021 23:00:00,7.0,37.0,9.0,0.0
01/03/2021 00:00:00,5.0,39.0,3.2,0.0
01/03/2021 01:00:00,3.0,42.0,8.8,0.0
01/03/2021 02:00:00,4.0,41.0,5.3,0.0
01/03/2021 03:00:00,3.0,42.0,7.9,0.0
01/03/2021 04:00:00,,42.0,3.1,0.0
01/03/2021 05:00:00,2.0,43.0,2.5,0.0
01/03/2021 06:00:00,2.0,42.0,2.3,0.0
01/03/2021 07:00:00,2.0,43.0,3.7,0.0
01/03/2021 08:00:00,1.0,44.0,4.1,0.0
01/03/2021 09:00:00,2.0,43.0,3.4,0.0
01/03/2021 10:00:00,4.0,40.0,4.6,0.0
01/03/2021 11:00:00,32.0,10.0,16.9,0.0
01/03/2021 12:00:00,42.0,4.0,14.2,0.0
01/03/2021 13:00:00,23.0,20.0,18.2,0.0
01/03/2021 14:00:00,37.0,7.0,8.6,2.0
01/03/2021 15:00:00,35.0,12.0,18.6,2.0
01/03/2021 16:00:00,25.0,22.0,16.6,2.0
01/03/2021 17:00:00,20.0,26.0,17.3,2.0
01/03/2021 18:00:00,14.0,33.0,11.0,1.0
01/03/2021 19:00:00,7.0,40.0,25.0,0.0
01/03/2021 20:00:00,1.0,43.0,15.7,0.0
01/03/2021 21:00:00,2.0,44.0,20.2,0.0
01/03/2021 22:00:00,2.0,44.0,29.7,0.0
01/03/2021 23:00:00,1.0,45.0,18.3,0.0
01/04/2021 00:00:00,2.0,44.0,14.9,0.0
01/04/2021 01:00:00,3.0,42.0,12.4,0.0
01/04/2021 02:00:00,6.0,37.0,6.4,0.0
01/04/2021 03:00:00,1.0,41.0,10.2,0.0
01/04/2021 04:00:00,,39.0,7.6,0.0
01/04/2021 05:00:00,2.0,40.0,1.1,0.0
01/04/2021 06:00:00,1.0,42.0,5.8,0.0
01/04/2021 07:00:00,1.0,40.0,2.3,0.0
01/04/2021 08:00:00,3.0,36.0,13.1,0.0
01/04/2021 09:00:00,10.0,26.0,15.3,0.0
01/04/2021 10:00:00,8.0,33.0,,0.0
01/04/2021 11:00:00,9.0,31.0,13.2,0.0
01/04/2021 12:00:00,25.0,17.0,11.6,0.0
01/04/2021 13:00:00,42.0,0.0,43.5,0.0
01/04/2021 14:00:00,43.0,1.0,43.9,0.0
01/04/2021 15:00:00,42.0,,60.4,1.0
01/04/2021 16:00:00,40.0,8.0,68.8,
01/04/2021 17:00:00,24.0,21.0,24.9,0.0
01/04/2021 18:00:00,14.0,31.0,13.9,0.0
01/04/2021 19:00:00,10.0,35.0,11.7,1.0
01/04/2021 20:00:00,7.0,37.0,20.9,0.0
01/04/2021 21:00:00,6.0,38.0,21.9,0.0
01/04/2021 22:00:00,,37.0,31.7,0.0
01/04/2021 23:00:00,,26.0,47.1,0.0
01/05/2021 00:00:00,30.0,7.0,73.9,0.0
01/05/2021 01:00:00,32.0,4.0,45.2,0.0
01/05/2021 02:00:00,31.0,1.0,39.8,0.0
01/05/2021 03:00:00,33.0,1.0,40.8,0.0
01/05/2021 04:00:00,,1.0,48.3,1.0
01/05/2021 05:00:00,32.0,1.0,39.0,1.0
01/05/2021 06:00:00,32.0,1.0,33.8,1.0
