InstrumentName, La Casa
StartTime, 2021-01-01 00:00:00
EndTime, 2021-01-31 00:00:00
Date,CO,NO2,O3,PM10,PM2.5,SO2
01/01/2021 00:00:00,0.405,36.0,8.0,37.2,15.5,0.0
01/01/2021 01:00:00,0.456,41.0,4.0,34.4,14.3,0.0
01/01/2021 02:00:00,0.578,43.0,1.0,37.6,17.0,0.0
01/01/2021 03:00:00,0.705,43.0,1.0,55.7,21.9,0.0
01/01/2021 04:00:00,0.724,41.0,1.0,46.6,25.0,0.0
01/01/2021 05:00:00,0.763,,2.0,48.8,29.8,0.0
01/01/2021 06:00:00,0.865,41.0,1.0,48.9,27.7,1.0
01/01/2021 07:00:00,0.992,42.0,1.0,66.3,41.8,
01/01/2021 08:00:00,1.091,41.0,2.0,66.3,43.3,2.0
01/01/2021 09:00:00,1.203,40.0,1.0,65.7,43.9,2.0
01/01/2021 10:00:00,0.986,36.0,1.0,54.7,36.7,1.0
01/01/2021 11:00:00,0.896,35.0,0.0,40.8,28.2,1.0
01/01/2021 12:00:00,0.864,36.0,0.0,34.0,23.1,1.0
01/01/2021 13:00:00,0.832,37.0,0.0,28.6,19.5,2.0
01/01/2021 14:00:00,0.705,36.0,0.0,20.7,12.9,1.0
01/01/2021 15:00:00,0.759,35.0,2.0,21.0,12.6,1.0
01/01/2021 16:00:00,0.695,36.0,3.0,21.2,12.0,1.0
01/01/2021 17:00:00,0.57,29.0,11.0,19.4,10.1,1.0
01/01/2021 18:00:00,0.293,15.0,27.0,13.7,5.6,0.0
01/01/2021 19:00:00,0.233,12.0,33.0,10.7,4.0,0.0
01/01/2021 20:00:00,0.21,8.0,36.0,10.3,3.9,0.0
01/01/2021 21:00:00,0.188,5.0,39.0,9.1,3.3,0.0
01/01/2021 22:00:00,0.219,6.0,39.0,8.0,3.0,0.0
01/01/2021 23:00:00,0.226,10.0,34.0,7.5,2.6,0.0
01/02/2021 00:00:00,0.463,32.0,10.0,19.0,4.8,0.0
01/02/2021 01:00:00,0.824,39.0,1.0,33.8,9.3,0.0
01/02/2021 02:00:00,1.087,36.0,0.0,35.4,10.4,1.0
01/02/2021 03:00:00,1.07,37.0,1.0,33.9,14.0,1.0
