InstrumentName, I-25 Globeville
StartTime, 2021-02-01 00:00:00
EndTime, 2021-02-28 00:00:00
Date,NO2,PM2.5
02/01/2021 00:00:00,28.0,5.6
02/01/2021 01:00:00,45.0,9.0
02/01/2021 02:00:00,54.0,13.7
02/01/2021 03:00:00,,14.8
02/01/2021 04:00:00,,11.1
02/01/2021 05:00:00,41.0,6.7
02/01/2021 06:00:00,42.0,8.2
02/01/2021 07:00:00,43.0,10.5
02/01/2021 08:00:00,48.0,12.8
02/01/2021 09:00:00,43.0,9.8
02/01/2021 10:00:00,45.0,13.4
02/01/2021 11:00:00,57.0,13.6
02/01/2021 12:00:00,54.0,12.8
02/01/2021 13:00:00,48.0,11.4
02/01/2021 14:00:00,52.0,14.6
02/01/2021 15:00:00,54.0,18.4
02/01/2021 16:00:00,52.0,17.3
02/01/2021 17:00:00,,13.1
02/01/2021 18:00:00,,7.4
02/01/2021 19:00:00,,5.3
02/01/2021 20:00:00,,5.9
02/01/2021 21:00:00,,7.7
02/01/2021 22:00:00,,13.9
02/01/2021 23:00:00,45.0,18.6
02/02/2021 00:00:00,45.0,17.9
02/02/2021 01:00:00,52.0,17.5
02/02/2021 02:00:00,53.0,22.1
02/02/2021 03:00:00,55.0,25.9
02/02/2021 04:00:00,,25.9
02/02/2021 05:00:00,55.0,26.8
02/02/2021 06:00:00,47.0,19.5
02/02/2021 07:00:00,46.0,17.8
02/02/2021 08:00:00,46.0,18.5
02/02/2021 09:00:00,39.0,12.2
02/02/2021 10:00:00,42.0,14.3
02/02/2021 11:00:00,39.0,9.0
02/02/2021 12:00:00,42.0,8.2
02/02/2021 13:00:00,44.0,9.7
02/02/2021 14:00:00,44.0,11.2
02/02/2021 15:00:00,47.0,12.6
02/02/2021 16:00:00,46.0,13.5
02/02/2021 17:00:00,41.0,9.6
02/02/2021 18:00:00,31.0,7.2
02/02/2021 19:00:00,22.0,4.9
02/02/2021 20:00:00,28.0,7.8
02/02/2021 21:00:00,24.0,6.3
02/02/2021 22:00:00,9.0,2.5
02/02/2021 23:00:00,14.0,5.5
02/03/2021 00:00:00,30.0,7.7
02/03/2021 01:00:00,42.0,11.6
02/03/2021 02:00:00,45.0,10.4
02/03/2021 03:00:00,45.0,11.2
02/03/2021 04:00:00,,12.0
02/03/2021 05:00:00,36.0,7.7
02/03/2021 06:00:00,36.0,6.9
02/03/2021 07:00:00,35.0,7.0
02/03/2021 08:00:00,36.0,7.0
02/03/2021 09:00:00,32.0,5.7
02/03/2021 10:00:00,30.0,3.9
02/03/2021 11:00:00,33.0,4.9
02/03/2021 12:00:00,44.0,10.1
02/03/2021 13:00:00,40.0,9.0
02/03/2021 14:00:00,39.0,9.5
02/03/2021 15:00:00,48.0,13.4
02/03/2021 16:00:00,38.0,10.0
02/03/2021 17:00:00,29.0,7.8
02/03/2021 18:00:00,20.0,4.5
02/03/2021 19:00:00,17.0,5.5
02/03/2021 20:00:00,15.0,22.6
02/03/2021 21:00:00,13.0,10.4
02/03/2021 22:00:00,19.0,3.2
02/03/2021 23:00:00,24.0,4.1
02/04/2021 00:00:00,21.0,4.4
02/04/2021 01:00:00,21.0,2.5
02/04/2021 02:00:00,7.0,2.1
02/04/2021 03:00:00,8.0,2.8
02/04/2021 04:00:00,,6.8
02/04/2021 05:00:00,10.0,4.2
02/04/2021 06:00:00,7.0,3.5
02/04/2021 07:00:00,4.0,1.9
02/04/2021 08:00:00,5.0,1.0
02/04/2021 09:00:00,10.0,0.9
02/04/2021 10:00:00,20.0,2.0
02/04/2021 11:00:00,29.0,3.1
02/04/2021 12:00:00,35.0,3.8
02/04/2021 13:00:00,38.0,5.2
02/04/2021 14:00:00,36.0,7.5
02/04/2021 15:00:00,24.0,5.5
02/04/2021 16:00:00,20.0,6.8
02/04/2021 17:00:00,13.0,4.0
