InstrumentName, SAMS
StartTime, 2021-04-01 00:00:00
EndTime, 2021-04-30 00:00:00
Date,42603,68108,85101,Ambient Avg Temperature,Barometric pressure,Carbon monoxide,Nitric oxide,Nitrogen dioxide,PM10 Total 0-10um STP,PM2.5 - Local Conditions,Relative Humidity,Wind Direction,Wind speed
04/20/2021 22:44:00,5.9,,5.081081,,,0.16,1.3,4.5,,4.7,,88.3,2.3
04/20/2021 22:45:00,5.6,,5.573684,,,0.16,1.2,4.3,,5.0,,74.6,1.8
04/20/2021 22:46:00,5.3,,4.571795,,,0.16,1.1,4.1,,4.5,,48.2,1.8
04/20/2021 22:47:00,5.3,,4.775676,,,0.16,1.1,4.1,,4.7,,64.2,2.1
04/20/2021 22:48:00,5.5,,7.341026,,,0.17,1.3,4.2,,5.9,,70.5,2.0
04/20/2021 22:49:00,5.6,,9.305263,,,0.22,1.3,4.2,,6.8,,99.7,0.7
04/20/2021 22:50:00,5.5,,4.871053,,,0.18,1.3,4.2,,4.8,,34.3,1.1
04/20/2021 22:51:00,5.8,,5.884211,,,0.16,1.5,4.3,,5.0,,91.7,2.4
04/20/2021 22:52:00,6.1,,7.268421,,,0.17,1.6,4.4,,4.9,,123.7,1.9
04/20/2021 22:53:00,6.2,,6.339474,,,0.17,1.6,4.5,,5.0,,75.5,0.5
04/20/2021 22:54:00,6.3,,6.418919,,,0.16,1.6,4.6,,4.8,,86.7,2.1
04/20/2021 22:55:00,6.3,,8.036667,,,0.15,1.7,4.6,,5.5,,100.3,2.1
04/20/2021 22:56:00,6.1,,6.4,,,0.16,1.5,4.6,,4.9,,123.1,1.3
04/20/2021 22:57:00,6.3,,6.794595,,,0.17,1.5,4.8,,4.7,,78.3,3.7
04/20/2021 22:58:00,6.4,,4.966667,,,0.15,1.5,4.9,,4.8,,80.0,3.1
04/20/2021 22:59:00,6.4,,5.535,,,0.17,1.4,5.0,,5.1,,65.0,2.8
04/20/2021 23:00:00,6.4,,6.508108,,,0.18,1.4,5.0,,5.8,,37.7,2.0
04/20/2021 23:01:00,6.5,,6.768,,,0.17,1.4,5.1,,5.9,,23.6,1.8
04/20/2021 23:02:00,6.4,,4.92973,,,0.16,1.4,5.0,,4.9,,97.0,2.0
04/20/2021 23:03:00,6.2,,5.108571,,,0.15,1.3,4.9,,5.0,,120.9,1.2
04/20/2021 23:04:00,6.2,,5.392105,,,0.16,1.3,4.8,,5.3,,109.2,2.9
04/20/2021 23:05:00,6.0,,5.374359,,,0.16,1.2,4.7,,4.8,,85.6,3.2
04/20/2021 23:06:00,5.9,,6.927027,,,0.16,1.2,4.7,,5.5,,69.8,3.0
04/20/2021 23:07:00,5.7,,6.679487,,,0.16,1.1,4.5,,5.9,,82.4,2.4
04/20/2021 23:08:00,5.8,,5.48,,,0.16,1.1,4.7,,4.8,,58.3,2.7
04/20/2021 23:09:00,5.9,,6.307895,,,0.16,1.1,4.7,,5.2,,90.8,2.5
04/20/2021 23:10:00,6.0,,8.355,,,0.17,1.2,4.8,,4.7,,88.3,2.4
04/20/2021 23:11:00,6.1,,11.64359,,,0.17,1.2,4.9,,5.2,,65.1,1.8
04/20/2021 23:12:00,6.0,,4.473684,,,0.18,1.2,4.8,,4.4,,77.2,1.6
04/20/2021 23:13:00,5.9,,4.740541,,,0.18,1.1,4.7,,4.7,,92.6,1.8
04/20/2021 23:14:00,5.7,,4.963636,,,0.15,1.1,4.6,,4.9,,117.7,1.8
04/20/2021 23:15:00,5.4,,8.948649,,,0.15,1.0,4.4,,5.2,,89.7,1.1
04/20/2021 23:16:00,5.1,,13.948718,,,0.17,0.9,4.2,,6.3,,96.6,1.0
04/20/2021 23:17:00,5.2,,9.444444,,,0.15,0.9,4.2,,6.6,,75.1,3.2
04/20/2021 23:18:00,5.2,,6.247368,,,0.17,0.9,4.2,,5.5,,70.8,2.7
04/20/2021 23:19:00,5.2,,7.075,,,0.17,0.9,4.3,,5.3,,62.8,2.1
04/20/2021 23:20:00,5.2,,8.851351,,,0.17,0.9,4.2,,5.9,,24.3,2.2
04/20/2021 23:21:00,5.3,,5.332432,,,0.18,0.9,4.3,,4.8,,70.7,2.0
04/20/2021 23:22:00,5.7,,6.083784,,,0.19,1.1,4.5,,5.3,,66.1,1.8
04/20/2021 23:23:00,5.8,,6.1,,,0.19,1.1,4.7,,5.7,,90.4,3.1
04/20/2021 23:24:00,6.1,0.817,6.813514,2.0,,0.17,1.2,4.9,,6.1,0.8,91.4,2.8
04/20/2021 23:25:00,6.0,0.817,5.702778,2.0,,0.18,1.2,4.8,,5.4,0.9,112.4,1.8
04/20/2021 23:26:00,6.1,0.817,4.894595,2.0,,0.17,1.2,4.8,,4.9,0.8,99.1,2.5
04/20/2021 23:27:00,6.3,0.814,9.625,2.0,,0.17,1.2,5.0,,5.0,1.5,87.3,0.6
04/20/2021 23:28:00,6.7,,4.9,,,0.17,1.4,5.2,,4.9,,79.5,1.5
04/20/2021 23:29:00,6.9,0.817,6.588235,2.0,,0.17,1.4,5.4,,5.7,1.3,59.4,2.1
04/20/2021 23:30:00,6.9,0.817,7.631579,2.0,,0.19,1.4,5.4,,6.3,1.3,68.5,1.4
04/20/2021 23:31:00,6.8,0.817,5.036842,2.0,,0.18,1.4,5.4,,5.0,0.6,77.0,1.6
04/20/2021 23:32:00,6.7,0.817,5.471429,2.0,,0.17,1.3,5.3,,5.4,0.3,84.2,1.4
04/20/2021 23:33:00,6.9,0.817,7.158824,2.0,,0.18,1.4,5.5,,5.7,1.3,102.8,2.4
04/20/2021 23:34:00,6.8,0.817,7.592308,2.0,,0.16,1.3,5.4,,4.9,0.9,75.7,2.5
04/20/2021 23:35:00,6.5,0.817,6.926316,2.0,,0.16,1.2,5.3,,5.4,0.5,77.8,1.9
04/20/2021 23:36:00,6.3,0.817,9.478947,2.0,,0.17,1.1,5.2,,6.2,0.8,82.2,2.9
04/20/2021 23:37:00,5.8,0.817,7.089189,1.7,,0.16,0.9,4.9,,5.6,0.9,64.4,1.4
04/20/2021 23:38:00,5.6,0.817,6.105714,1.3,,0.17,0.9,4.7,,5.4,0.5,91.2,1.9
04/20/2021 23:39:00,5.6,0.817,6.582051,1.6,,0.17,0.9,4.7,,5.7,1.1,87.3,1.5
04/20/2021 23:41:00,6.0,,4.7,,,0.17,1.0,5.0,,4.7,,114.6,1.0
04/20/2021 23:42:00,6.0,0.817,4.871053,2.0,,0.17,1.0,5.0,,4.8,1.3,118.8,1.0
04/20/2021 23:43:00,6.1,0.817,5.507895,2.0,,0.17,1.0,5.0,,5.2,1.6,68.0,1.5
