InstrumentName, Melody-Catalpa B
StartTime, 2021-05-01 00:00:00
EndTime, 2021-05-31 00:00:00
Date,PM2.5,humidity,temp_f
05/01/2021 00:03:44,4.77,,
05/01/2021 00:05:44,5.12,,
05/01/2021 00:07:44,2.24,,
05/01/2021 00:09:44,2.59,,
05/01/2021 00:11:44,20.26,,
05/01/2021 00:13:44,30.68,,
05/01/2021 00:15:44,13.22,,
05/01/2021 00:17:44,2.95,,
05/01/2021 00:19:44,1.84,,
05/01/2021 00:21:44,1.75,,
05/01/2021 00:23:44,2.07,,
05/01/2021 00:25:44,1.67,,
05/01/2021 00:27:44,1.58,,
05/01/2021 00:29:44,2.04,,
05/01/2021 00:31:44,2.29,,
05/01/2021 00:33:44,1.66,,
05/01/2021 00:35:44,1.79,,
05/01/2021 00:37:44,1.24,,
05/01/2021 00:39:45,1.64,,
05/01/2021 00:41:44,1.42,,
05/01/2021 00:43:44,1.88,,
05/01/2021 00:45:44,2.16,,
05/01/2021 00:47:44,2.29,,
05/01/2021 00:49:44,1.92,,
05/01/2021 00:51:45,2.98,,
05/01/2021 00:53:45,1.97,,
05/01/2021 00:55:45,1.41,,
05/01/2021 00:57:45,2.0,,
05/01/2021 00:59:45,1.49,,
05/01/2021 01:01:45,1.89,,
05/01/2021 01:03:45,1.27,,
05/01/2021 01:05:45,1.47,,
05/01/2021 01:07:45,2.23,,
05/01/2021 01:09:45,1.62,,
05/01/2021 01:11:45,1.2,,
05/01/2021 01:13:45,1.91,,
05/01/2021 01:15:45,1.95,,
05/01/2021 01:17:45,1.89,,
05/01/2021 01:19:45,2.17,,
05/01/2021 01:21:45,2.21,,
05/01/2021 01:23:45,2.0,,
05/01/2021 01:25:45,1.49,,
05/01/2021 01:27:45,1.72,,
05/01/2021 01:29:45,2.24,,
05/01/2021 01:31:45,1.53,,
05/01/2021 01:33:45,1.93,,
05/01/2021 01:35:45,1.97,,
05/01/2021 01:37:45,1.75,,
05/01/2021 01:39:45,1.58,,
05/01/2021 01:41:45,2.82,,
05/01/2021 01:43:45,12.02,,
05/01/2021 01:45:45,14.64,,
05/01/2021 01:47:45,6.69,,
05/01/2021 01:49:45,4.64,,
05/01/2021 01:51:45,3.23,,
05/01/2021 01:53:45,2.91,,
05/01/2021 01:55:45,2.11,,
05/01/2021 01:57:45,2.92,,
05/01/2021 01:59:45,2.85,,
05/01/2021 02:01:45,2.86,,
05/01/2021 02:03:45,2.56,,
05/01/2021 02:05:45,3.17,,
05/01/2021 02:07:45,2.53,,
05/01/2021 02:09:45,2.93,,
05/01/2021 02:11:45,3.12,,
05/01/2021 02:13:45,3.31,,
05/01/2021 02:15:45,2.53,,
05/01/2021 02:17:45,2.36,,
05/01/2021 02:19:45,2.73,,
05/01/2021 02:21:45,2.81,,
05/01/2021 02:23:45,2.41,,
05/01/2021 02:25:45,2.61,,
05/01/2021 02:27:45,2.67,,
05/01/2021 02:29:45,2.81,,
05/01/2021 02:31:45,2.28,,
05/01/2021 02:33:45,1.88,,
05/01/2021 02:35:45,2.28,,
05/01/2021 02:37:45,1.72,,
05/01/2021 02:39:45,2.26,,
05/01/2021 02:41:45,2.25,,
05/01/2021 02:43:45,2.19,,
05/01/2021 02:45:45,2.58,,
05/01/2021 02:47:45,2.34,,
05/01/2021 02:49:45,2.25,,
05/01/2021 02:51:46,2.12,,
05/01/2021 02:53:46,2.07,,
05/01/2021 02:55:46,2.43,,
05/01/2021 02:57:46,2.07,,
05/01/2021 02:59:46,2.33,,
05/01/2021 03:03:46,2.22,,
05/01/2021 03:07:46,1.41,,
05/01/2021 03:09:46,2.12,,
05/01/2021 03:11:46,2.07,,
05/01/2021 03:13:46,2.46,,
05/01/2021 03:15:46,2.4,,
05/01/2021 03:17:46,1.81,,
05/01/2021 03:19:46,3.0,,
05/01/2021 03:21:46,2.92,,
05/01/2021 03:23:46,2.6,,
05/01/2021 03:25:46,2.79,,
05/01/2021 03:27:46,2.97,,
05/01/2021 03:29:46,2.47,,
05/01/2021 03:31:46,2.49,,
05/01/2021 03:33:46,3.38,,
05/01/2021 03:35:46,3.19,,
05/01/2021 03:37:46,3.81,,
05/01/2021 03:39:46,3.02,,
05/01/2021 03:41:46,2.84,,
05/01/2021 03:43:46,3.09,,
05/01/2021 03:45:46,2.43,,
05/01/2021 03:47:46,3.34,,
05/01/2021 03:49:46,3.2,,
05/01/2021 03:51:46,4.07,,
05/01/2021 03:53:47,3.61,,
05/01/2021 03:55:47,3.73,,
05/01/2021 03:57:47,3.66,,
05/01/2021 03:59:47,3.64,,
05/01/2021 04:03:47,3.2,,
05/01/2021 04:05:47,3.12,,
