InstrumentName, Canary-S-DU2
StartTime, 2021-06-01 00:00:00
EndTime, 2021-06-30 00:00:00
Date,F1,F3,F4,Hmdty,Lat,Long,PM10,PM102,PM1_0,PM1_02,PM2_5,PM2_52,Sig,Temp,Time,Uncertainty,datetime,source_device
06/02/2021 06:47:31,0.0,0.0,0.0,99.9,,,1.48,2.39,1.0,1.0,1.48,1.61,10.0,53.24,,858.0,,
06/02/2021 06:48:30,0.0,0.0,0.0,99.9,,,1.72,2.25,1.23,1.02,1.72,1.85,9.0,53.42,,858.0,,
06/02/2021 06:49:31,0.0,0.0,0.0,99.9,,,1.78,1.62,1.3,1.03,1.75,1.6,9.0,53.6,,858.0,,
06/02/2021 06:50:31,0.0,0.0,0.0,99.9,,,1.93,1.88,1.23,1.07,1.73,1.85,9.0,53.78,,858.0,,
06/02/2021 06:51:30,0.0,0.0,0.0,99.9,,,2.15,1.88,1.33,1.08,1.92,1.87,9.0,53.78,,858.0,,
06/02/2021 06:52:31,0.0,0.0,0.0,99.9,,,2.15,1.92,1.42,1.18,1.97,1.9,9.0,53.96,,858.0,,
06/02/2021 06:53:30,0.0,0.0,0.0,99.9,,,2.1,1.8,1.43,1.15,1.77,1.8,10.0,54.14,,858.0,,
06/02/2021 06:54:33,0.0,0.0,0.0,99.9,,,2.3,1.6,1.47,1.05,1.92,1.6,10.0,54.32,,858.0,,
06/02/2021 06:55:31,0.0,0.0,0.0,99.9,,,2.3,1.73,1.42,1.18,1.88,1.65,9.0,54.5,,858.0,,
06/02/2021 06:56:31,0.0,0.0,0.0,99.9,,,1.97,1.85,1.37,1.17,1.72,1.57,10.0,54.5,,858.0,,
06/02/2021 06:57:30,0.0,0.0,0.0,99.9,,,1.63,1.88,1.43,0.9,1.63,1.4,9.0,54.68,,858.0,,
06/02/2021 06:58:31,0.0,0.0,0.0,99.9,,,1.8,1.98,1.4,0.93,1.63,1.4,9.0,54.68,,858.0,,
06/02/2021 06:59:29,0.0,0.0,0.0,99.9,,,2.02,1.78,1.43,1.13,1.85,1.4,10.0,54.86,,858.0,,
06/02/2021 07:00:32,0.0,0.0,0.0,99.9,,,1.9,1.93,1.4,1.25,1.77,1.92,9.0,54.86,,858.0,,
06/02/2021 07:01:30,0.0,0.0,0.0,99.9,,,1.68,1.75,1.17,1.08,1.4,1.73,9.0,55.04,,858.0,,
06/02/2021 07:02:31,0.0,0.0,0.0,99.9,,,1.53,1.5,1.0,0.92,1.43,1.5,10.0,55.04,,858.0,,
06/02/2021 07:03:32,0.0,0.0,0.0,99.9,,,1.9,3.03,1.32,1.47,1.9,2.48,9.0,55.22,,858.0,,
06/02/2021 07:16:29,0.0,0.0,0.0,99.9,,,1.33,1.9,1.0,1.0,1.33,1.9,9.0,55.22,,864.0,,
06/02/2021 07:17:32,0.0,0.0,0.0,99.9,,,1.75,1.87,1.3,0.89,1.68,1.43,9.0,55.58,,864.0,,
                
