InstrumentName, STRIVE Prep Kepner (AWCJB9CN_2.2)
StartTime, 2021-06-01 00:00:00
EndTime, 2021-06-30 00:00:00
Date,no2Conc,pm10ConcMass,pm10ConcNum,pm1ConcMass,pm1ConcNum,pm2_5ConcMass,pm2_5ConcMass_p,pm2_5ConcNum,relHumid,temperature
06/10/2021 23:11:44,-51.522461,12.470589,14.312941,6.529412,13.687059,9.588235,,14.225883,29.14168,28.236435
06/10/2021 23:19:13,-61.428993,11.823529,14.442941,6.941176,13.899412,9.470589,,14.39353,26.211948,30.097656
06/10/2021 23:26:43,-71.590088,11.705882,14.610001,6.294117,13.992353,9.352942,,14.527646,23.643854,31.638435
06/10/2021 23:34:12,-79.112267,11.352942,14.431765,6.470588,13.855294,8.941176,,14.378823,23.434805,32.599754
06/10/2021 23:41:42,-83.053665,13.238095,14.915715,6.0,14.39,8.857143,,14.773335,21.814299,33.149841
06/10/2021 23:49:11,-78.505577,11.470589,14.608235,6.235294,13.998824,9.529411,,14.534117,23.237965,33.459602
06/10/2021 23:56:41,-65.484947,15.882353,19.677647,9.235294,18.949413,12.823529,,19.597647,30.80949,33.419548
06/11/2021 00:04:10,-62.816338,16.470589,21.198235,10.470589,20.435883,14.0,,21.152353,32.204166,33.219269
06/11/2021 00:11:39,-68.386902,17.352942,21.607649,10.0,20.755882,14.235294,,21.517059,32.983902,32.850769
06/11/2021 00:19:09,-67.071693,18.058823,22.631763,11.0,21.741177,15.411765,,22.567057,32.521553,32.46891
06/11/2021 00:26:38,-67.105637,16.588236,20.497648,9.823529,19.790588,12.882353,,20.428238,31.631952,32.217896
                
