InstrumentName, West Denver PA-II B
StartTime, 2021-06-01 00:00:00
EndTime, 2021-06-30 00:00:00
Date,PM2.5,humidity,temp_f
06/01/2021 00:01:27,5.53,,
06/01/2021 00:05:26,5.73,,
06/01/2021 00:09:26,5.58,,
06/01/2021 00:13:26,5.77,,
06/01/2021 00:17:26,5.59,,
06/01/2021 00:21:27,5.7,,
06/01/2021 00:25:27,5.92,,
06/01/2021 00:29:28,6.33,,
06/01/2021 00:33:27,7.05,,
06/01/2021 00:37:27,6.98,,
06/01/2021 00:41:27,5.9,,
06/01/2021 00:45:27,6.05,,
06/01/2021 00:51:27,5.52,,
06/01/2021 00:55:27,6.31,,
06/01/2021 00:59:27,5.75,,
06/01/2021 01:03:27,5.46,,
06/01/2021 01:07:27,5.75,,
06/01/2021 01:11:27,5.29,,
06/01/2021 01:13:27,5.33,,
06/01/2021 01:19:27,5.66,,
06/01/2021 01:23:27,5.32,,
06/01/2021 01:27:29,4.71,,
06/01/2021 01:31:29,4.46,,
06/01/2021 01:35:28,4.64,,
06/01/2021 01:39:28,5.0,,
06/01/2021 01:43:28,5.32,,
06/01/2021 01:47:28,5.28,,
06/01/2021 01:51:28,5.71,,
06/01/2021 01:55:28,4.81,,
06/01/2021 01:59:28,4.54,,
06/01/2021 02:03:28,4.93,,
06/01/2021 02:07:28,5.74,,
06/01/2021 02:11:28,4.9,,
06/01/2021 02:15:28,4.65,,
06/01/2021 02:19:28,4.51,,
06/01/2021 02:25:28,4.65,,
06/01/2021 02:29:29,4.21,,
06/01/2021 02:33:29,4.66,,
06/01/2021 02:37:29,4.12,,
06/01/2021 02:41:29,5.05,,
06/01/2021 02:45:29,4.75,,
06/01/2021 02:49:29,4.7,,
06/01/2021 02:53:29,5.23,,
06/01/2021 02:57:29,5.72,,
06/01/2021 03:03:29,6.02,,
06/01/2021 03:07:29,6.9,,
06/01/2021 03:11:29,7.1,,
06/01/2021 03:15:29,7.69,,
06/01/2021 03:19:29,7.58,,
06/01/2021 03:23:29,7.83,,
06/01/2021 03:27:29,7.34,,
06/01/2021 03:31:29,7.12,,
06/01/2021 03:35:29,7.58,,
06/01/2021 03:39:29,7.38,,
06/01/2021 03:43:29,8.24,,
06/01/2021 03:47:29,8.28,,
06/01/2021 03:51:29,8.2,,
06/01/2021 03:55:29,8.24,,
06/01/2021 03:59:29,8.69,,
06/01/2021 04:03:29,9.53,,
06/01/2021 04:07:29,9.6,,
06/01/2021 04:11:29,9.49,,
06/01/2021 04:15:29,9.67,,
06/01/2021 04:19:29,10.15,,
06/01/2021 04:23:29,10.26,,
06/01/2021 04:27:30,11.76,,
06/01/2021 04:31:30,11.03,,
06/01/2021 04:35:30,11.09,,
06/01/2021 04:41:30,10.44,,
06/01/2021 04:45:30,11.39,,
06/01/2021 04:49:30,12.03,,
06/01/2021 04:53:30,11.6,,
06/01/2021 04:57:30,12.38,,
06/01/2021 05:01:30,11.98,,
06/01/2021 05:05:30,13.64,,
06/01/2021 05:09:30,13.11,,
06/01/2021 05:13:30,12.63,,
06/01/2021 05:17:30,12.75,,
06/01/2021 05:21:30,12.22,,
06/01/2021 05:25:30,13.52,,
06/01/2021 05:29:30,13.93,,
06/01/2021 05:33:30,13.12,,
06/01/2021 05:37:30,13.81,,
06/01/2021 05:41:30,14.42,,
06/01/2021 05:45:30,13.53,,
06/01/2021 05:51:30,14.5,,
06/01/2021 05:55:30,15.96,,
06/01/2021 05:59:30,14.92,,
06/01/2021 06:05:30,14.11,,
06/01/2021 06:09:30,14.46,,
06/01/2021 06:13:30,15.3,,
06/01/2021 06:17:30,16.49,,
06/01/2021 06:21:30,14.45,,
06/01/2021 06:25:30,14.78,,
06/01/2021 06:31:31,13.59,,
06/01/2021 06:35:31,13.38,,
06/01/2021 06:39:31,14.03,,
06/01/2021 06:43:31,14.67,,
06/01/2021 06:47:31,13.56,,
06/01/2021 06:51:31,15.77,,
06/01/2021 06:55:31,14.83,,
06/01/2021 06:59:31,15.16,,
06/01/2021 07:03:31,15.07,,
06/01/2021 07:07:31,13.77,,
06/01/2021 07:11:31,15.39,,
06/01/2021 07:15:31,14.83,,
06/01/2021 07:19:31,14.67,,
06/01/2021 07:23:31,13.92,,
06/01/2021 07:27:31,13.59,,
06/01/2021 07:31:32,14.4,,
06/01/2021 07:35:32,13.69,,
06/01/2021 07:39:32,14.38,,
06/01/2021 07:43:32,13.25,,
06/01/2021 07:47:32,13.07,,
06/01/2021 07:51:32,12.55,,
06/01/2021 07:55:32,14.5,,
06/01/2021 07:59:32,13.55,,
06/01/2021 08:03:32,12.25,,
06/01/2021 08:07:32,12.72,,
06/01/2021 08:11:32,13.05,,
06/01/2021 08:15:32,12.79,,
06/01/2021 08:21:32,11.96,,
06/01/2021 08:25:32,12.31,,
06/01/2021 08:29:32,11.81,,
06/01/2021 08:33:32,11.68,,
06/01/2021 08:37:32,11.67,,
06/01/2021 08:41:41,11.58,,
06/01/2021 08:45:48,11.17,,
06/01/2021 08:53:40,11.29,,
06/01/2021 09:05:32,10.64,,
06/01/2021 10:25:06,9.64,,
06/01/2021 10:28:56,9.37,,
06/01/2021 10:36:54,9.14,,
06/01/2021 10:44:55,9.95,,
06/01/2021 11:25:39,8.59,,
06/01/2021 12:02:37,4.82,,
06/01/2021 12:45:20,5.61,,
06/01/2021 12:49:20,6.1,,
06/01/2021 13:05:21,5.41,,
06/01/2021 13:32:15,4.54,,
06/01/2021 15:28:38,4.19,,
06/01/2021 15:38:38,3.6,,
06/01/2021 16:40:23,5.53,,
06/01/2021 17:47:19,4.16,,
06/01/2021 18:24:25,3.25,,
06/01/2021 18:36:13,3.52,,
06/01/2021 18:56:18,2.64,,
06/01/2021 19:16:18,3.03,,
06/01/2021 19:20:20,2.96,,
06/01/2021 19:46:44,2.95,,
06/01/2021 20:04:44,2.66,,
06/01/2021 20:29:39,0.95,,
06/01/2021 20:43:50,0.62,,
06/01/2021 20:47:49,0.68,,
06/01/2021 20:51:49,1.34,,
06/01/2021 20:55:49,1.19,,
06/01/2021 20:59:49,0.56,,
06/01/2021 21:05:49,0.51,,
06/01/2021 21:11:49,0.89,,
06/01/2021 21:17:49,0.35,,
06/01/2021 21:21:49,0.74,,
06/01/2021 21:25:49,0.45,,
06/01/2021 21:29:50,0.81,,
06/01/2021 21:33:49,1.0,,
06/01/2021 21:37:49,0.81,,
06/01/2021 21:41:50,0.69,,
06/01/2021 21:45:50,0.89,,
06/01/2021 21:51:50,0.57,,
06/01/2021 21:55:50,0.81,,
06/01/2021 21:59:50,0.81,,
06/01/2021 22:05:50,1.02,,
06/01/2021 22:09:50,0.85,,
06/01/2021 22:13:50,0.73,,
06/01/2021 22:17:50,1.18,,
06/01/2021 22:21:50,1.28,,
06/01/2021 22:25:50,1.36,,
06/01/2021 22:29:50,1.12,,
06/01/2021 22:33:50,1.36,,
06/01/2021 22:37:50,1.53,,
06/01/2021 22:41:50,0.82,,
06/01/2021 22:43:50,0.74,,
06/01/2021 22:49:50,0.86,,
06/01/2021 22:55:50,0.75,,
06/01/2021 22:59:50,1.0,,
06/01/2021 23:03:50,0.86,,
06/01/2021 23:07:50,0.74,,
06/01/2021 23:11:51,0.82,,
06/01/2021 23:15:50,0.52,,
06/01/2021 23:21:50,1.3,,
06/01/2021 23:25:50,1.59,,
06/01/2021 23:31:50,1.29,,
06/01/2021 23:37:50,2.66,,
06/01/2021 23:41:51,5.52,,
06/01/2021 23:45:51,1.28,,
06/01/2021 23:51:51,3.49,,
06/01/2021 23:55:51,1.64,,
06/02/2021 00:03:51,2.64,,
06/02/2021 00:07:51,1.23,,
06/02/2021 00:11:51,2.29,,
06/02/2021 00:15:51,2.14,,
06/02/2021 00:21:51,2.52,,
06/02/2021 00:25:51,3.97,,
06/02/2021 00:29:51,5.16,,
06/02/2021 00:33:51,3.44,,
06/02/2021 00:37:51,2.68,,
06/02/2021 00:41:52,0.88,,
06/02/2021 00:45:52,3.05,,
06/02/2021 00:49:52,1.36,,
06/02/2021 00:51:52,1.0,,
06/02/2021 00:57:52,3.41,,
06/02/2021 01:05:52,7.05,,
06/02/2021 01:11:52,1.62,,
06/02/2021 01:15:52,2.02,,
06/02/2021 01:21:52,0.76,,
06/02/2021 01:25:52,1.12,,
06/02/2021 01:29:52,1.22,,
06/02/2021 01:35:52,0.61,,
06/02/2021 01:41:52,5.88,,
06/02/2021 01:45:52,2.19,,
06/02/2021 01:49:53,2.55,,
06/02/2021 01:53:53,2.18,,
06/02/2021 01:57:53,7.91,,
06/02/2021 02:01:53,8.27,,
06/02/2021 02:07:53,1.9,,
06/02/2021 02:11:53,3.14,,
06/02/2021 02:15:52,3.07,,
06/02/2021 02:19:52,2.0,,
06/02/2021 02:23:52,2.23,,
06/02/2021 02:27:53,3.36,,
06/02/2021 02:31:53,4.93,,
06/02/2021 02:35:53,4.83,,
06/02/2021 02:39:53,5.18,,
06/02/2021 02:45:54,2.91,,
06/02/2021 02:51:53,3.57,,
06/02/2021 02:55:53,3.58,,
06/02/2021 02:59:53,3.48,,
06/02/2021 03:03:53,3.44,,
06/02/2021 03:07:53,3.42,,
06/02/2021 03:11:53,3.29,,
06/02/2021 03:13:53,3.39,,
06/02/2021 03:19:53,3.12,,
06/02/2021 03:23:53,2.98,,
06/02/2021 03:27:53,3.29,,
06/02/2021 03:31:53,3.54,,
06/02/2021 03:35:53,3.37,,
06/02/2021 03:39:53,3.82,,
06/02/2021 03:43:54,3.53,,
06/02/2021 03:47:54,3.68,,
06/02/2021 03:51:54,3.56,,
06/02/2021 03:55:54,3.45,,
06/02/2021 03:59:54,3.19,,
06/02/2021 04:03:54,4.97,,
06/02/2021 04:09:54,4.2,,
06/02/2021 04:13:54,4.16,,
06/02/2021 04:17:54,4.23,,
06/02/2021 04:21:54,4.23,,
06/02/2021 04:25:54,3.97,,
06/02/2021 04:29:54,4.37,,
06/02/2021 04:33:54,3.81,,
06/02/2021 04:37:54,4.25,,
06/02/2021 04:41:54,4.37,,
06/02/2021 04:45:54,4.75,,
06/02/2021 04:51:54,5.45,,
06/02/2021 04:55:54,5.86,,
06/02/2021 04:59:54,5.21,,
06/02/2021 05:03:54,4.91,,
06/02/2021 05:07:54,5.02,,
06/02/2021 05:11:54,4.74,,
06/02/2021 05:15:54,4.67,,
06/02/2021 05:19:54,4.65,,
06/02/2021 05:23:54,4.72,,
06/02/2021 05:27:54,4.84,,
06/02/2021 05:31:54,5.44,,
06/02/2021 05:35:54,4.76,,
06/02/2021 05:39:54,5.19,,
06/02/2021 05:43:55,4.75,,
06/02/2021 05:47:55,4.47,,
06/02/2021 05:51:55,5.95,,
06/02/2021 05:55:55,5.98,,
06/02/2021 05:59:55,5.34,,
06/02/2021 06:03:55,5.03,,
06/02/2021 06:07:55,5.02,,
06/02/2021 06:11:55,4.78,,
06/02/2021 06:15:55,4.86,,
06/02/2021 06:19:55,5.12,,
06/02/2021 06:23:55,4.38,,
06/02/2021 06:27:55,4.29,,
06/02/2021 06:31:55,4.29,,
06/02/2021 06:35:55,4.29,,
06/02/2021 06:39:55,4.68,,
06/02/2021 06:43:55,4.4,,
06/02/2021 06:47:55,4.32,,
06/02/2021 06:51:55,4.82,,
06/02/2021 06:55:55,4.57,,
06/02/2021 06:59:55,4.34,,
06/02/2021 07:03:55,5.12,,
06/02/2021 07:07:55,5.02,,
06/02/2021 07:11:55,5.58,,
06/02/2021 07:15:55,5.32,,
06/02/2021 07:19:55,6.53,,
06/02/2021 07:23:55,5.03,,
06/02/2021 07:27:55,5.33,,
06/02/2021 07:31:55,6.05,,
06/02/2021 07:35:55,5.47,,
06/02/2021 07:39:55,6.1,,
06/02/2021 07:43:56,6.24,,
06/02/2021 07:47:56,6.24,,
06/02/2021 07:51:56,6.03,,
06/02/2021 07:53:56,6.36,,
06/02/2021 07:59:56,6.47,,
06/02/2021 08:05:56,6.64,,
06/02/2021 08:09:56,6.19,,
06/02/2021 08:13:56,5.3,,
06/02/2021 08:17:56,5.51,,
06/02/2021 08:21:56,5.33,,
06/02/2021 08:25:56,5.58,,
06/02/2021 08:31:58,5.07,,
06/02/2021 08:35:56,4.97,,
06/02/2021 08:39:56,4.61,,
06/02/2021 08:43:56,4.51,,
06/02/2021 08:47:56,4.92,,
06/02/2021 08:51:56,4.28,,
06/02/2021 08:55:56,4.48,,
06/02/2021 09:03:56,3.95,,
06/02/2021 09:07:57,4.58,,
06/02/2021 09:11:57,3.88,,
06/02/2021 09:13:56,4.19,,
06/02/2021 09:19:57,4.0,,
06/02/2021 09:23:56,4.63,,
06/02/2021 09:27:57,4.09,,
06/02/2021 09:31:56,3.85,,
06/02/2021 09:33:56,4.64,,
06/02/2021 09:39:56,4.1,,
06/02/2021 09:43:57,4.43,,
06/02/2021 09:47:57,4.29,,
06/02/2021 09:51:57,4.64,,
