InstrumentName, Chatfield Park
StartTime, 2021-06-01 00:00:00
EndTime, 2021-06-30 00:00:00
Date,O3,PM2.5
06/05/2021 04:00:00,41.0,
06/05/2021 05:00:00,39.0,
06/05/2021 06:00:00,36.0,
06/05/2021 07:00:00,45.0,
06/05/2021 08:00:00,39.0,
06/05/2021 09:00:00,42.0,
06/05/2021 10:00:00,43.0,
06/05/2021 11:00:00,40.0,
06/05/2021 12:00:00,34.0,
06/05/2021 13:00:00,35.0,
06/05/2021 14:00:00,42.0,
06/05/2021 15:00:00,46.0,
06/05/2021 16:00:00,52.0,
06/05/2021 17:00:00,64.0,
06/05/2021 18:00:00,72.0,
06/05/2021 19:00:00,72.0,
06/05/2021 20:00:00,67.0,
06/05/2021 21:00:00,70.0,
06/05/2021 22:00:00,72.0,
06/05/2021 23:00:00,56.0,
06/06/2021 00:00:00,51.0,
06/06/2021 01:00:00,58.0,
06/06/2021 02:00:00,56.0,
06/06/2021 03:00:00,58.0,
06/06/2021 04:00:00,58.0,
06/06/2021 05:00:00,56.0,
06/06/2021 08:00:00,45.0,
06/06/2021 09:00:00,43.0,
06/06/2021 10:00:00,38.0,
06/06/2021 11:00:00,35.0,
06/06/2021 12:00:00,34.0,
06/06/2021 13:00:00,35.0,
06/06/2021 14:00:00,34.0,
06/06/2021 15:00:00,34.0,
06/06/2021 16:00:00,33.0,
06/06/2021 17:00:00,37.0,
06/06/2021 18:00:00,42.0,
06/06/2021 19:00:00,54.0,
06/06/2021 20:00:00,51.0,
06/06/2021 21:00:00,52.0,
06/06/2021 22:00:00,51.0,
06/06/2021 23:00:00,51.0,
06/07/2021 00:00:00,46.0,
06/07/2021 01:00:00,43.0,
06/07/2021 02:00:00,44.0,
06/07/2021 03:00:00,47.0,
06/07/2021 04:00:00,45.0,
06/07/2021 05:00:00,42.0,
06/07/2021 06:00:00,38.0,
06/07/2021 07:00:00,30.0,
06/07/2021 08:00:00,29.0,
06/07/2021 09:00:00,35.0,
06/07/2021 10:00:00,37.0,
06/07/2021 11:00:00,40.0,
06/07/2021 12:00:00,34.0,
