InstrumentName, Woods Park B
StartTime, 2021-07-01 00:00:00
EndTime, 2021-07-31 00:00:00
Date,PM1.0,PM10.0,PM2.5
07/01/2021 00:00:57,17.76,25.93,24.48
07/01/2021 00:02:57,18.02,25.29,24.55
07/01/2021 00:04:57,18.23,26.54,25.68
07/01/2021 00:12:57,17.34,25.95,24.1
07/01/2021 00:14:57,18.48,25.73,24.65
07/01/2021 00:16:57,17.59,24.38,23.81
07/01/2021 00:18:57,16.98,22.74,22.42
07/01/2021 00:20:57,16.59,23.45,22.36
07/01/2021 00:22:57,17.33,24.7,23.93
07/01/2021 00:24:57,17.41,24.49,23.51
07/01/2021 00:26:58,17.34,25.34,24.23
07/01/2021 00:28:58,16.85,23.57,22.22
07/01/2021 00:30:58,16.1,22.41,21.36
07/01/2021 00:32:58,16.75,22.89,22.15
07/01/2021 00:34:58,17.02,24.86,23.03
07/01/2021 00:36:58,16.48,23.59,23.03
07/01/2021 00:38:58,16.31,24.25,22.78
07/01/2021 00:40:58,17.25,23.73,23.62
07/01/2021 00:42:58,16.89,23.84,22.7
07/01/2021 00:44:58,16.14,23.05,21.88
07/01/2021 00:46:58,16.22,22.28,21.74
07/01/2021 00:48:58,15.28,21.98,21.34
07/01/2021 00:50:58,15.84,22.8,21.23
07/01/2021 00:52:58,16.44,22.54,21.44
07/01/2021 00:54:58,15.63,21.58,20.64
07/01/2021 00:56:58,15.84,22.41,20.91
07/01/2021 00:58:58,15.55,22.32,20.96
07/01/2021 01:00:58,15.17,21.61,20.64
07/01/2021 01:02:58,15.51,22.71,21.75
07/01/2021 01:04:58,15.34,21.09,20.38
07/01/2021 01:06:58,16.05,23.49,22.2
07/01/2021 01:08:58,16.97,24.29,22.57
07/01/2021 01:10:58,16.25,21.95,21.22
07/01/2021 01:12:58,15.27,20.75,19.98
07/01/2021 01:14:58,15.49,21.58,20.42
07/01/2021 01:16:58,14.45,20.78,19.95
07/01/2021 01:18:58,14.88,20.62,20.22
07/01/2021 01:20:58,15.5,21.53,20.55
07/01/2021 01:22:58,15.39,22.54,21.04
07/01/2021 01:24:58,15.76,21.95,21.33
07/01/2021 01:26:58,16.75,22.67,22.12
07/01/2021 01:28:59,15.23,21.59,20.7
07/01/2021 01:30:59,14.86,20.95,20.19
07/01/2021 01:32:59,14.97,22.86,21.02
07/01/2021 01:34:59,14.91,21.29,20.07
07/01/2021 01:36:59,15.09,20.3,19.43
07/01/2021 01:38:59,15.25,21.28,20.28
07/01/2021 01:40:59,13.49,19.0,18.47
07/01/2021 01:42:59,14.44,21.58,19.95
07/01/2021 01:44:59,15.02,21.84,20.33
07/01/2021 01:46:59,15.21,20.7,20.14
07/01/2021 01:48:59,14.71,20.92,19.98
07/01/2021 01:50:59,14.63,22.1,20.73
07/01/2021 01:52:59,15.68,21.54,20.28
07/01/2021 01:54:59,15.11,22.42,21.16
07/01/2021 01:56:59,14.31,19.71,19.32
07/01/2021 01:58:59,15.0,20.48,19.81
07/01/2021 02:00:59,14.91,21.47,20.52
07/01/2021 02:02:59,15.41,22.55,21.07
07/01/2021 02:04:59,14.88,21.1,20.05
07/01/2021 02:06:59,13.78,20.27,18.88
07/01/2021 02:08:59,14.54,20.11,19.07
07/01/2021 02:10:59,14.07,19.23,18.34
07/01/2021 02:12:59,15.04,20.51,19.96
07/01/2021 02:14:59,13.8,20.61,19.25
07/01/2021 02:16:59,14.79,21.59,20.59
07/01/2021 02:18:59,14.56,20.65,19.47
07/01/2021 02:20:59,14.11,20.18,19.28
07/01/2021 02:22:59,14.3,20.02,19.07
07/01/2021 02:24:59,14.02,20.49,19.47
07/01/2021 02:26:59,14.89,22.35,21.21
07/01/2021 02:29:01,14.22,20.24,19.05
07/01/2021 02:31:00,13.93,20.07,18.93
07/01/2021 02:34:59,14.25,20.44,19.6
07/01/2021 02:36:59,13.84,20.9,19.71
07/01/2021 02:38:59,14.53,19.83,19.08
07/01/2021 02:40:59,13.98,18.93,18.26
07/01/2021 02:42:59,13.98,19.21,18.49
07/01/2021 02:50:59,13.42,20.53,19.02
07/01/2021 02:52:59,13.45,19.9,18.36
07/01/2021 02:54:59,13.33,18.37,17.58
07/01/2021 02:56:59,13.63,19.23,18.72
07/01/2021 02:58:59,13.38,18.93,18.12
07/01/2021 03:00:59,13.77,19.67,18.74
07/01/2021 03:02:59,13.69,19.29,18.61
07/01/2021 03:04:59,12.34,17.4,16.95
07/01/2021 03:06:59,12.98,18.74,17.84
07/01/2021 03:08:59,12.83,18.0,16.97
07/01/2021 03:10:59,12.56,17.42,16.75
07/01/2021 03:12:59,13.29,19.14,18.31
07/01/2021 03:14:59,13.27,20.0,18.75
07/01/2021 03:16:59,13.88,20.09,19.23
07/01/2021 03:18:59,13.64,18.34,17.59
07/01/2021 03:20:59,12.97,18.0,16.98
07/01/2021 03:22:59,12.11,17.89,16.84
07/01/2021 03:24:59,12.66,16.38,16.02
07/01/2021 03:27:00,11.29,15.88,15.19
07/01/2021 03:29:00,10.87,15.42,14.65
07/01/2021 03:31:00,10.72,14.5,14.05
07/01/2021 03:33:00,10.47,14.93,13.93
07/01/2021 03:35:00,10.67,14.57,14.26
07/01/2021 03:37:00,9.82,14.54,13.54
07/01/2021 03:39:00,10.37,13.46,13.19
07/01/2021 03:41:00,10.34,13.24,13.14
07/01/2021 03:43:00,9.73,13.78,13.24
07/01/2021 03:45:00,9.57,13.11,12.36
07/01/2021 03:47:00,10.07,14.33,13.7
07/01/2021 03:49:00,9.95,14.59,13.47
07/01/2021 03:51:00,10.15,14.08,13.77
07/01/2021 03:53:00,9.7,14.14,13.5
07/01/2021 03:55:00,8.66,12.64,11.77
07/01/2021 03:57:00,9.52,13.33,12.74
07/01/2021 03:59:01,9.32,12.71,12.34
07/01/2021 04:01:00,9.37,13.42,12.74
07/01/2021 04:03:00,8.43,12.84,12.11
07/01/2021 04:05:00,8.46,11.97,11.39
07/01/2021 04:07:00,9.12,12.2,11.9
07/01/2021 04:09:00,8.53,11.64,11.14
07/01/2021 04:11:00,8.5,11.62,11.21
07/01/2021 04:13:00,8.62,12.22,11.12
07/01/2021 04:15:00,8.1,11.03,10.65
07/01/2021 04:17:00,8.29,11.36,11.03
07/01/2021 04:19:00,8.53,11.77,10.89
07/01/2021 04:21:00,8.37,11.18,10.75
07/01/2021 04:23:00,8.46,11.71,11.41
07/01/2021 04:25:00,7.93,11.02,10.48
07/01/2021 04:27:00,7.62,11.11,10.43
07/01/2021 04:29:00,7.57,10.7,10.02
07/01/2021 04:31:00,7.78,10.86,10.38
07/01/2021 04:33:00,7.36,10.27,10.09
07/01/2021 04:35:00,8.0,11.33,10.64
07/01/2021 04:37:01,7.19,10.43,9.88
07/01/2021 04:39:00,7.32,9.64,9.32
07/01/2021 04:41:00,7.39,10.8,10.45
07/01/2021 04:43:00,7.55,10.83,10.52
07/01/2021 04:45:00,7.34,11.12,10.14
07/01/2021 04:47:00,7.53,10.48,9.8
07/01/2021 04:49:00,6.81,9.16,8.95
07/01/2021 04:51:00,7.49,10.79,10.32
07/01/2021 04:53:00,7.13,9.93,9.58
07/01/2021 04:55:00,7.29,11.0,10.34
07/01/2021 04:57:00,7.93,11.82,10.89
07/01/2021 04:59:00,7.52,9.48,9.3
07/01/2021 05:01:00,7.21,10.19,9.66
07/01/2021 05:03:00,7.22,10.77,9.87
07/01/2021 05:05:00,7.09,10.02,9.22
07/01/2021 05:07:00,7.32,10.5,9.41
07/01/2021 05:09:00,7.71,10.69,10.17
07/01/2021 05:11:01,8.12,11.23,10.73
07/01/2021 05:13:01,7.45,9.88,9.62
07/01/2021 05:15:00,7.91,11.34,10.86
07/01/2021 05:17:00,7.89,11.16,10.46
07/01/2021 05:19:00,8.1,11.27,10.93
07/01/2021 05:21:01,7.63,10.78,9.87
07/01/2021 05:23:00,7.49,10.93,10.07
07/01/2021 05:25:00,7.53,10.58,10.04
