InstrumentName, I-25 Denver
StartTime, 2021-08-01 00:00:00
EndTime, 2021-09-01 00:00:00
Date,CO,NO2,PM2.5
08/01/2021 00:00:00,0.587,19.0,29.0
08/01/2021 01:00:00,0.535,17.0,32.5
08/01/2021 02:00:00,0.581,18.0,27.7
08/01/2021 03:00:00,0.464,13.0,32.5
08/01/2021 04:00:00,0.589,,36.6
08/01/2021 05:00:00,0.576,20.0,32.6
08/01/2021 06:00:00,0.481,18.0,31.9
08/01/2021 07:00:00,0.45,15.0,31.4
08/01/2021 08:00:00,0.429,14.0,31.5
08/01/2021 09:00:00,0.539,19.0,32.2
08/01/2021 10:00:00,0.425,15.0,30.2
08/01/2021 11:00:00,0.461,15.0,30.6
08/01/2021 12:00:00,0.549,15.0,32.6
08/01/2021 13:00:00,0.531,12.0,33.1
08/01/2021 14:00:00,0.49,12.0,33.2
08/01/2021 15:00:00,0.466,12.0,32.0
08/01/2021 16:00:00,0.317,7.0,25.6
08/01/2021 17:00:00,0.353,8.0,24.1
08/01/2021 18:00:00,0.35,7.0,24.5
08/01/2021 19:00:00,0.498,12.0,24.2
08/01/2021 20:00:00,0.414,10.0,23.1
08/01/2021 21:00:00,0.357,6.0,21.6
08/01/2021 22:00:00,0.379,5.0,22.0
08/01/2021 23:00:00,0.313,5.0,22.6
08/02/2021 00:00:00,0.332,4.0,26.7
08/02/2021 01:00:00,0.34,6.0,28.2
08/02/2021 02:00:00,0.645,25.0,29.4
08/02/2021 03:00:00,0.71,27.0,33.5
08/02/2021 04:00:00,0.823,,39.1
08/02/2021 05:00:00,0.886,30.0,39.2
08/02/2021 06:00:00,0.553,23.0,35.2
08/02/2021 07:00:00,0.394,14.0,33.6
08/02/2021 08:00:00,0.388,12.0,35.3
08/02/2021 09:00:00,0.368,15.0,34.7
08/02/2021 10:00:00,0.416,19.0,34.0
08/02/2021 11:00:00,0.582,25.0,36.1
08/02/2021 12:00:00,0.885,29.0,39.9
08/02/2021 13:00:00,,31.0,38.3
08/02/2021 14:00:00,0.494,23.0,33.1
08/02/2021 15:00:00,0.437,20.0,31.3
08/02/2021 16:00:00,0.491,21.0,27.5
08/02/2021 17:00:00,0.447,16.0,23.5
08/02/2021 18:00:00,0.514,20.0,18.8
08/02/2021 19:00:00,0.38,10.0,16.3
08/02/2021 20:00:00,0.444,,16.1
08/02/2021 21:00:00,0.386,,15.7
08/02/2021 22:00:00,0.29,14.0,15.2
08/02/2021 23:00:00,0.263,8.0,15.7
08/03/2021 00:00:00,0.741,37.0,17.6
08/03/2021 01:00:00,0.733,28.0,18.1
08/03/2021 02:00:00,0.611,24.0,15.5
08/03/2021 03:00:00,0.371,16.0,5.7
