InstrumentName, Woods Park
StartTime, 2021-09-01 00:00:00
EndTime, 2021-10-01 00:00:00
Date,PM1.0,PM10.0,PM2.5
09/01/2021 00:00:58,0.92,1.63,1.63
09/01/2021 00:02:58,0.76,1.97,1.68
09/01/2021 00:04:58,0.88,1.33,1.29
09/01/2021 00:06:58,0.46,0.84,0.84
09/01/2021 00:08:58,0.53,0.67,0.64
09/01/2021 00:10:58,0.47,1.08,0.85
09/01/2021 00:12:58,0.37,0.91,0.91
09/01/2021 00:14:59,0.64,1.49,1.18
09/01/2021 00:17:02,0.21,0.79,0.69
09/01/2021 00:18:59,0.32,1.16,0.98
09/01/2021 00:20:59,0.34,0.98,0.79
09/01/2021 00:22:59,0.31,0.93,0.68
09/01/2021 00:24:59,0.54,1.17,1.0
09/01/2021 00:26:59,0.12,0.81,0.79
09/01/2021 00:28:59,0.09,0.33,0.33
09/01/2021 00:30:59,0.05,0.44,0.44
09/01/2021 00:32:59,0.0,0.0,0.0
09/01/2021 00:34:59,0.0,0.28,0.11
09/01/2021 00:36:59,0.0,0.48,0.25
09/01/2021 00:38:59,0.09,0.52,0.52
09/01/2021 00:40:59,0.0,0.19,0.19
09/01/2021 00:42:59,0.0,0.1,0.1
09/01/2021 00:44:59,0.0,0.38,0.14
09/01/2021 00:46:59,0.0,0.55,0.21
09/01/2021 00:48:59,0.12,0.58,0.58
09/01/2021 00:50:59,0.0,0.31,0.29
09/01/2021 00:52:59,0.09,0.39,0.39
09/01/2021 00:54:59,0.0,0.28,0.28
09/01/2021 00:56:59,0.0,0.86,0.81
09/01/2021 00:58:59,0.0,0.81,0.67
09/01/2021 01:00:59,0.0,0.1,0.1
09/01/2021 01:02:59,0.0,0.12,0.12
09/01/2021 01:04:59,0.09,0.31,0.31
09/01/2021 01:06:59,0.0,0.41,0.26
09/01/2021 01:08:59,0.0,0.52,0.4
09/01/2021 01:10:59,0.11,0.73,0.66
09/01/2021 01:12:59,0.07,1.03,0.83
09/01/2021 01:14:59,0.2,0.68,0.68
09/01/2021 01:16:59,0.43,0.77,0.77
09/01/2021 01:18:59,0.25,0.76,0.58
09/01/2021 01:20:59,0.1,0.66,0.66
09/01/2021 01:22:59,0.32,0.96,0.93
09/01/2021 01:24:59,0.33,0.95,0.46
09/01/2021 01:26:59,0.0,0.82,0.53
09/01/2021 01:28:59,0.23,0.82,0.63
09/01/2021 01:30:59,0.26,1.0,1.0
09/01/2021 01:32:59,0.18,0.82,0.61
09/01/2021 01:34:59,0.1,0.72,0.57
09/01/2021 01:36:59,0.07,1.08,0.76
09/01/2021 01:38:59,0.26,0.62,0.6
09/01/2021 01:40:59,0.8,1.43,1.3
09/01/2021 01:42:59,0.4,1.22,1.14
09/01/2021 01:44:59,0.5,0.87,0.87
09/01/2021 01:46:59,0.58,0.89,0.7
09/01/2021 01:48:59,0.46,0.79,0.79
09/01/2021 01:50:59,0.4,0.88,0.88
09/01/2021 01:52:59,0.19,0.75,0.66
09/01/2021 01:54:59,0.77,1.0,1.0
09/01/2021 01:56:59,0.43,0.93,0.93
09/01/2021 01:58:59,0.5,1.41,1.04
09/01/2021 02:00:59,0.42,0.86,0.86
09/01/2021 02:02:59,0.16,0.9,0.71
09/01/2021 02:04:59,0.38,1.4,0.97
09/01/2021 02:06:59,0.55,1.62,1.23
09/01/2021 02:08:59,0.42,1.0,1.0
09/01/2021 02:10:59,0.4,0.48,0.48
09/01/2021 02:12:59,0.52,1.22,1.22
09/01/2021 02:15:00,0.71,1.2,1.04
09/01/2021 02:17:00,0.31,0.84,0.7
09/01/2021 02:19:00,0.41,1.05,0.77
09/01/2021 02:21:00,0.48,1.29,1.05
09/01/2021 02:23:00,0.44,0.85,0.85
