InstrumentName, Welby
StartTime, 2021-10-01 00:00:00
EndTime, 2021-11-01 00:00:00
Date,NO2,O3,PM10,SO2
10/01/2021 00:00:00,12.0,27.0,26.6,
10/01/2021 02:00:00,19.0,18.0,26.1,
10/01/2021 03:00:00,18.0,17.0,23.4,
10/01/2021 04:00:00,,13.0,19.0,
10/01/2021 06:00:00,22.0,4.0,31.8,
10/01/2021 07:00:00,23.0,1.0,22.0,
10/01/2021 09:00:00,22.0,1.0,23.4,
10/01/2021 10:00:00,23.0,1.0,30.8,
10/01/2021 11:00:00,24.0,0.0,40.4,
10/01/2021 12:00:00,24.0,0.0,37.5,
10/01/2021 13:00:00,23.0,1.0,42.2,
10/01/2021 14:00:00,15.0,7.0,30.5,0.0
10/01/2021 15:00:00,12.0,13.0,28.2,0.0
10/01/2021 16:00:00,11.0,17.0,26.1,0.0
10/01/2021 17:00:00,13.0,21.0,25.9,0.0
10/01/2021 18:00:00,12.0,26.0,23.5,0.0
10/01/2021 19:00:00,14.0,31.0,27.7,0.0
10/01/2021 20:00:00,13.0,39.0,24.2,0.0
10/01/2021 21:00:00,12.0,44.0,32.3,0.0
10/01/2021 22:00:00,13.0,45.0,24.0,0.0
10/01/2021 23:00:00,11.0,46.0,25.5,0.0
10/02/2021 00:00:00,9.0,42.0,28.8,0.0
10/02/2021 01:00:00,12.0,37.0,36.4,0.0
10/02/2021 03:00:00,20.0,23.0,39.3,0.0
10/02/2021 04:00:00,,20.0,29.1,0.0
10/02/2021 05:00:00,16.0,25.0,26.2,0.0
10/02/2021 06:00:00,12.0,25.0,38.9,0.0
10/02/2021 07:00:00,13.0,21.0,28.5,0.0
10/02/2021 09:00:00,9.0,22.0,27.8,0.0
10/02/2021 10:00:00,14.0,15.0,39.1,0.0
10/02/2021 11:00:00,22.0,3.0,52.9,0.0
10/02/2021 13:00:00,27.0,3.0,52.3,0.0
10/02/2021 14:00:00,34.0,4.0,95.9,1.0
10/02/2021 15:00:00,23.0,19.0,44.2,0.0
10/02/2021 16:00:00,4.0,43.0,21.2,0.0
10/02/2021 17:00:00,2.0,49.0,17.3,0.0
10/02/2021 18:00:00,2.0,54.0,12.8,1.0
10/02/2021 19:00:00,2.0,58.0,9.8,1.0
10/02/2021 20:00:00,2.0,61.0,17.2,0.0
10/02/2021 21:00:00,2.0,62.0,25.9,0.0
10/02/2021 22:00:00,2.0,62.0,15.7,0.0
10/02/2021 23:00:00,1.0,57.0,13.7,0.0
10/03/2021 00:00:00,3.0,51.0,19.8,0.0
10/03/2021 01:00:00,10.0,38.0,30.2,0.0
10/03/2021 02:00:00,23.0,20.0,93.4,0.0
10/03/2021 03:00:00,34.0,6.0,95.3,0.0
10/03/2021 04:00:00,,11.0,44.2,0.0
10/03/2021 05:00:00,32.0,13.0,47.7,0.0
10/03/2021 06:00:00,30.0,10.0,58.0,0.0
10/03/2021 07:00:00,33.0,5.0,51.1,0.0
10/03/2021 09:00:00,30.0,5.0,30.6,0.0
10/03/2021 10:00:00,29.0,5.0,28.7,0.0
10/03/2021 11:00:00,28.0,3.0,27.0,0.0
10/03/2021 12:00:00,30.0,1.0,27.4,0.0
10/03/2021 13:00:00,25.0,6.0,26.8,0.0
10/03/2021 14:00:00,24.0,10.0,24.8,0.0
10/03/2021 15:00:00,23.0,17.0,19.7,0.0
10/03/2021 16:00:00,12.0,32.0,11.2,0.0
10/03/2021 17:00:00,6.0,45.0,6.3,1.0
10/03/2021 18:00:00,2.0,56.0,6.5,0.0
10/03/2021 19:00:00,2.0,59.0,8.7,0.0
10/03/2021 20:00:00,1.0,61.0,8.4,0.0
10/03/2021 21:00:00,2.0,62.0,6.0,0.0
10/03/2021 22:00:00,2.0,63.0,,0.0
10/03/2021 23:00:00,2.0,61.0,15.3,0.0
10/04/2021 00:00:00,8.0,50.0,6.4,0.0
10/04/2021 01:00:00,26.0,23.0,,0.0
10/04/2021 02:00:00,45.0,4.0,154.2,0.0
10/04/2021 03:00:00,43.0,11.0,,0.0
10/04/2021 04:00:00,,18.0,63.9,0.0
10/04/2021 06:00:00,32.0,7.0,33.9,0.0
10/04/2021 07:00:00,37.0,4.0,28.1,0.0
10/04/2021 09:00:00,38.0,0.0,24.4,0.0
10/04/2021 10:00:00,32.0,2.0,28.6,0.0
10/04/2021 11:00:00,36.0,0.0,64.4,0.0
10/04/2021 12:00:00,39.0,0.0,,1.0
10/04/2021 13:00:00,42.0,1.0,154.3,1.0
10/04/2021 15:00:00,31.0,14.0,60.0,1.0
10/04/2021 16:00:00,25.0,22.0,43.8,1.0
10/04/2021 17:00:00,23.0,32.0,43.5,1.0
10/04/2021 18:00:00,11.0,49.0,23.8,1.0
10/04/2021 19:00:00,3.0,54.0,14.5,0.0
10/04/2021 20:00:00,3.0,57.0,7.9,0.0
10/04/2021 21:00:00,2.0,61.0,1.2,0.0
10/04/2021 22:00:00,3.0,61.0,,0.0
10/04/2021 23:00:00,4.0,57.0,,1.0
10/05/2021 01:00:00,10.0,41.0,,0.0
10/05/2021 02:00:00,14.0,31.0,,0.0
10/05/2021 03:00:00,16.0,28.0,,0.0
10/05/2021 04:00:00,,19.0,,0.0
10/05/2021 06:00:00,26.0,13.0,69.8,0.0
10/05/2021 07:00:00,25.0,15.0,40.4,0.0
10/05/2021 09:00:00,11.0,27.0,21.7,0.0
10/05/2021 10:00:00,11.0,22.0,24.7,0.0
10/05/2021 11:00:00,26.0,7.0,,0.0
10/05/2021 12:00:00,37.0,0.0,,1.0
10/05/2021 13:00:00,42.0,1.0,,2.0
10/05/2021 14:00:00,42.0,5.0,,1.0
10/05/2021 16:00:00,24.0,29.0,71.3,0.0
10/05/2021 17:00:00,38.0,25.0,109.5,3.0
10/05/2021 18:00:00,30.0,36.0,72.2,2.0
10/05/2021 19:00:00,14.0,48.0,52.2,0.0
10/05/2021 20:00:00,,56.0,24.1,0.0
10/05/2021 21:00:00,,56.0,8.5,0.0
10/06/2021 02:00:00,,,36.6,
10/06/2021 03:00:00,,,21.1,
10/06/2021 04:00:00,,,19.3,
10/06/2021 05:00:00,,,21.2,
10/06/2021 07:00:00,,,12.9,
10/06/2021 09:00:00,,,22.3,
10/06/2021 10:00:00,,,31.8,
10/06/2021 11:00:00,,,98.9,
10/06/2021 12:00:00,,,165.9,
10/06/2021 13:00:00,,1.0,,
10/06/2021 14:00:00,,8.0,133.7,
10/06/2021 15:00:00,,25.0,,
10/06/2021 17:00:00,16.0,28.0,60.8,0.0
10/06/2021 18:00:00,4.0,44.0,22.8,0.0
10/06/2021 19:00:00,2.0,46.0,15.2,0.0
10/06/2021 20:00:00,4.0,43.0,26.0,0.0
10/06/2021 21:00:00,10.0,51.0,80.3,0.0
10/06/2021 22:00:00,11.0,54.0,105.9,1.0
10/06/2021 23:00:00,10.0,56.0,35.9,0.0
10/07/2021 00:00:00,18.0,45.0,18.3,0.0
10/07/2021 01:00:00,,26.0,9.1,
10/07/2021 03:00:00,,4.0,,
10/07/2021 04:00:00,,6.0,91.7,
10/07/2021 05:00:00,,6.0,39.7,
10/07/2021 06:00:00,,6.0,56.1,
10/07/2021 07:00:00,,15.0,17.1,
10/07/2021 09:00:00,,1.0,48.9,
10/07/2021 10:00:00,,0.0,58.0,
10/07/2021 11:00:00,,0.0,77.5,
10/07/2021 13:00:00,,4.0,33.6,
10/07/2021 14:00:00,,12.0,60.5,
10/07/2021 15:00:00,,19.0,50.8,
10/07/2021 16:00:00,,27.0,24.0,
10/07/2021 17:00:00,,36.0,20.5,
10/07/2021 18:00:00,,42.0,17.4,
10/07/2021 19:00:00,,48.0,13.5,
10/07/2021 20:00:00,,51.0,15.1,
10/07/2021 21:00:00,,52.0,24.7,
10/07/2021 22:00:00,,52.0,23.4,
10/07/2021 23:00:00,,47.0,27.8,
10/08/2021 00:00:00,,36.0,65.1,
10/08/2021 01:00:00,,34.0,67.1,
10/08/2021 02:00:00,,29.0,32.1,
10/08/2021 03:00:00,,28.0,39.5,
10/08/2021 04:00:00,,28.0,33.0,
10/08/2021 05:00:00,,16.0,60.8,
10/08/2021 06:00:00,,11.0,45.3,
10/08/2021 07:00:00,,10.0,28.6,
10/08/2021 09:00:00,,3.0,35.8,
10/08/2021 10:00:00,,5.0,68.6,
10/08/2021 11:00:00,,0.0,92.7,
10/08/2021 12:00:00,,0.0,142.6,
10/08/2021 13:00:00,,1.0,,
10/08/2021 14:00:00,,2.0,162.1,
10/08/2021 15:00:00,,7.0,78.2,
10/08/2021 16:00:00,,15.0,68.0,
10/08/2021 17:00:00,,26.0,39.4,
10/08/2021 19:00:00,,44.0,9.5,
10/08/2021 20:00:00,,45.0,32.4,
10/08/2021 21:00:00,,43.0,34.3,
10/08/2021 22:00:00,,35.0,28.7,
10/08/2021 23:00:00,,31.0,49.4,
10/09/2021 00:00:00,,34.0,67.5,
