InstrumentName, La Casa
StartTime, 2021-10-01 00:00:00
EndTime, 2021-11-01 00:00:00
Date,CO,NO2,O3,PM10,PM2.5,SO2
10/01/2021 02:00:00,0.334,16.0,19.0,22.6,13.4,0.0
10/01/2021 04:00:00,0.286,13.0,17.0,17.8,9.8,0.0
10/01/2021 06:00:00,0.344,16.0,5.0,18.0,,0.0
10/01/2021 07:00:00,0.364,18.0,3.0,21.2,10.8,
10/01/2021 09:00:00,,13.0,12.0,23.7,13.0,0.0
10/01/2021 10:00:00,,17.0,4.0,26.2,14.7,0.0
10/01/2021 11:00:00,,14.0,5.0,20.7,11.8,0.0
10/01/2021 12:00:00,,16.0,2.0,21.9,11.3,0.0
10/01/2021 13:00:00,,20.0,1.0,33.4,12.1,0.0
10/01/2021 14:00:00,,16.0,8.0,31.5,10.6,0.0
10/01/2021 15:00:00,,13.0,15.0,31.7,11.9,0.0
10/01/2021 16:00:00,,14.0,18.0,35.8,13.0,0.0
10/01/2021 17:00:00,,17.0,20.0,40.2,13.5,0.0
10/01/2021 18:00:00,,19.0,21.0,50.7,15.9,0.0
10/01/2021 19:00:00,,19.0,28.0,45.6,15.9,0.0
10/01/2021 20:00:00,,18.0,34.0,49.8,16.5,0.0
10/01/2021 21:00:00,,14.0,41.0,43.2,14.8,0.0
10/01/2021 22:00:00,,10.0,46.0,30.8,10.7,0.0
10/01/2021 23:00:00,,10.0,45.0,26.7,7.6,0.0
10/02/2021 00:00:00,,13.0,41.0,32.1,7.1,0.0
10/02/2021 03:00:00,,25.0,19.0,36.0,11.9,0.0
10/02/2021 04:00:00,,27.0,16.0,39.9,12.9,0.0
10/02/2021 05:00:00,,,17.0,32.8,12.4,0.0
10/02/2021 06:00:00,,16.0,20.0,25.2,10.3,0.0
10/02/2021 07:00:00,,14.0,18.0,27.1,9.8,
10/02/2021 09:00:00,,10.0,22.0,25.1,8.8,0.0
10/02/2021 10:00:00,,11.0,16.0,23.4,8.3,0.0
10/02/2021 11:00:00,,13.0,11.0,22.1,8.4,0.0
10/02/2021 13:00:00,,18.0,4.0,22.7,9.4,0.0
10/02/2021 14:00:00,,21.0,5.0,35.9,12.1,1.0
10/02/2021 15:00:00,,23.0,17.0,40.9,11.9,0.0
10/02/2021 16:00:00,,10.0,40.0,32.7,8.2,0.0
10/02/2021 17:00:00,,5.0,50.0,27.1,6.5,0.0
10/02/2021 18:00:00,,4.0,55.0,23.0,5.5,0.0
10/02/2021 19:00:00,,3.0,59.0,22.0,5.1,0.0
10/02/2021 20:00:00,,4.0,60.0,18.5,5.4,0.0
10/02/2021 21:00:00,,4.0,62.0,24.3,5.8,0.0
10/02/2021 22:00:00,,3.0,64.0,26.8,6.2,0.0
10/02/2021 23:00:00,,4.0,60.0,24.6,5.5,0.0
10/03/2021 00:00:00,,7.0,52.0,23.7,5.5,0.0
10/03/2021 02:00:00,,34.0,9.0,29.3,9.3,0.0
10/03/2021 03:00:00,,28.0,20.0,29.2,9.8,0.0
10/03/2021 04:00:00,,24.0,19.0,29.9,10.4,0.0
10/03/2021 05:00:00,,,13.0,30.6,12.9,0.0
10/03/2021 06:00:00,,24.0,13.0,27.8,11.6,0.0
10/03/2021 07:00:00,,21.0,15.0,24.7,10.8,
10/03/2021 09:00:00,,22.0,8.0,25.5,12.3,0.0
10/03/2021 10:00:00,,17.0,13.0,19.2,9.6,0.0
10/03/2021 11:00:00,,23.0,4.0,20.7,9.4,0.0
10/03/2021 12:00:00,,24.0,3.0,17.7,8.2,0.0
10/03/2021 13:00:00,,21.0,6.0,18.1,8.3,0.0
10/03/2021 14:00:00,,16.0,15.0,17.3,7.0,0.0
10/03/2021 15:00:00,,10.0,27.0,16.9,6.2,0.0
10/03/2021 16:00:00,,8.0,35.0,14.1,5.1,0.0
10/03/2021 17:00:00,,6.0,48.0,10.6,4.4,0.0
10/03/2021 18:00:00,,3.0,56.0,9.4,3.8,0.0
10/03/2021 19:00:00,,2.0,59.0,9.6,3.9,0.0
10/03/2021 20:00:00,,2.0,60.0,9.7,3.8,0.0
10/03/2021 21:00:00,,2.0,61.0,9.3,3.8,0.0
10/03/2021 22:00:00,,3.0,61.0,9.7,3.8,0.0
10/03/2021 23:00:00,,3.0,61.0,10.7,3.9,0.0
10/04/2021 01:00:00,,36.0,14.0,25.2,7.2,0.0
10/04/2021 02:00:00,,34.0,15.0,23.6,8.8,0.0
10/04/2021 03:00:00,,20.0,28.0,18.0,6.3,0.0
10/04/2021 04:00:00,,25.0,17.0,19.6,8.0,0.0
10/04/2021 06:00:00,,29.0,6.0,20.6,8.2,0.0
10/04/2021 07:00:00,,25.0,8.0,17.5,6.6,
10/04/2021 09:00:00,,13.0,18.0,13.9,5.0,0.0
