InstrumentName, CAMP
StartTime, 2021-10-01 00:00:00
EndTime, 2021-11-01 00:00:00
Date,CO,NO2,O3,PM10,PM2.5,SO2
10/01/2021 00:00:00,0.357,14.0,24.0,15.8,13.3,0.0
10/01/2021 02:00:00,0.346,17.0,19.0,22.1,17.9,0.0
10/01/2021 03:00:00,0.33,14.0,20.0,18.8,14.9,0.0
10/01/2021 04:00:00,0.358,,17.0,16.4,13.4,0.0
10/01/2021 06:00:00,0.314,12.0,14.0,19.8,,0.0
10/01/2021 07:00:00,0.301,13.0,15.0,17.4,14.0,0.0
10/01/2021 09:00:00,0.281,14.0,14.0,20.6,16.9,0.0
10/01/2021 10:00:00,0.251,12.0,14.0,19.0,15.6,0.0
10/01/2021 11:00:00,0.323,15.0,10.0,20.7,16.2,0.0
10/01/2021 12:00:00,0.578,23.0,2.0,23.8,17.1,0.0
10/01/2021 13:00:00,0.609,24.0,0.0,27.9,18.9,0.0
10/01/2021 14:00:00,0.585,20.0,4.0,27.6,16.0,0.0
10/01/2021 15:00:00,0.47,20.0,7.0,31.2,18.1,0.0
10/01/2021 16:00:00,0.44,20.0,11.0,32.0,19.3,0.0
10/01/2021 17:00:00,0.469,23.0,12.0,36.2,21.3,0.0
10/01/2021 18:00:00,0.437,22.0,18.0,44.9,21.6,0.0
10/01/2021 19:00:00,0.439,20.0,24.0,38.3,20.0,0.0
10/01/2021 20:00:00,0.434,19.0,29.0,32.3,18.3,0.0
10/01/2021 21:00:00,0.435,18.0,33.0,34.6,17.8,0.0
10/01/2021 22:00:00,0.39,16.0,37.0,30.7,15.2,0.0
10/01/2021 23:00:00,0.362,15.0,37.0,21.2,10.0,0.0
10/02/2021 00:00:00,0.387,16.0,33.0,22.6,8.6,0.0
10/02/2021 01:00:00,0.467,21.0,26.0,27.4,10.8,0.0
10/02/2021 03:00:00,0.477,36.0,11.0,31.9,17.0,0.0
10/02/2021 04:00:00,0.683,,12.0,33.5,18.5,0.0
10/02/2021 05:00:00,0.496,33.0,10.0,27.7,16.2,0.0
10/02/2021 06:00:00,0.475,28.0,13.0,25.3,15.2,0.0
10/02/2021 07:00:00,0.392,32.0,6.0,23.4,13.7,0.0
10/02/2021 09:00:00,0.265,21.0,15.0,20.6,11.4,0.0
10/02/2021 10:00:00,0.232,22.0,14.0,22.7,10.9,0.0
10/02/2021 11:00:00,0.255,11.0,25.0,25.2,10.8,0.0
10/02/2021 13:00:00,0.631,22.0,2.0,32.3,15.1,0.0
10/02/2021 14:00:00,0.499,17.0,6.0,28.5,13.3,0.0
