InstrumentName, I-25 Denver
StartTime, 2021-10-01 00:00:00
EndTime, 2021-11-01 00:00:00
Date,CO,NO2,PM2.5
10/01/2021 02:00:00,0.605,24.0,12.2
10/01/2021 03:00:00,0.599,20.0,10.9
10/01/2021 04:00:00,0.507,,9.5
10/01/2021 06:00:00,0.45,18.0,
10/01/2021 07:00:00,0.374,20.0,9.8
10/01/2021 09:00:00,0.298,18.0,13.5
10/01/2021 10:00:00,0.343,22.0,13.0
10/01/2021 11:00:00,0.534,23.0,12.6
10/01/2021 12:00:00,0.78,24.0,12.7
10/01/2021 13:00:00,0.873,23.0,12.5
10/01/2021 14:00:00,0.749,23.0,10.1
10/01/2021 15:00:00,0.555,21.0,10.2
10/01/2021 16:00:00,0.494,21.0,11.8
10/01/2021 17:00:00,0.479,23.0,13.2
10/01/2021 18:00:00,0.505,24.0,14.8
10/01/2021 19:00:00,0.564,31.0,17.4
10/01/2021 20:00:00,0.415,23.0,14.5
10/01/2021 21:00:00,0.569,30.0,14.4
10/01/2021 22:00:00,0.466,26.0,12.9
10/01/2021 23:00:00,0.618,32.0,8.2
10/02/2021 00:00:00,0.703,35.0,7.2
10/02/2021 01:00:00,0.88,34.0,10.2
10/02/2021 04:00:00,0.771,,10.6
10/02/2021 05:00:00,0.886,30.0,11.2
10/02/2021 06:00:00,0.727,21.0,8.9
10/02/2021 07:00:00,0.598,22.0,9.4
10/02/2021 09:00:00,0.648,28.0,11.5
10/02/2021 10:00:00,0.638,25.0,10.0
10/02/2021 11:00:00,0.578,24.0,10.2
10/02/2021 13:00:00,0.621,21.0,10.9
10/02/2021 14:00:00,0.476,16.0,9.9
10/02/2021 15:00:00,0.412,17.0,11.1
10/02/2021 16:00:00,0.444,22.0,10.0
10/02/2021 17:00:00,0.327,17.0,7.6
10/02/2021 18:00:00,0.255,8.0,4.5
10/02/2021 19:00:00,0.366,14.0,4.2
10/02/2021 20:00:00,0.303,14.0,3.9
10/02/2021 21:00:00,0.276,11.0,4.1
10/02/2021 22:00:00,0.309,10.0,4.3
10/02/2021 23:00:00,0.227,8.0,4.3
10/03/2021 01:00:00,0.561,29.0,7.3
10/03/2021 03:00:00,1.272,50.0,15.0
10/03/2021 04:00:00,0.758,,8.8
10/03/2021 05:00:00,0.622,25.0,7.8
10/03/2021 06:00:00,0.814,32.0,10.5
10/03/2021 07:00:00,1.01,35.0,11.8
10/03/2021 09:00:00,0.839,29.0,10.9
10/03/2021 10:00:00,0.409,22.0,8.0
10/03/2021 11:00:00,0.548,26.0,8.8
10/03/2021 12:00:00,0.64,25.0,8.5
10/03/2021 13:00:00,0.586,24.0,7.4
10/03/2021 14:00:00,0.28,12.0,5.3
10/03/2021 15:00:00,0.237,8.0,5.4
10/03/2021 16:00:00,0.239,8.0,3.9
10/03/2021 17:00:00,0.222,5.0,2.5
10/03/2021 18:00:00,0.219,3.0,2.0
10/03/2021 19:00:00,0.179,3.0,2.2
10/03/2021 20:00:00,0.232,5.0,2.2
10/03/2021 21:00:00,0.211,5.0,2.1
10/03/2021 22:00:00,0.195,4.0,1.9
10/03/2021 23:00:00,0.177,2.0,2.3
10/04/2021 01:00:00,0.978,,9.9
10/04/2021 02:00:00,1.246,48.0,9.7
10/04/2021 04:00:00,0.831,,7.2
10/04/2021 06:00:00,0.459,21.0,5.0
10/04/2021 07:00:00,0.336,22.0,5.2
10/04/2021 09:00:00,0.234,15.0,3.5
10/04/2021 10:00:00,0.226,28.0,4.0
10/04/2021 11:00:00,0.301,30.0,5.8
10/04/2021 12:00:00,0.448,36.0,5.8
10/04/2021 13:00:00,0.546,34.0,9.1
10/04/2021 15:00:00,0.354,18.0,5.6
10/04/2021 16:00:00,0.282,17.0,5.4
10/04/2021 17:00:00,0.272,13.0,4.2
10/04/2021 18:00:00,0.235,11.0,3.2
10/04/2021 19:00:00,0.187,6.0,2.5
10/04/2021 20:00:00,0.214,6.0,2.3
10/04/2021 21:00:00,0.35,11.0,1.7
10/04/2021 22:00:00,0.132,4.0,1.5
10/04/2021 23:00:00,0.206,7.0,2.0
10/05/2021 01:00:00,0.186,12.0,4.1
10/05/2021 02:00:00,0.381,22.0,5.6
10/05/2021 04:00:00,0.67,,6.1
