InstrumentName, Chatfield Park
StartTime, 2021-10-01 00:00:00
EndTime, 2021-11-01 00:00:00
Date,O3,PM2.5
10/01/2021 00:00:00,28.0,11.9
10/01/2021 02:00:00,25.0,12.2
10/01/2021 03:00:00,22.0,10.5
10/01/2021 04:00:00,22.0,10.3
10/01/2021 06:00:00,20.0,
10/01/2021 07:00:00,15.0,12.4
10/01/2021 09:00:00,12.0,12.6
10/01/2021 10:00:00,13.0,11.3
10/01/2021 11:00:00,13.0,9.9
10/01/2021 12:00:00,14.0,7.5
10/01/2021 13:00:00,5.0,8.2
10/01/2021 14:00:00,8.0,8.1
10/01/2021 15:00:00,17.0,8.0
10/01/2021 16:00:00,25.0,7.7
10/01/2021 17:00:00,28.0,8.2
10/01/2021 18:00:00,34.0,7.7
10/01/2021 19:00:00,34.0,9.7
10/01/2021 20:00:00,38.0,9.4
10/01/2021 21:00:00,44.0,8.4
10/01/2021 22:00:00,47.0,9.5
10/01/2021 23:00:00,43.0,13.3
10/02/2021 00:00:00,39.0,11.7
10/02/2021 01:00:00,36.0,11.1
10/02/2021 03:00:00,28.0,9.0
10/02/2021 04:00:00,28.0,7.9
10/02/2021 05:00:00,27.0,8.0
10/02/2021 06:00:00,24.0,7.7
10/02/2021 07:00:00,20.0,7.6
10/02/2021 09:00:00,18.0,7.4
10/02/2021 10:00:00,17.0,7.3
10/02/2021 11:00:00,14.0,7.5
10/02/2021 13:00:00,15.0,7.2
10/02/2021 14:00:00,16.0,7.2
10/02/2021 15:00:00,26.0,7.9
10/02/2021 16:00:00,42.0,10.0
10/02/2021 17:00:00,47.0,11.6
10/02/2021 18:00:00,52.0,13.2
10/02/2021 19:00:00,61.0,9.0
10/02/2021 20:00:00,62.0,5.8
10/02/2021 21:00:00,65.0,5.4
10/02/2021 22:00:00,65.0,5.7
10/02/2021 23:00:00,64.0,6.0
10/03/2021 00:00:00,59.0,5.7
10/03/2021 01:00:00,44.0,5.4
10/03/2021 02:00:00,42.0,8.8
10/03/2021 03:00:00,45.0,5.4
10/03/2021 04:00:00,42.0,5.9
10/03/2021 05:00:00,38.0,7.5
10/03/2021 06:00:00,37.0,6.6
10/03/2021 07:00:00,31.0,6.0
10/03/2021 09:00:00,24.0,5.8
10/03/2021 10:00:00,22.0,5.7
10/03/2021 11:00:00,22.0,5.5
10/03/2021 12:00:00,18.0,5.7
10/03/2021 13:00:00,20.0,5.5
10/03/2021 14:00:00,28.0,5.3
10/03/2021 15:00:00,35.0,4.6
10/03/2021 16:00:00,42.0,4.7
10/03/2021 17:00:00,51.0,4.3
10/03/2021 18:00:00,54.0,4.0
10/03/2021 19:00:00,54.0,4.4
10/03/2021 20:00:00,54.0,3.9
10/03/2021 21:00:00,56.0,3.8
10/04/2021 18:00:00,52.0,
10/04/2021 19:00:00,53.0,3.8
10/04/2021 20:00:00,55.0,3.7
10/04/2021 21:00:00,58.0,3.6
10/04/2021 22:00:00,58.0,3.8
10/04/2021 23:00:00,55.0,3.9
10/05/2021 01:00:00,43.0,4.9
10/05/2021 02:00:00,38.0,4.7
10/05/2021 03:00:00,36.0,5.1
10/05/2021 04:00:00,37.0,4.6
10/05/2021 06:00:00,34.0,4.8
10/05/2021 07:00:00,36.0,5.0
10/05/2021 09:00:00,44.0,5.0
10/05/2021 10:00:00,45.0,4.4
10/05/2021 11:00:00,43.0,4.4
10/05/2021 12:00:00,34.0,4.5
10/05/2021 13:00:00,31.0,4.8
10/05/2021 14:00:00,,5.2
10/05/2021 16:00:00,42.0,4.9
10/05/2021 17:00:00,48.0,4.8
10/05/2021 18:00:00,54.0,4.7
10/05/2021 19:00:00,59.0,4.8
10/05/2021 20:00:00,54.0,4.1
10/05/2021 21:00:00,55.0,4.3
10/05/2021 22:00:00,55.0,4.7
10/05/2021 23:00:00,56.0,4.9
10/06/2021 00:00:00,54.0,5.1
10/06/2021 02:00:00,50.0,5.0
10/06/2021 03:00:00,48.0,5.2
10/06/2021 04:00:00,48.0,5.1
10/06/2021 05:00:00,49.0,4.9
10/06/2021 07:00:00,44.0,4.6
10/06/2021 09:00:00,43.0,4.4
10/06/2021 10:00:00,42.0,4.2
10/06/2021 11:00:00,42.0,4.2
10/06/2021 12:00:00,41.0,4.2
10/06/2021 13:00:00,41.0,4.4
10/06/2021 14:00:00,39.0,4.6
10/06/2021 15:00:00,42.0,4.2
10/06/2021 17:00:00,47.0,4.2
10/06/2021 18:00:00,49.0,4.2
10/06/2021 19:00:00,48.0,3.6
10/06/2021 20:00:00,47.0,2.4
10/06/2021 21:00:00,45.0,2.6
10/06/2021 22:00:00,45.0,1.9
10/06/2021 23:00:00,48.0,4.2
10/07/2021 00:00:00,47.0,7.5
10/07/2021 01:00:00,46.0,10.5
10/07/2021 03:00:00,34.0,8.3
10/07/2021 04:00:00,32.0,9.0
10/07/2021 05:00:00,30.0,7.3
10/07/2021 06:00:00,26.0,6.7
10/07/2021 07:00:00,24.0,6.5
10/07/2021 09:00:00,19.0,4.7
10/07/2021 10:00:00,24.0,3.3
10/07/2021 11:00:00,24.0,3.1
10/07/2021 13:00:00,16.0,4.3
10/07/2021 14:00:00,24.0,3.7
10/07/2021 15:00:00,33.0,2.6
10/07/2021 16:00:00,42.0,2.1
10/07/2021 17:00:00,46.0,2.8
10/07/2021 18:00:00,47.0,3.0
10/07/2021 19:00:00,48.0,2.6
10/07/2021 20:00:00,52.0,3.0
10/07/2021 21:00:00,55.0,3.3
10/07/2021 22:00:00,56.0,3.3
10/07/2021 23:00:00,52.0,3.5
10/08/2021 00:00:00,44.0,4.5
10/08/2021 01:00:00,43.0,6.0
10/08/2021 02:00:00,42.0,6.0
10/08/2021 03:00:00,38.0,4.7
10/08/2021 04:00:00,37.0,4.3
10/08/2021 05:00:00,36.0,4.2
10/08/2021 06:00:00,33.0,4.1
10/08/2021 07:00:00,32.0,4.1
10/08/2021 09:00:00,29.0,4.2
10/08/2021 10:00:00,26.0,3.8
10/08/2021 11:00:00,25.0,3.8
10/08/2021 12:00:00,22.0,4.2
10/08/2021 13:00:00,18.0,5.6
10/08/2021 14:00:00,19.0,6.1
10/08/2021 15:00:00,24.0,4.4
10/08/2021 16:00:00,35.0,2.7
10/08/2021 17:00:00,37.0,2.6
10/08/2021 19:00:00,43.0,2.8
10/08/2021 20:00:00,40.0,2.6
10/08/2021 21:00:00,37.0,3.7
10/08/2021 22:00:00,38.0,3.3
10/08/2021 23:00:00,34.0,4.2
10/09/2021 00:00:00,35.0,3.3
10/09/2021 01:00:00,38.0,4.0
10/09/2021 02:00:00,36.0,4.3
10/09/2021 03:00:00,32.0,9.0
10/09/2021 05:00:00,29.0,5.5
10/09/2021 06:00:00,26.0,4.9
10/09/2021 07:00:00,22.0,5.0
10/09/2021 09:00:00,19.0,4.4
10/09/2021 10:00:00,18.0,3.6
10/09/2021 11:00:00,18.0,3.6
10/09/2021 12:00:00,21.0,2.4
10/09/2021 13:00:00,20.0,1.8
10/09/2021 14:00:00,23.0,2.5
10/09/2021 15:00:00,34.0,1.0
