InstrumentName, Northfield HS (A88W8NWB_3.4)
StartTime, 2021-11-01 00:00:00
EndTime, 2021-11-30 00:00:00
Date,no2Conc,pm10ConcMass,pm10ConcNum,pm1ConcMass,pm1ConcNum,pm2_5ConcMass,pm2_5ConcMass_p,pm2_5ConcNum,relHumid,temperature
11/01/2021 00:02:30,7.21,0.0,1.27,0.0,1.25,0.0,3.72,1.26,17.11,27.05
11/01/2021 00:06:02,7.67,0.24,1.44,0.0,1.39,0.24,3.864,1.42,17.09,27.06
11/01/2021 00:09:36,7.48,0.24,1.18,0.0,1.13,0.0,3.719,1.16,17.12,27.06
11/01/2021 00:13:08,7.58,0.0,1.14,0.0,1.1,0.0,3.722,1.13,17.09,27.05
11/01/2021 00:16:41,7.68,0.24,1.14,0.0,1.1,0.0,3.722,1.12,17.08,27.07
11/01/2021 00:20:14,7.94,0.0,1.36,0.0,1.32,0.0,3.72,1.35,17.11,27.06
11/01/2021 00:23:47,7.39,0.0,1.71,0.0,1.64,0.0,3.72,1.69,17.11,27.05
11/01/2021 00:27:20,8.09,0.0,1.44,0.0,1.41,0.0,3.724,1.43,17.06,27.06
11/01/2021 00:30:53,8.15,0.0,1.34,0.0,1.31,0.0,3.723,1.33,17.08,27.06
11/01/2021 00:34:26,7.06,0.0,1.3,0.0,1.26,0.0,3.718,1.28,17.14,27.05
11/01/2021 00:37:59,7.61,0.0,1.2,0.0,1.17,0.0,3.721,1.19,17.09,27.07
11/01/2021 00:41:32,7.23,0.0,1.3,0.0,1.27,0.0,3.717,1.29,17.14,27.07
11/01/2021 00:45:05,8.16,0.0,1.37,0.0,1.33,0.0,3.721,1.35,17.09,27.07
11/01/2021 00:48:38,6.83,0.0,1.32,0.0,1.28,0.0,3.717,1.31,17.14,27.06
11/01/2021 00:52:11,6.86,0.0,1.59,0.0,1.53,0.0,3.72,1.57,17.12,27.03
11/01/2021 00:55:43,7.76,0.0,1.56,0.0,1.53,0.0,3.723,1.55,17.08,27.05
11/01/2021 00:59:17,6.9,0.0,1.46,0.0,1.44,0.0,3.72,1.45,17.11,27.05
11/01/2021 01:02:49,7.52,0.0,1.34,0.0,1.31,0.0,3.72,1.32,17.11,27.06
11/01/2021 01:06:23,7.91,0.0,1.08,0.0,1.06,0.0,3.718,1.07,17.14,27.05
11/01/2021 01:09:56,6.89,0.05,1.36,0.0,1.32,0.0,3.719,1.35,17.12,27.05
11/01/2021 01:13:29,8.55,0.0,1.23,0.0,1.19,0.0,3.718,1.22,17.15,27.03
11/01/2021 01:17:02,7.69,0.0,1.45,0.0,1.42,0.0,3.718,1.44,17.14,27.05
11/01/2021 01:20:34,7.87,0.0,1.41,0.0,1.35,0.0,3.723,1.4,17.09,27.03
11/01/2021 01:24:07,8.25,0.0,1.21,0.0,1.18,0.0,3.716,1.19,17.17,27.03
11/01/2021 01:27:40,7.88,0.0,1.45,0.0,1.41,0.0,3.718,1.44,17.14,27.05
11/01/2021 01:31:13,8.13,0.24,1.68,0.0,1.64,0.0,3.716,1.66,17.17,27.03
11/01/2021 01:34:45,7.0,0.0,1.43,0.0,1.39,0.0,3.719,1.42,17.14,27.03
11/01/2021 01:38:18,7.05,0.0,1.36,0.0,1.33,0.0,3.721,1.35,17.11,27.03
11/01/2021 01:41:51,8.23,0.0,1.36,0.0,1.32,0.0,3.716,1.34,17.17,27.02
11/01/2021 01:45:24,7.36,0.24,1.86,0.0,1.82,0.24,3.861,1.86,17.14,27.03
11/01/2021 01:48:57,8.08,0.0,1.74,0.0,1.69,0.0,3.719,1.73,17.14,27.03
11/01/2021 01:52:30,7.38,0.0,1.78,0.0,1.72,0.0,3.714,1.76,17.18,27.05
11/01/2021 01:56:02,7.11,0.0,1.71,0.0,1.67,0.0,3.716,1.7,17.17,27.02
11/01/2021 01:59:36,7.51,0.0,1.57,0.0,1.54,0.0,3.718,1.56,17.15,27.03
11/01/2021 02:03:08,7.18,0.24,1.95,0.0,1.91,0.24,3.861,1.94,17.14,27.02
11/01/2021 02:06:41,7.72,0.0,1.54,0.0,1.46,0.0,3.716,1.52,17.18,27.02
11/01/2021 02:10:14,8.28,0.24,1.71,0.0,1.65,0.24,3.86,1.69,17.14,27.05
11/01/2021 02:13:48,7.46,0.24,1.83,0.0,1.79,0.24,3.861,1.82,17.15,26.99
11/01/2021 02:17:20,7.15,0.24,1.44,0.0,1.39,0.24,3.861,1.43,17.14,27.01
11/01/2021 02:20:54,8.09,0.24,1.76,0.0,1.69,0.24,3.858,1.74,17.17,27.02
11/01/2021 02:24:27,8.31,0.0,1.3,0.0,1.24,0.0,3.717,1.28,17.17,27.01
11/01/2021 02:27:59,7.66,0.24,1.69,0.0,1.63,0.24,3.858,1.67,17.18,27.01
11/01/2021 02:31:32,8.0,0.24,2.06,0.0,2.01,0.24,3.856,2.05,17.2,27.01
11/01/2021 02:35:05,7.96,0.24,1.44,0.0,1.41,0.24,3.855,1.42,17.2,27.03
