InstrumentName, CAMP
StartTime, 2021-11-01 00:00:00
EndTime, 2021-11-30 00:00:00
Date,CO,NO2,O3,PM10,PM2.5,SO2
11/01/2021 00:00:00,0.301,12.0,16.0,14.9,9.2,0.0
11/01/2021 01:00:00,0.296,12.0,16.0,16.5,10.1,0.0
11/01/2021 02:00:00,0.319,10.0,18.0,19.2,11.3,0.0
11/01/2021 03:00:00,0.328,12.0,15.0,17.8,10.9,0.0
11/01/2021 04:00:00,0.267,,15.0,17.8,11.4,0.0
11/01/2021 05:00:00,0.245,11.0,16.0,20.0,11.5,0.0
11/01/2021 06:00:00,0.261,10.0,16.0,18.9,11.3,0.0
11/01/2021 07:00:00,0.233,14.0,11.0,18.1,11.6,0.0
11/01/2021 09:00:00,0.205,14.0,10.0,15.4,11.7,0.0
11/01/2021 10:00:00,0.181,14.0,10.0,13.6,10.9,
11/01/2021 11:00:00,0.232,16.0,9.0,22.2,17.9,
11/01/2021 13:00:00,0.289,17.0,7.0,15.2,11.4,
11/01/2021 14:00:00,0.302,14.0,6.0,12.7,10.0,
11/01/2021 15:00:00,0.277,12.0,8.0,14.1,10.0,
11/01/2021 16:00:00,0.277,12.0,9.0,16.5,10.6,
11/01/2021 18:00:00,0.348,12.0,8.0,15.5,12.0,
11/01/2021 19:00:00,0.352,13.0,7.0,12.9,9.3,
11/01/2021 20:00:00,0.348,14.0,6.0,13.9,9.2,
11/01/2021 21:00:00,0.36,,5.0,15.4,10.2,0.0
11/01/2021 22:00:00,0.376,17.0,3.0,16.5,11.6,0.0
11/01/2021 23:00:00,0.447,17.0,2.0,14.5,10.2,0.0
11/02/2021 00:00:00,0.332,16.0,5.0,15.3,10.0,0.0
11/02/2021 01:00:00,0.274,13.0,8.0,13.8,8.6,0.0
11/02/2021 02:00:00,0.251,11.0,9.0,13.2,8.5,0.0
11/02/2021 04:00:00,0.228,,10.0,15.3,11.2,0.0
11/02/2021 05:00:00,0.209,9.0,11.0,18.0,10.9,0.0
11/02/2021 06:00:00,0.203,7.0,12.0,17.0,10.9,0.0
11/02/2021 07:00:00,0.178,6.0,14.0,22.7,13.9,0.0
11/02/2021 09:00:00,0.184,9.0,12.0,24.3,16.5,0.0
11/02/2021 10:00:00,0.183,10.0,10.0,22.1,17.0,0.0
11/02/2021 11:00:00,0.259,13.0,7.0,21.8,17.1,0.0
11/02/2021 12:00:00,0.322,18.0,1.0,23.1,17.0,0.0
11/02/2021 13:00:00,0.483,19.0,0.0,23.2,17.1,0.0
11/02/2021 14:00:00,0.486,18.0,1.0,24.9,17.9,
11/02/2021 15:00:00,0.468,17.0,2.0,,,0.0
11/02/2021 16:00:00,0.42,16.0,3.0,28.1,22.3,0.0
11/02/2021 17:00:00,0.52,21.0,1.0,32.8,24.3,0.0
11/02/2021 18:00:00,0.552,20.0,2.0,33.0,25.4,0.0
11/02/2021 19:00:00,0.451,18.0,4.0,31.1,23.9,0.0
11/02/2021 20:00:00,0.551,23.0,3.0,39.2,26.3,0.0
11/02/2021 21:00:00,0.609,26.0,1.0,51.0,32.3,1.0
11/02/2021 22:00:00,0.592,24.0,1.0,43.2,28.9,1.0
11/02/2021 23:00:00,0.519,21.0,1.0,34.4,25.2,0.0
11/03/2021 00:00:00,0.486,22.0,0.0,32.6,23.7,0.0
11/03/2021 01:00:00,0.49,21.0,0.0,27.6,23.6,0.0
11/03/2021 02:00:00,0.516,22.0,0.0,31.5,26.3,0.0
11/03/2021 03:00:00,0.566,23.0,0.0,36.4,28.2,0.0
11/03/2021 06:00:00,0.379,22.0,0.0,23.3,19.6,0.0
11/03/2021 07:00:00,0.337,21.0,1.0,19.8,16.9,0.0
11/03/2021 10:00:00,0.333,20.0,1.0,17.2,14.7,0.0
11/03/2021 11:00:00,0.326,18.0,3.0,13.6,12.1,0.0
11/03/2021 12:00:00,0.288,16.0,5.0,12.4,10.7,0.0
11/03/2021 13:00:00,0.432,20.0,2.0,16.6,12.0,0.0
11/03/2021 14:00:00,0.578,20.0,3.0,24.6,13.3,0.0
11/03/2021 15:00:00,0.606,20.0,5.0,26.5,13.6,0.0
11/03/2021 16:00:00,0.398,17.0,10.0,24.8,11.8,0.0
11/03/2021 17:00:00,0.263,9.0,23.0,11.3,6.7,0.0
11/03/2021 18:00:00,0.225,7.0,30.0,6.9,4.7,0.0
11/03/2021 20:00:00,0.234,8.0,35.0,6.6,4.4,0.0
11/03/2021 21:00:00,0.231,9.0,35.0,6.8,4.3,0.0
11/03/2021 22:00:00,0.303,13.0,31.0,7.1,4.3,0.0
11/03/2021 23:00:00,0.472,20.0,24.0,10.9,5.3,0.0
11/04/2021 00:00:00,0.631,32.0,11.0,21.9,10.1,0.0
11/04/2021 01:00:00,0.525,30.0,12.0,17.9,8.3,0.0
11/04/2021 02:00:00,0.454,30.0,12.0,14.4,8.4,0.0
11/04/2021 03:00:00,0.414,28.0,13.0,12.9,7.3,0.0
11/04/2021 04:00:00,0.28,,22.0,10.7,6.6,0.0
11/04/2021 06:00:00,0.236,13.0,21.0,6.3,4.5,0.0
11/04/2021 07:00:00,0.296,17.0,14.0,8.2,5.0,0.0
11/04/2021 10:00:00,0.153,8.0,23.0,4.1,3.3,0.0
11/04/2021 11:00:00,0.271,17.0,14.0,6.9,4.6,0.0
11/04/2021 12:00:00,0.231,17.0,14.0,6.7,4.1,0.0
11/04/2021 13:00:00,0.313,21.0,10.0,10.1,5.0,0.0
11/04/2021 14:00:00,0.343,21.0,11.0,15.3,6.0,0.0
11/04/2021 16:00:00,0.327,18.0,17.0,32.4,6.8,0.0
11/04/2021 17:00:00,0.293,13.0,24.0,21.6,4.4,0.0
11/04/2021 18:00:00,0.269,9.0,33.0,8.3,2.7,0.0
11/04/2021 19:00:00,0.23,7.0,37.0,5.2,2.1,0.0
11/04/2021 21:00:00,0.287,12.0,36.0,10.9,2.4,0.0
11/04/2021 22:00:00,0.488,21.0,28.0,16.4,3.6,0.0
11/04/2021 23:00:00,1.347,42.0,6.0,34.2,9.1,0.0
11/05/2021 00:00:00,1.755,46.0,0.0,37.5,11.7,1.0
11/05/2021 01:00:00,1.297,47.0,1.0,40.7,13.6,0.0
11/05/2021 02:00:00,0.486,30.0,15.0,16.5,7.0,0.0
11/05/2021 03:00:00,0.337,16.0,25.0,13.1,4.9,0.0
11/05/2021 04:00:00,0.249,,26.0,9.7,3.8,0.0
11/05/2021 05:00:00,0.216,10.0,30.0,9.1,2.9,0.0
11/05/2021 07:00:00,0.153,6.0,33.0,6.1,2.6,0.0
11/05/2021 09:00:00,0.266,12.0,26.0,6.8,2.5,0.0
11/05/2021 10:00:00,0.261,26.0,12.0,8.8,3.7,0.0
11/05/2021 12:00:00,0.409,29.0,10.0,10.5,3.5,0.0
11/05/2021 13:00:00,0.508,31.0,10.0,16.4,4.8,0.0
11/05/2021 14:00:00,0.545,32.0,10.0,19.0,5.2,0.0
11/05/2021 15:00:00,0.394,21.0,20.0,10.9,3.5,0.0
11/05/2021 16:00:00,0.351,19.0,24.0,14.3,3.7,0.0
11/05/2021 17:00:00,0.363,17.0,29.0,14.8,3.5,0.0
11/05/2021 18:00:00,0.229,8.0,40.0,7.6,2.2,0.0
11/05/2021 19:00:00,0.199,6.0,44.0,3.9,1.4,0.0
11/05/2021 20:00:00,0.265,7.0,44.0,4.2,1.3,0.0
11/05/2021 22:00:00,0.434,16.0,38.0,14.3,3.5,0.0
11/05/2021 23:00:00,0.542,26.0,26.0,15.2,5.2,0.0
11/06/2021 00:00:00,0.621,34.0,18.0,15.0,6.3,0.0
11/06/2021 01:00:00,0.501,28.0,21.0,15.8,7.0,0.0
11/06/2021 02:00:00,0.405,20.0,29.0,15.8,4.8,0.0
11/06/2021 03:00:00,0.593,29.0,15.0,19.8,7.6,0.0
11/06/2021 04:00:00,0.485,,13.0,21.1,8.2,0.0
11/06/2021 05:00:00,0.403,27.0,14.0,15.6,7.0,0.0
11/06/2021 06:00:00,0.624,35.0,4.0,18.4,8.7,0.0
11/06/2021 07:00:00,0.465,29.0,11.0,12.8,6.2,0.0
11/06/2021 09:00:00,0.223,20.0,21.0,5.6,2.9,0.0
11/06/2021 10:00:00,0.15,11.0,30.0,3.9,2.2,0.0
11/06/2021 11:00:00,0.148,8.0,33.0,4.2,2.3,0.0
11/06/2021 23:00:00,0.546,30.0,22.0,31.1,7.3,1.0
11/07/2021 00:00:00,0.886,44.0,6.0,49.6,13.0,1.0
11/07/2021 01:00:00,1.068,48.0,1.0,60.6,21.3,1.0
11/07/2021 02:00:00,1.723,49.0,0.0,82.0,27.4,1.0
11/07/2021 04:00:00,0.333,,28.0,15.6,6.7,0.0
11/07/2021 05:00:00,0.399,17.0,26.0,15.4,6.5,0.0
11/07/2021 06:00:00,0.423,18.0,24.0,13.0,5.5,0.0
11/07/2021 08:00:00,0.576,29.0,13.0,16.2,8.5,0.0
11/07/2021 10:00:00,0.424,37.0,6.0,10.9,6.8,0.0
11/07/2021 11:00:00,0.468,39.0,2.0,13.8,8.6,0.0
11/07/2021 12:00:00,0.381,32.0,6.0,9.3,4.9,0.0
11/07/2021 13:00:00,0.506,32.0,9.0,10.9,5.8,0.0
11/07/2021 14:00:00,0.169,10.0,35.0,6.9,4.4,0.0
11/07/2021 15:00:00,0.205,10.0,35.0,4.7,2.8,0.0
11/07/2021 16:00:00,0.226,8.0,37.0,7.1,2.7,0.0
11/07/2021 17:00:00,0.242,9.0,38.0,7.9,2.8,0.0
11/07/2021 19:00:00,0.171,3.0,49.0,3.4,1.7,0.0
11/07/2021 20:00:00,0.196,5.0,48.0,3.5,1.6,0.0
11/07/2021 21:00:00,0.236,5.0,47.0,4.5,1.9,0.0
11/07/2021 22:00:00,0.284,8.0,44.0,5.7,2.0,0.0
11/08/2021 00:00:00,0.427,21.0,32.0,14.9,5.1,0.0
11/08/2021 01:00:00,0.578,38.0,16.0,19.0,8.2,0.0
11/08/2021 02:00:00,0.808,43.0,6.0,25.4,12.3,0.0
11/08/2021 03:00:00,0.942,47.0,2.0,29.6,14.8,0.0
11/08/2021 05:00:00,0.246,13.0,28.0,6.3,3.4,0.0
11/08/2021 06:00:00,0.236,12.0,29.0,6.6,3.5,0.0
11/08/2021 07:00:00,0.458,38.0,0.0,22.9,10.5,0.0
11/08/2021 08:00:00,0.192,29.0,8.0,12.5,5.4,0.0
11/08/2021 10:00:00,0.165,19.0,13.0,11.6,5.7,0.0
11/08/2021 11:00:00,0.155,12.0,18.0,14.0,5.7,0.0
11/08/2021 12:00:00,0.249,15.0,14.0,16.5,6.0,0.0
11/08/2021 13:00:00,0.418,26.0,5.0,27.3,8.6,0.0
11/08/2021 15:00:00,,19.0,14.0,37.7,10.9,0.0
11/08/2021 16:00:00,0.268,12.0,20.0,27.6,9.3,
11/08/2021 17:00:00,0.216,,24.0,24.3,9.0,0.0
11/08/2021 18:00:00,0.295,9.0,25.0,22.0,10.6,0.0
11/08/2021 20:00:00,0.211,12.0,24.0,32.5,14.2,0.0
11/08/2021 21:00:00,0.255,14.0,24.0,34.0,16.4,0.0
11/08/2021 22:00:00,0.349,20.0,18.0,44.8,19.0,0.0
11/08/2021 23:00:00,0.441,25.0,12.0,47.9,20.5,0.0
11/09/2021 00:00:00,0.422,27.0,10.0,66.6,26.0,0.0
11/09/2021 01:00:00,0.437,25.0,12.0,46.6,22.0,0.0
11/09/2021 02:00:00,0.43,28.0,9.0,44.6,22.4,0.0
11/09/2021 03:00:00,0.524,33.0,4.0,45.7,23.3,0.0
11/09/2021 05:00:00,0.64,39.0,0.0,50.0,25.2,0.0
11/09/2021 06:00:00,0.434,33.0,0.0,49.2,24.5,0.0
11/09/2021 07:00:00,0.302,23.0,8.0,42.1,23.1,0.0
11/09/2021 08:00:00,0.346,27.0,3.0,38.9,23.1,0.0
11/09/2021 10:00:00,0.363,24.0,3.0,36.9,22.5,0.0
11/09/2021 11:00:00,0.298,23.0,3.0,34.7,22.4,0.0
11/09/2021 12:00:00,0.413,24.0,3.0,35.8,22.3,0.0
11/09/2021 13:00:00,0.712,29.0,0.0,44.1,27.7,0.0
11/09/2021 14:00:00,0.967,31.0,1.0,56.7,30.2,1.0
11/09/2021 15:00:00,0.833,27.0,4.0,62.7,29.7,0.0
11/09/2021 16:00:00,0.767,32.0,6.0,61.4,33.7,0.0
11/09/2021 17:00:00,0.505,25.0,12.0,51.9,31.5,0.0
11/09/2021 18:00:00,0.521,31.0,11.0,61.6,31.7,0.0
11/09/2021 19:00:00,0.5,34.0,9.0,88.2,36.3,
11/09/2021 20:00:00,0.455,34.0,8.0,80.2,32.6,
11/09/2021 21:00:00,0.484,30.0,12.0,65.0,31.6,0.0
11/09/2021 22:00:00,0.459,27.0,14.0,59.1,29.2,0.0
11/09/2021 23:00:00,0.59,35.0,7.0,69.1,31.1,0.0
11/10/2021 00:00:00,0.722,41.0,0.0,85.0,34.0,1.0
11/10/2021 01:00:00,0.744,42.0,0.0,108.0,38.2,2.0
11/10/2021 02:00:00,0.79,40.0,0.0,79.8,33.3,1.0
11/10/2021 03:00:00,0.762,41.0,0.0,80.6,33.2,0.0
11/10/2021 04:00:00,0.49,,0.0,84.1,31.7,1.0
11/10/2021 05:00:00,0.632,37.0,0.0,83.6,33.9,1.0
11/10/2021 06:00:00,0.806,37.0,0.0,79.2,35.8,0.0
11/10/2021 07:00:00,0.767,38.0,0.0,79.2,36.1,1.0
11/10/2021 08:00:00,0.546,36.0,1.0,60.9,30.7,0.0
11/10/2021 10:00:00,0.216,20.0,21.0,20.2,8.6,0.0
11/10/2021 11:00:00,0.227,18.0,23.0,18.3,7.0,0.0
11/10/2021 12:00:00,0.38,23.0,17.0,14.6,6.1,0.0
11/10/2021 13:00:00,0.308,14.0,26.0,5.1,1.6,0.0
11/10/2021 14:00:00,0.247,13.0,31.0,13.6,2.9,0.0
11/10/2021 15:00:00,0.23,9.0,35.0,20.5,3.9,0.0
11/10/2021 16:00:00,0.234,8.0,37.0,19.0,3.5,0.0
11/10/2021 17:00:00,0.198,9.0,38.0,28.9,6.3,0.0
11/10/2021 18:00:00,0.19,8.0,41.0,30.9,7.3,0.0
11/10/2021 19:00:00,0.2,5.0,43.0,33.8,6.2,0.0
11/10/2021 20:00:00,0.168,4.0,44.0,103.9,6.5,0.0
11/10/2021 21:00:00,0.193,4.0,43.0,16.3,3.9,0.0
11/10/2021 22:00:00,0.256,8.0,39.0,11.0,3.3,0.0
11/10/2021 23:00:00,0.351,13.0,33.0,10.1,3.8,0.0
11/11/2021 00:00:00,0.366,13.0,33.0,9.5,4.4,0.0
11/11/2021 01:00:00,0.296,14.0,34.0,7.7,4.9,0.0
11/11/2021 02:00:00,0.29,12.0,36.0,7.7,5.5,0.0
11/11/2021 03:00:00,0.201,4.0,42.0,4.6,3.3,0.0
11/11/2021 04:00:00,0.275,,35.0,6.3,3.9,0.0
11/11/2021 05:00:00,0.223,5.0,43.0,5.2,2.6,0.0
11/11/2021 06:00:00,0.179,3.0,46.0,5.7,3.0,0.0
11/11/2021 07:00:00,0.169,2.0,48.0,5.6,3.7,0.0
11/11/2021 08:00:00,0.171,2.0,47.0,9.3,4.5,0.0
11/11/2021 10:00:00,0.214,3.0,46.0,5.0,3.9,0.0
11/11/2021 11:00:00,0.156,2.0,46.0,5.5,3.6,0.0
11/11/2021 12:00:00,0.16,3.0,46.0,5.1,3.5,0.0
11/11/2021 13:00:00,0.189,5.0,45.0,6.8,3.5,0.0
11/11/2021 14:00:00,0.229,9.0,41.0,9.9,3.9,0.0
11/11/2021 15:00:00,0.247,10.0,39.0,10.9,3.9,0.0
11/11/2021 16:00:00,0.215,8.0,41.0,17.2,5.2,0.0
11/11/2021 17:00:00,0.206,6.0,43.0,21.3,4.9,0.0
11/11/2021 18:00:00,0.215,7.0,41.0,23.0,4.6,0.0
11/11/2021 19:00:00,0.227,6.0,41.0,15.7,4.6,0.0
11/11/2021 20:00:00,0.224,5.0,41.0,14.8,4.5,0.0
11/11/2021 21:00:00,0.252,9.0,37.0,61.0,4.0,0.0
11/11/2021 22:00:00,0.209,8.0,36.0,18.0,3.3,0.0
11/11/2021 23:00:00,0.427,16.0,27.0,22.5,5.5,0.0
11/12/2021 00:00:00,0.311,17.0,28.0,11.8,2.8,0.0
11/12/2021 01:00:00,0.318,21.0,23.0,6.7,3.2,0.0
11/12/2021 02:00:00,0.246,10.0,33.0,4.4,1.8,0.0
11/12/2021 03:00:00,0.18,4.0,37.0,3.6,1.9,0.0
11/12/2021 04:00:00,0.182,,31.0,7.0,2.4,0.0
11/12/2021 05:00:00,0.168,5.0,30.0,7.8,3.3,0.0
11/12/2021 06:00:00,0.154,4.0,32.0,6.0,2.9,0.0
11/12/2021 07:00:00,0.162,4.0,31.0,13.3,3.0,0.0
11/12/2021 08:00:00,0.146,5.0,30.0,7.3,2.5,0.0
11/12/2021 10:00:00,0.153,7.0,29.0,6.2,2.5,0.0
11/12/2021 11:00:00,0.179,12.0,22.0,6.7,3.1,0.0
11/12/2021 12:00:00,0.271,22.0,11.0,9.0,4.3,0.0
11/12/2021 13:00:00,0.344,25.0,9.0,11.7,5.4,0.0
11/12/2021 14:00:00,0.519,23.0,9.0,14.6,6.0,0.0
11/12/2021 15:00:00,0.397,12.0,20.0,16.3,5.0,0.0
11/12/2021 16:00:00,0.407,14.0,20.0,17.9,5.8,0.0
11/12/2021 17:00:00,0.422,17.0,21.0,23.2,7.3,0.0
11/12/2021 18:00:00,0.452,21.0,18.0,23.9,7.8,0.0
11/12/2021 19:00:00,0.39,21.0,20.0,32.6,9.5,0.0
11/12/2021 20:00:00,0.361,16.0,25.0,26.9,6.3,0.0
11/12/2021 21:00:00,0.373,19.0,22.0,26.6,5.9,0.0
11/12/2021 22:00:00,0.473,23.0,18.0,36.2,7.1,0.0
11/12/2021 23:00:00,0.598,32.0,9.0,36.5,7.5,0.0
11/13/2021 00:00:00,0.643,30.0,8.0,25.0,7.7,0.0
11/13/2021 01:00:00,1.112,38.0,2.0,39.5,13.5,1.0
11/13/2021 02:00:00,0.874,32.0,5.0,24.2,10.4,0.0
11/13/2021 03:00:00,0.746,35.0,2.0,20.8,9.8,0.0
11/13/2021 04:00:00,0.356,,9.0,16.5,6.7,0.0
