InstrumentName, MSLA (CS34),,,,,,,,,,,,,,,,
StartTime, 2021-12-01 00:00:00,,,,,,,,,,,,,,,,
EndTime, 2021-12-31 23:59:59,,,,,,,,,,,,,,,,
Date,*Lat,*Lon,B,EH,ET,ICCID,IH,IT,P,PM10,PM1_0,PM2_5,PM2_5_p,Sig,Time,WD,WS
12/01/2021 00:01:00.000000,39.70831,-105.01192,12.269,-1.0,-1.0,,6.91,65.54,838.0,0.64,0.0,0.25,3.364,0.0,,-1.0,-1.0
12/01/2021 00:02:00.000000,39.70831,-105.01192,12.278,-1.0,-1.0,,6.95,65.41,837.95,0.16,0.0,0.16,3.311,0.0,,-1.0,-1.0
12/01/2021 00:03:00.000000,39.70834,-105.01202,12.302,-1.0,-1.0,,6.99,65.29,837.95,0.77,0.17,0.77,3.697,0.0,,-1.0,-1.0
12/01/2021 00:04:00.000000,39.70834,-105.01202,12.182,-1.0,-1.0,,7.05,65.14,837.97,1.52,0.49,0.91,3.788,0.0,,-1.0,-1.0
12/01/2021 00:05:00.000000,39.70834,-105.01202,12.192,-1.0,-1.0,,7.12,64.99,837.98,2.19,0.86,1.9,4.412,0.0,,-1.0,-1.0
12/01/2021 00:06:00.000000,39.70834,-105.01202,12.312,-1.0,-1.0,,7.18,64.93,837.96,2.32,1.16,1.92,4.426,0.0,,-1.0,-1.0
12/01/2021 00:07:00.000000,39.70834,-105.01202,12.182,-1.0,-1.0,,7.24,64.89,837.94,2.4,1.51,2.28,4.651,0.0,,-1.0,-1.0
12/01/2021 00:08:00.000000,39.70835,-105.01197,12.226,-1.0,-1.0,,7.28,64.9,837.92,2.15,1.15,1.92,4.424,0.0,,-1.0,-1.0
12/01/2021 00:09:00.000000,39.70831,-105.01208,12.317,-1.0,-1.0,,7.24,64.81,837.96,2.02,0.77,1.65,4.259,0.0,,-1.0,-1.0
12/01/2021 00:10:00.000000,39.70831,-105.01208,12.278,-1.0,-1.0,,7.24,64.74,837.99,2.73,0.84,1.63,4.249,0.0,,-1.0,-1.0
12/01/2021 00:11:00.000000,39.70831,-105.01208,12.178,-1.0,-1.0,,7.31,64.68,838.03,1.7,0.88,1.58,4.217,0.0,,-1.0,-1.0
12/01/2021 00:12:00.000000,39.70831,-105.01208,12.197,-1.0,-1.0,,7.31,64.63,838.05,1.44,0.96,1.44,4.131,0.0,,-1.0,-1.0
12/01/2021 00:13:00.000000,39.70831,-105.01208,12.187,-1.0,-1.0,,7.35,64.51,838.01,1.81,0.84,1.81,4.367,0.0,,-1.0,-1.0
12/01/2021 00:14:00.000000,39.70834,-105.01196,12.173,-1.0,-1.0,,7.58,64.31,837.97,1.84,0.67,1.42,4.123,0.0,,-1.0,-1.0
12/01/2021 00:15:00.000000,39.70834,-105.01195,12.293,-1.0,-1.0,,7.75,64.12,837.98,1.61,0.78,1.47,4.156,0.0,,-1.0,-1.0
