InstrumentName, Merrill Middle School (CJ_002),,,,,,,,,,,,,
StartTime, 2021-12-01 00:00:00,,,,,,,,,,,,,
EndTime, 2021-12-31 23:59:59,,,,,,,,,,,,,
Date,*Lat,*Lon,ICCID,IH,IT,P,PM10,PM1_0,PM2_5,PM2_5_p,Sig,Time,WD,WS
12/23/2021 16:49:00.000000,-1.0,-1.0,,10.86,68.84,833.18,4.01,2.03,3.22,,-92.0,,-1.0,-1.0
12/23/2021 16:50:00.000000,-1.0,-1.0,,10.8,68.95,833.2,2.82,1.73,2.49,,-93.0,,-1.0,-1.0
12/23/2021 16:51:00.000000,-1.0,-1.0,,10.77,69.05,833.24,3.61,1.58,2.89,,-93.0,,-1.0,-1.0
12/23/2021 16:52:00.000000,-1.0,-1.0,,10.73,69.14,833.28,4.44,1.93,3.68,,-93.0,,-1.0,-1.0
12/23/2021 16:53:00.000000,-1.0,-1.0,,10.68,69.23,833.27,4.32,1.77,3.03,,-93.0,,-1.0,-1.0
12/23/2021 16:54:00.000000,-1.0,-1.0,,10.65,69.32,833.23,2.99,1.22,2.58,,-93.0,,-1.0,-1.0
12/23/2021 16:55:00.000000,-1.0,-1.0,,10.61,69.42,833.23,3.55,1.79,2.98,,-93.0,,-1.0,-1.0
12/23/2021 16:56:00.000000,-1.0,-1.0,,10.57,69.51,833.22,3.29,1.62,2.9,,-94.0,,-1.0,-1.0
12/23/2021 16:57:01.000000,-1.0,-1.0,,10.55,69.57,833.21,4.39,2.22,3.73,,-93.0,,-1.0,-1.0
12/23/2021 16:58:01.000000,-1.0,-1.0,,10.53,69.61,833.2,4.22,2.24,3.82,,-93.0,,-1.0,-1.0
12/23/2021 16:59:01.000000,-1.0,-1.0,,10.52,69.62,833.21,3.43,1.73,2.92,,-94.0,,-1.0,-1.0
12/23/2021 17:00:00.000000,-1.0,-1.0,,10.61,69.62,833.2,5.0,2.67,4.12,,-95.0,,-1.0,-1.0
12/23/2021 17:01:00.000000,-1.0,-1.0,,10.71,69.54,833.17,4.76,2.86,4.23,,-113.0,,-1.0,-1.0
12/23/2021 17:02:00.000000,-1.0,-1.0,,10.67,69.6,833.14,5.32,2.86,3.97,,-92.0,,-1.0,-1.0
12/23/2021 17:03:00.000000,-1.0,-1.0,,10.55,69.76,833.16,4.08,1.84,3.06,,-93.0,,-1.0,-1.0
12/23/2021 17:04:00.000000,39.77545,-104.99893,,10.47,69.93,833.18,4.03,2.0,3.03,,-93.0,,-1.0,-1.0
12/23/2021 17:05:00.000000,39.77545,-104.99893,,10.43,70.02,833.2,3.76,1.98,3.49,,-93.0,,-1.0,-1.0
12/23/2021 17:06:00.000000,39.77538,-104.99879,,10.42,70.06,833.22,3.78,2.12,3.42,,-93.0,,-1.0,-1.0
