InstrumentName, Columbian Elem (CS23),
StartTime, 2022-01-01 00:00:00,
EndTime, 2022-01-31 23:59:59,
Date,*Lat,*Lon
01/12/2022 00:32:05.723000,0.0,0.0
01/12/2022 00:33:06.185000,0.0,0.0
01/12/2022 00:34:04.339000,0.0,0.0
01/12/2022 00:35:04.838000,0.0,0.0
01/12/2022 00:36:04.868000,0.0,0.0
01/12/2022 00:37:06.323000,0.0,0.0
01/12/2022 00:38:07.049000,0.0,0.0
01/12/2022 00:39:05.443000,0.0,0.0
01/12/2022 00:40:05.463000,0.0,0.0
01/12/2022 00:41:06.142000,0.0,0.0
01/12/2022 00:42:04.899000,0.0,0.0
01/12/2022 00:43:05.608000,0.0,0.0
01/12/2022 00:44:07.065000,0.0,0.0
01/12/2022 00:45:05.460000,0.0,0.0
01/12/2022 00:46:05.957000,0.0,0.0
01/12/2022 00:47:04.539000,0.0,0.0
01/12/2022 00:48:05.483000,0.0,0.0
01/12/2022 00:49:05.519000,0.0,0.0
01/12/2022 00:50:06.133000,0.0,0.0
01/12/2022 00:51:05.480000,0.0,0.0
01/12/2022 00:52:06.081000,0.0,0.0
01/12/2022 00:53:04.226000,0.0,0.0
01/12/2022 00:54:04.944000,0.0,0.0
01/12/2022 00:55:04.757000,0.0,0.0
01/12/2022 00:56:05.466000,0.0,0.0
01/12/2022 00:57:06.256000,0.0,0.0
01/12/2022 00:58:06.003000,0.0,0.0
01/12/2022 00:59:04.975000,0.0,0.0
01/12/2022 01:00:30.115000,39.74114,-105.19824
01/12/2022 01:01:30.782000,39.74114,-105.19824
01/12/2022 01:02:37.638000,39.74114,-105.19824
01/12/2022 01:03:49.618000,39.74114,-105.19824
01/12/2022 01:04:58.104000,39.74114,-105.19824
01/12/2022 01:05:02.031000,39.74114,-105.19824
01/12/2022 01:06:07.991000,39.74114,-105.19824
01/12/2022 01:07:16.956000,39.74114,-105.19824
01/12/2022 01:08:21.627000,39.74114,-105.19824
01/12/2022 01:09:31.082000,39.74114,-105.19824
01/12/2022 01:10:39.414000,39.74114,-105.19824
01/12/2022 01:11:44.487000,39.74114,-105.19824
01/12/2022 01:12:55.503000,39.74114,-105.19824
01/12/2022 01:14:04.010000,39.74114,-105.19824
01/12/2022 01:14:04.058000,39.74114,-105.19824
01/12/2022 01:15:07.277000,39.74114,-105.19824
01/12/2022 01:16:18.426000,39.74114,-105.19824
01/12/2022 01:17:18.274000,39.74114,-105.19824
01/12/2022 01:18:25.138000,39.74114,-105.19824
01/12/2022 01:19:29.133000,39.74114,-105.19824
01/12/2022 01:20:42.858000,39.74114,-105.19824
01/12/2022 01:21:50.550000,39.74114,-105.19824
01/12/2022 01:22:56.186000,39.74114,-105.19824
01/12/2022 01:24:01.938000,39.74114,-105.19824
01/12/2022 01:24:02.520000,39.74114,-105.19824
01/12/2022 01:25:11.672000,39.74114,-105.19824
01/12/2022 01:26:18.029000,39.74114,-105.19824
01/12/2022 01:27:28.656000,39.74114,-105.19824
01/12/2022 01:28:32.451000,39.74114,-105.19824
01/12/2022 01:29:48.706000,39.74114,-105.19824
01/12/2022 01:30:46.440000,39.74114,-105.19824
01/12/2022 01:31:59.183000,39.74114,-105.19824
01/12/2022 01:32:02.268000,39.74114,-105.19824
01/12/2022 01:33:04.290000,39.74114,-105.19824
01/12/2022 01:34:06.013000,39.74114,-105.19824
01/12/2022 01:35:11.499000,39.74114,-105.19824
01/12/2022 01:36:30.251000,39.74114,-105.19824
