InstrumentName, La Casa Collo (Clarity),,,,,,,,
StartTime, 2022-02-01 00:00:00,,,,,,,,
EndTime, 2022-02-28 23:59:59,,,,,,,,
Date,no2Conc,pm10ConcMass,pm10ConcNum,pm1ConcMass,pm1ConcNum,pm2_5ConcMass,pm2_5ConcNum,relHumid,temperature
02/15/2022 19:35:03.000000,18.82,3.96,4.21,0.81,3.96,1.81,4.15,15.33,21.79
02/15/2022 19:52:41.000000,19.79,3.12,3.75,0.58,3.61,0.96,3.7,15.43,21.74
02/15/2022 20:10:21.000000,19.02,3.96,4.84,1.15,4.64,2.58,4.78,15.97,21.69
02/15/2022 20:27:59.000000,18.78,2.73,3.7,0.77,3.53,1.19,3.66,15.82,21.65
02/15/2022 20:45:36.000000,17.77,3.54,4.43,1.38,4.24,1.77,4.38,15.79,21.62
02/15/2022 21:03:14.000000,18.42,3.35,4.03,0.96,3.82,1.77,3.97,16.07,21.62
02/15/2022 21:13:03.000000,17.65,7.46,10.02,3.96,9.69,5.73,9.96,17.38,21.72
02/15/2022 21:20:18.000000,15.6,7.19,10.82,4.81,10.48,6.0,10.77,14.17,21.35
02/15/2022 21:37:59.000000,21.73,7.58,9.44,4.54,9.13,5.58,9.39,16.9,17.9
02/15/2022 21:55:41.000000,26.46,16.0,16.18,9.42,15.45,12.62,16.06,20.71,16.23
02/15/2022 22:13:20.000000,29.5,15.0,16.22,8.96,15.44,13.42,16.12,21.56,15.38
02/15/2022 22:31:00.000000,22.19,16.91,16.01,9.03,15.34,12.58,15.86,21.14,14.95
02/15/2022 22:48:42.000000,16.43,16.85,15.79,9.5,15.07,13.12,15.7,21.17,14.52
02/15/2022 23:06:21.000000,14.18,14.38,15.17,9.35,14.6,11.35,15.08,18.7,14.41
02/15/2022 23:24:04.000000,14.28,12.69,14.08,8.15,13.71,9.54,13.99,17.37,14.24
02/15/2022 23:41:49.000000,16.82,13.35,13.85,8.15,13.32,9.96,13.79,18.39,14.13
02/15/2022 23:59:31.000000,14.58,11.69,12.42,7.19,11.97,9.15,12.36,18.2,13.8
02/16/2022 00:17:14.000000,16.75,13.35,14.54,8.81,14.05,11.42,14.48,19.01,13.17
02/16/2022 00:34:57.000000,22.43,15.77,15.94,9.23,15.34,13.0,15.86,21.01,11.82
02/16/2022 00:52:40.000000,25.89,17.5,15.71,9.92,15.11,13.15,15.61,23.21,10.35
02/16/2022 01:10:23.000000,30.55,20.77,18.31,12.23,17.58,16.08,18.19,25.79,9.09
02/16/2022 01:28:03.000000,31.99,23.23,18.54,12.23,17.66,18.08,18.43,27.97,8.52
02/16/2022 01:45:43.000000,34.98,27.58,20.46,14.58,19.45,20.81,20.3,31.13,7.64
02/16/2022 02:03:27.000000,34.58,30.31,22.61,17.38,21.57,24.38,22.44,32.04,6.8
02/16/2022 02:21:07.000000,31.19,23.04,17.89,12.65,17.03,18.08,17.75,30.96,6.39
02/16/2022 02:38:51.000000,32.9,23.81,18.06,12.46,17.33,17.88,17.92,33.98,5.71
02/16/2022 02:56:31.000000,33.61,37.26,22.24,16.83,20.96,27.2,21.97,34.84,5.2
02/16/2022 03:14:15.000000,32.21,34.0,19.72,14.77,18.59,24.0,19.48,35.07,4.98
02/16/2022 03:31:56.000000,34.55,30.69,17.71,12.85,16.66,21.12,17.54,36.39,5.06
02/16/2022 03:49:36.000000,32.96,34.47,19.27,14.98,17.99,24.16,18.98,35.81,4.75
02/16/2022 04:07:17.000000,33.53,36.75,20.06,14.48,18.83,23.89,19.78,36.28,4.46
02/16/2022 04:25:01.000000,34.06,35.57,20.74,16.0,19.66,24.36,20.52,38.61,4.4
02/16/2022 04:42:42.000000,35.38,34.67,19.25,14.64,18.16,23.09,19.02,38.66,4.06
02/16/2022 05:00:26.000000,32.66,28.45,18.24,14.25,17.26,21.67,18.07,38.31,3.64
02/16/2022 05:18:08.000000,37.47,21.31,12.99,9.65,12.29,15.42,12.86,38.95,3.22
02/16/2022 05:35:49.000000,37.65,26.65,15.5,11.73,14.72,18.92,15.28,40.58,3.28
02/16/2022 05:53:34.000000,29.89,26.28,15.86,13.03,14.95,18.48,15.71,40.18,3.2
02/16/2022 06:11:15.000000,33.61,24.44,13.86,10.81,13.09,17.36,13.7,40.64,3.02
02/16/2022 06:28:56.000000,29.2,33.58,17.79,14.5,16.83,22.85,17.57,44.06,3.36
02/16/2022 06:46:37.000000,32.77,33.73,21.1,16.19,20.06,24.5,20.91,45.81,3.51
02/16/2022 07:04:18.000000,30.44,15.99,9.03,5.58,8.58,9.17,8.91,46.57,3.62
02/16/2022 07:22:02.000000,21.98,10.04,6.73,3.85,6.36,7.15,6.67,46.91,3.51
02/16/2022 07:39:44.000000,22.13,8.19,6.54,3.65,6.26,5.65,6.49,47.27,3.19
02/16/2022 07:57:25.000000,20.55,3.12,2.83,0.62,2.7,1.0,2.79,49.61,2.86
02/16/2022 08:15:06.000000,23.09,4.08,2.51,0.38,2.36,1.19,2.46,50.76,2.44
02/16/2022 08:32:47.000000,22.46,3.15,2.88,0.62,2.78,1.04,2.85,53.41,2.05
02/16/2022 08:50:29.000000,23.77,4.77,3.01,1.0,2.85,2.15,2.96,54.88,1.59
02/16/2022 09:08:10.000000,22.59,5.85,4.1,1.96,3.88,3.54,4.05,56.68,1.16
02/16/2022 09:25:52.000000,26.3,4.88,3.14,0.62,2.99,2.0,3.09,57.36,0.75
02/16/2022 09:43:37.000000,29.08,7.35,4.02,1.65,3.79,4.0,3.94,58.32,0.54
02/16/2022 10:01:18.000000,28.39,6.42,4.14,1.77,3.96,3.54,4.08,60.26,0.36
02/16/2022 10:19:00.000000,32.93,3.77,2.92,0.81,2.77,1.08,2.87,63.46,0.16
02/16/2022 10:36:42.000000,25.23,6.58,4.31,2.62,4.12,4.19,4.25,62.71,-0.14
02/16/2022 10:54:23.000000,29.24,5.42,4.1,2.04,3.88,3.81,4.06,64.12,-0.41
02/16/2022 11:12:05.000000,29.05,7.19,4.97,3.19,4.75,4.08,4.93,64.7,-0.82
02/16/2022 11:29:47.000000,28.48,12.58,5.51,2.83,5.19,6.42,5.39,65.58,-1.31
02/16/2022 11:47:32.000000,20.87,11.42,5.7,3.62,5.39,5.85,5.62,67.84,-1.55
02/16/2022 12:05:17.000000,26.98,9.0,5.25,3.96,4.99,6.69,5.19,66.79,-1.66
02/16/2022 12:22:59.000000,30.45,9.08,5.79,3.19,5.49,6.19,5.72,66.99,-2.14
02/16/2022 12:40:42.000000,32.49,15.73,7.63,5.15,7.24,9.54,7.5,69.63,-2.74
02/16/2022 12:58:24.000000,32.52,14.77,6.47,4.58,5.98,9.15,6.34,70.29,-2.91
02/16/2022 13:16:06.000000,34.23,17.04,8.34,5.81,7.82,12.15,8.19,70.55,-3.12
02/16/2022 13:33:49.000000,33.79,17.31,8.0,6.64,7.5,11.28,7.86,72.06,-3.49
02/16/2022 13:51:31.000000,34.34,16.58,9.43,7.88,8.92,13.46,9.34,72.98,-3.58
02/16/2022 14:09:13.000000,33.63,20.88,10.19,9.04,9.54,15.42,10.1,72.11,-3.28
02/16/2022 14:26:59.000000,31.01,19.35,9.25,7.62,8.66,13.96,9.12,71.19,-2.83
02/16/2022 14:44:44.000000,30.74,30.23,11.73,10.73,11.02,18.04,11.5,68.21,-1.87
02/16/2022 15:02:26.000000,29.34,17.31,9.24,7.54,8.72,11.54,9.13,65.57,-0.87
02/16/2022 15:20:08.000000,23.79,14.35,8.48,5.77,7.99,10.31,8.39,64.03,-0.21
02/16/2022 15:37:50.000000,23.58,16.81,8.62,6.69,8.2,9.69,8.51,61.94,0.42
02/16/2022 15:55:31.000000,24.87,17.12,9.82,7.35,9.2,12.23,9.72,62.91,0.48
02/16/2022 16:13:19.000000,25.33,14.62,9.51,7.58,9.01,11.08,9.43,63.74,0.27
02/16/2022 16:31:01.000000,17.0,7.92,5.21,2.62,4.89,5.42,5.15,64.36,0.14
02/16/2022 16:48:45.000000,15.68,17.88,9.02,7.0,8.42,11.54,8.9,66.19,-0.03
02/16/2022 17:06:30.000000,20.54,16.71,9.08,6.52,8.59,12.44,8.94,65.92,-0.25
02/16/2022 17:24:12.000000,27.64,9.77,6.19,4.15,5.88,7.0,6.12,66.8,-0.28
02/16/2022 17:41:54.000000,22.83,13.04,4.85,2.85,4.51,6.19,4.73,67.56,-0.31
02/16/2022 17:59:39.000000,19.57,14.12,6.54,4.0,6.11,8.23,6.44,66.53,-0.19
02/16/2022 18:17:24.000000,19.12,13.69,8.14,6.23,7.7,9.69,8.06,65.6,-0.08
02/16/2022 18:35:08.000000,20.29,18.88,9.09,6.69,8.39,13.0,8.96,64.88,0.02
02/16/2022 18:52:53.000000,30.88,15.46,8.35,6.19,7.84,11.15,8.26,65.53,0.07
02/16/2022 19:10:35.000000,16.9,26.15,11.64,10.08,10.78,17.73,11.48,64.09,-0.03
02/16/2022 19:28:16.000000,19.19,28.08,13.54,11.36,12.75,18.58,13.36,64.23,-0.05
02/16/2022 19:46:01.000000,20.14,12.73,7.09,4.69,6.67,8.54,7.0,64.68,-0.04
02/16/2022 20:03:52.000000,22.99,21.54,11.46,9.31,10.82,14.92,11.36,66.55,-0.13
02/16/2022 20:21:34.000000,25.11,16.5,8.14,5.81,7.61,10.97,8.0,66.96,-0.24
02/16/2022 20:39:19.000000,18.95,26.65,12.64,10.0,11.81,19.35,12.45,64.39,-0.07
02/16/2022 20:57:01.000000,17.93,23.5,12.54,10.35,11.71,18.12,12.39,63.05,0.2
02/16/2022 21:14:45.000000,16.71,20.52,9.51,7.67,8.86,13.28,9.36,63.55,0.25
02/16/2022 21:32:30.000000,21.63,22.65,11.5,9.19,10.58,17.42,11.33,66.37,0.18
02/16/2022 21:50:15.000000,23.82,15.31,7.37,5.15,6.88,10.46,7.27,69.43,0.0
02/16/2022 22:07:57.000000,24.49,18.65,8.71,6.42,8.11,12.77,8.6,72.44,-0.19
02/16/2022 22:25:39.000000,30.59,20.85,8.43,6.0,7.76,12.65,8.28,75.64,-0.45
02/16/2022 22:43:20.000000,25.83,28.27,12.27,10.39,11.3,19.61,12.04,76.21,-0.56
02/16/2022 23:01:02.000000,22.69,24.27,11.34,9.69,10.56,17.5,11.18,76.53,-0.66
02/16/2022 23:18:47.000000,24.01,20.5,10.05,8.08,9.22,15.88,9.91,77.51,-1.0
