InstrumentName, Woods Park,,
StartTime, 2022-05-01 00:00:00,,
EndTime, 2022-05-31 23:59:59,,
Date,PM1.0,PM10.0,PM2.5
05/01/2022 00:02:44.000000,0.0,0.17,0.0
05/01/2022 00:06:44.000000,0.0,0.09,0.09
05/01/2022 00:08:44.000000,0.0,0.38,0.21
05/01/2022 00:10:47.000000,0.0,0.09,0.0
05/01/2022 00:12:44.000000,0.0,0.0,0.0
05/01/2022 00:14:44.000000,0.0,0.18,0.18
05/01/2022 00:16:44.000000,0.0,0.05,0.05
05/01/2022 00:18:44.000000,0.0,0.0,0.0
05/01/2022 00:20:44.000000,0.0,0.11,0.0
05/01/2022 00:22:44.000000,0.0,0.0,0.0
05/01/2022 00:24:44.000000,0.0,0.02,0.02
05/01/2022 00:26:44.000000,0.0,0.1,0.02
05/01/2022 00:28:44.000000,0.0,0.12,0.0
05/01/2022 00:30:44.000000,0.0,0.21,0.0
05/01/2022 00:34:44.000000,0.0,0.0,0.0
05/01/2022 00:36:44.000000,0.0,0.02,0.02
05/01/2022 00:38:44.000000,0.0,0.0,0.0
05/01/2022 00:40:47.000000,0.0,0.0,0.0
05/01/2022 00:42:44.000000,0.0,0.1,0.1
05/01/2022 00:44:44.000000,0.0,0.0,0.0
05/01/2022 00:46:44.000000,0.0,0.09,0.0
05/01/2022 00:48:44.000000,0.0,0.21,0.21
05/01/2022 00:50:44.000000,0.07,0.58,0.5
05/01/2022 00:52:44.000000,0.0,0.25,0.25
05/01/2022 00:54:44.000000,0.0,0.35,0.16
05/01/2022 00:56:44.000000,0.0,0.0,0.0
05/01/2022 00:58:44.000000,0.0,0.22,0.22
05/01/2022 01:00:44.000000,0.0,0.0,0.0
05/01/2022 01:02:44.000000,0.0,0.24,0.24
05/01/2022 01:04:44.000000,0.0,0.41,0.32
05/01/2022 01:06:44.000000,0.0,0.46,0.44
05/01/2022 01:08:44.000000,0.0,0.12,0.12
05/01/2022 01:10:45.000000,0.0,0.05,0.05
05/01/2022 01:12:45.000000,0.0,0.17,0.05
05/01/2022 01:14:45.000000,0.25,0.92,0.68
05/01/2022 01:16:45.000000,0.84,1.52,1.36
05/01/2022 01:18:45.000000,1.8,2.5,2.41
05/01/2022 01:20:45.000000,1.1,2.27,1.98
05/01/2022 01:22:45.000000,1.1,2.14,1.85
05/01/2022 01:24:45.000000,0.53,1.09,1.09
05/01/2022 01:26:45.000000,0.7,1.77,1.38
05/01/2022 01:28:45.000000,0.84,1.62,1.28
05/01/2022 01:30:45.000000,0.79,1.28,1.28
05/01/2022 01:34:45.000000,0.89,1.67,1.35
05/01/2022 01:36:45.000000,1.07,1.58,1.51
05/01/2022 01:38:45.000000,0.47,0.98,0.73
05/01/2022 01:40:45.000000,0.9,1.36,1.36
05/01/2022 01:42:45.000000,0.95,1.45,1.36
05/01/2022 01:44:45.000000,1.18,1.74,1.74
05/01/2022 01:46:45.000000,1.54,2.05,2.05
05/01/2022 01:48:45.000000,1.0,1.62,1.62
05/01/2022 01:50:46.000000,0.57,1.0,1.0
05/01/2022 01:52:45.000000,0.85,1.3,1.09
05/01/2022 01:54:45.000000,0.97,1.69,1.69
05/01/2022 01:56:45.000000,0.72,1.18,1.18
05/01/2022 01:58:45.000000,1.0,1.76,1.55
05/01/2022 02:00:45.000000,0.96,1.48,1.39
05/01/2022 02:02:45.000000,0.97,1.37,1.12
05/01/2022 02:04:45.000000,0.86,1.31,1.31
05/01/2022 02:08:45.000000,0.81,1.63,1.37
05/01/2022 02:10:45.000000,0.79,1.84,1.62
05/01/2022 02:12:46.000000,1.34,1.93,1.93
05/01/2022 02:14:46.000000,1.0,1.6,1.42
05/01/2022 02:16:45.000000,0.71,1.02,0.85
05/01/2022 02:18:46.000000,0.83,1.14,1.05
05/01/2022 02:20:46.000000,0.91,1.3,1.3
05/01/2022 02:22:45.000000,0.7,1.09,1.07
05/01/2022 02:24:45.000000,0.46,1.14,0.75
05/01/2022 02:26:46.000000,0.88,1.07,0.92
05/01/2022 02:28:46.000000,0.93,1.19,1.19
05/01/2022 02:32:46.000000,0.84,1.26,1.17
05/01/2022 02:34:46.000000,0.76,1.22,1.22
05/01/2022 02:36:45.000000,0.48,1.21,0.86
05/01/2022 02:38:45.000000,0.75,1.25,1.05
05/01/2022 02:40:46.000000,0.75,1.16,0.98
05/01/2022 02:42:45.000000,0.73,1.14,1.05
05/01/2022 02:44:46.000000,1.12,1.43,1.43
05/01/2022 02:46:46.000000,23.24,40.07,36.37
05/01/2022 02:48:46.000000,3.8,6.34,5.68
05/01/2022 02:50:47.000000,0.98,2.22,1.92
05/01/2022 02:52:46.000000,1.17,1.59,1.56
05/01/2022 02:54:46.000000,0.95,1.51,1.3
05/01/2022 02:56:46.000000,1.3,1.95,1.95
05/01/2022 02:58:46.000000,1.0,1.47,1.31
05/01/2022 03:02:45.000000,0.39,1.26,0.88
05/01/2022 03:06:46.000000,0.66,1.52,1.34
05/01/2022 03:08:45.000000,0.8,1.44,1.29
05/01/2022 03:10:46.000000,0.41,1.17,1.17
05/01/2022 03:12:46.000000,1.12,1.66,1.66
05/01/2022 03:14:46.000000,0.8,1.78,1.63
05/01/2022 03:16:46.000000,0.95,1.76,1.52
05/01/2022 03:18:46.000000,1.27,2.16,2.02
05/01/2022 03:20:46.000000,1.0,1.69,1.61
05/01/2022 03:22:46.000000,0.98,1.72,1.6
05/01/2022 03:24:46.000000,1.3,1.91,1.91
05/01/2022 03:26:46.000000,1.09,1.7,1.7
05/01/2022 03:28:46.000000,0.53,1.1,1.1
05/01/2022 03:30:46.000000,1.31,2.42,2.03
05/01/2022 03:34:46.000000,1.12,2.3,1.95
05/01/2022 03:36:46.000000,1.05,1.86,1.72
05/01/2022 03:38:46.000000,1.12,2.25,1.81
05/01/2022 03:40:46.000000,0.58,1.19,1.08
05/01/2022 03:42:46.000000,0.6,1.04,1.04
05/01/2022 03:44:46.000000,0.91,1.75,1.54
05/01/2022 03:46:46.000000,0.73,1.61,1.39
05/01/2022 03:48:46.000000,0.54,1.27,1.02
05/01/2022 03:50:46.000000,1.25,1.65,1.56
05/01/2022 03:52:46.000000,1.05,1.84,1.84
05/01/2022 03:54:46.000000,0.95,1.52,1.32
05/01/2022 03:56:46.000000,0.92,1.59,1.42
05/01/2022 03:58:46.000000,1.26,2.29,1.91
05/01/2022 04:00:46.000000,0.53,1.46,1.18
05/01/2022 04:04:46.000000,0.98,1.44,1.37
05/01/2022 04:06:46.000000,0.65,1.4,1.4
05/01/2022 04:08:46.000000,0.95,1.14,1.0
05/01/2022 04:10:46.000000,0.79,1.43,1.43
05/01/2022 04:12:47.000000,0.77,1.07,1.02
05/01/2022 04:16:47.000000,0.95,1.31,1.2
05/01/2022 04:18:47.000000,0.9,1.34,1.34
05/01/2022 04:20:47.000000,1.02,1.6,1.6
05/01/2022 04:22:47.000000,1.39,1.93,1.93
05/01/2022 04:24:47.000000,1.73,2.46,2.24
05/01/2022 04:26:47.000000,1.37,2.1,1.88
05/01/2022 04:28:47.000000,1.23,2.11,1.88
05/01/2022 04:34:47.000000,2.25,3.19,3.19
05/01/2022 04:36:47.000000,2.05,2.62,2.45
05/01/2022 04:38:47.000000,2.05,2.54,2.32
05/01/2022 04:40:47.000000,1.81,2.32,2.18
05/01/2022 04:42:47.000000,1.64,2.41,2.41
05/01/2022 04:44:47.000000,1.49,2.31,2.03
05/01/2022 04:46:47.000000,1.77,2.79,2.59
05/01/2022 04:48:47.000000,2.55,3.72,3.72
05/01/2022 04:50:47.000000,2.2,3.02,3.02
05/01/2022 04:54:47.000000,1.84,3.05,2.67
05/01/2022 04:56:47.000000,2.12,3.47,3.18
05/01/2022 04:58:47.000000,2.25,3.41,3.1
05/01/2022 05:00:47.000000,2.46,3.22,3.1
05/01/2022 05:02:47.000000,3.02,4.26,3.97
05/01/2022 05:06:47.000000,4.75,6.34,5.97
05/01/2022 05:10:47.000000,5.43,7.26,7.05
05/01/2022 05:12:47.000000,4.32,5.95,5.78
05/01/2022 05:16:47.000000,4.07,5.56,5.3
05/01/2022 05:18:47.000000,3.82,5.46,5.12
05/01/2022 05:22:47.000000,3.64,5.24,4.59
05/01/2022 05:24:47.000000,3.88,5.14,4.93
05/01/2022 05:26:47.000000,3.39,4.3,4.12
05/01/2022 05:28:47.000000,2.73,4.17,4.03
05/01/2022 05:32:47.000000,3.0,3.72,3.72
05/01/2022 05:34:47.000000,2.82,4.14,3.96
05/01/2022 05:36:47.000000,3.12,3.93,3.88
05/01/2022 05:38:47.000000,2.76,4.15,3.97
05/01/2022 05:40:47.000000,2.25,3.44,3.14
05/01/2022 05:44:47.000000,2.83,4.16,3.72
05/01/2022 05:46:47.000000,2.98,4.05,3.93
05/01/2022 05:48:47.000000,2.57,3.22,3.22
05/01/2022 05:50:47.000000,2.56,3.67,3.46
05/01/2022 05:52:47.000000,2.38,3.27,3.14
05/01/2022 05:54:47.000000,2.07,2.71,2.71
05/01/2022 05:56:47.000000,1.95,3.17,2.58
05/01/2022 05:58:47.000000,1.57,2.71,2.31
05/01/2022 06:02:47.000000,1.12,1.75,1.75
05/01/2022 06:04:47.000000,1.58,2.39,2.19
05/01/2022 06:06:47.000000,1.33,2.36,2.07
05/01/2022 06:08:47.000000,1.05,1.7,1.7
05/01/2022 06:10:48.000000,1.44,2.17,2.02
05/01/2022 06:12:48.000000,1.39,2.02,1.82
05/01/2022 06:14:48.000000,1.12,2.05,1.65
05/01/2022 06:18:50.000000,0.85,2.08,2.02
05/01/2022 06:20:48.000000,1.58,2.11,2.05
05/01/2022 06:22:48.000000,1.29,2.27,1.8
05/01/2022 06:24:48.000000,1.37,1.86,1.86
05/01/2022 06:26:48.000000,1.4,2.16,2.12
05/01/2022 06:28:48.000000,1.29,2.12,1.95
05/01/2022 06:30:48.000000,1.41,2.3,2.25
05/01/2022 06:34:48.000000,1.1,1.92,1.73
05/01/2022 06:36:48.000000,0.93,1.76,1.5
05/01/2022 06:38:48.000000,0.91,1.39,1.39
05/01/2022 06:40:48.000000,1.05,1.81,1.81
05/01/2022 06:42:48.000000,0.69,1.34,1.34
05/01/2022 06:44:48.000000,1.2,1.92,1.75
05/01/2022 06:46:48.000000,1.29,2.02,1.8
05/01/2022 06:48:48.000000,0.63,1.3,1.18
05/01/2022 06:52:48.000000,1.08,1.73,1.73
05/01/2022 06:56:48.000000,1.14,2.11,1.84
05/01/2022 06:58:48.000000,1.36,1.8,1.8
05/01/2022 07:02:48.000000,1.02,2.44,2.05
05/01/2022 07:04:48.000000,1.14,1.84,1.77
05/01/2022 07:06:48.000000,1.17,2.16,2.03
05/01/2022 07:08:48.000000,1.23,1.87,1.7
05/01/2022 07:10:48.000000,1.52,2.41,2.31
05/01/2022 07:12:48.000000,1.72,2.57,2.48
05/01/2022 07:14:48.000000,0.75,2.02,1.78
05/01/2022 07:16:48.000000,1.56,2.23,2.07
05/01/2022 07:18:48.000000,1.36,2.41,2.2
05/01/2022 07:20:48.000000,0.95,1.68,1.61
05/01/2022 07:22:48.000000,1.66,2.61,2.49
05/01/2022 07:24:48.000000,1.39,2.18,2.11
05/01/2022 07:26:48.000000,0.91,2.29,1.89
05/01/2022 07:28:48.000000,1.62,2.34,2.34
05/01/2022 07:30:48.000000,1.78,2.29,2.19
05/01/2022 07:34:48.000000,1.75,2.46,2.38
05/01/2022 07:36:48.000000,1.58,2.54,2.41
05/01/2022 07:38:48.000000,1.9,2.59,2.32
05/01/2022 07:40:48.000000,1.55,2.07,2.07
05/01/2022 07:42:48.000000,1.84,2.55,2.39
