InstrumentName, Johnson Habitat Park (AXXKFSNJ),,,,,,,,,,,,,,,,,,,,,,,,,,,
StartTime, 2022-07-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
EndTime, 2022-07-31 23:59:59,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,no2Conc,no2Conc__value,no2Conc__weight,pm10ConcMass,pm10ConcMass__value,pm10ConcMass__weight,pm10ConcNum,pm10ConcNum__value,pm10ConcNum__weight,pm1ConcMass,pm1ConcMass__value,pm1ConcMass__weight,pm1ConcNum,pm1ConcNum__value,pm1ConcNum__weight,pm2_5ConcMass,pm2_5ConcMass__calibratedValue,pm2_5ConcMass__value,pm2_5ConcMass__weight,pm2_5ConcNum,pm2_5ConcNum__value,pm2_5ConcNum__weight,relHumid,relHumid__value,relHumid__weight,temperature,temperature__value,temperature__weight
07/01/2022 00:13:47.000000,13.68,13.68,1.0,3.5,3.5,1.0,2.2,2.2,1.0,0.38,0.38,1.0,2.09,2.09,1.0,0.96,2.71,2.71,1.0,2.16,2.16,1.0,55.12,55.12,1.0,21.45,21.45,1.0
07/01/2022 00:30:56.000000,17.18,17.18,1.0,3.35,3.35,1.0,2.92,2.92,1.0,0.38,0.38,1.0,2.77,2.77,1.0,1.0,3.2,3.2,1.0,2.88,2.88,1.0,55.05,55.05,1.0,21.4,21.4,1.0
07/01/2022 00:48:05.000000,16.49,16.49,1.0,3.12,3.12,1.0,2.25,2.25,1.0,0.19,0.19,1.0,2.15,2.15,1.0,0.77,2.72,2.72,1.0,2.21,2.21,1.0,56.86,56.86,1.0,20.99,20.99,1.0
07/01/2022 01:05:14.000000,17.22,17.22,1.0,3.27,3.27,1.0,2.32,2.32,1.0,0.0,0.0,1.0,2.22,2.22,1.0,0.77,2.75,2.75,1.0,2.28,2.28,1.0,57.93,57.93,1.0,20.73,20.73,1.0
07/01/2022 01:22:23.000000,12.84,12.84,1.0,2.54,2.54,1.0,1.95,1.95,1.0,0.0,0.0,1.0,1.84,1.84,1.0,0.38,2.56,2.56,1.0,1.9,1.9,1.0,56.17,56.17,1.0,20.73,20.73,1.0
07/01/2022 01:39:32.000000,10.13,10.13,1.0,2.35,2.35,1.0,2.01,2.01,1.0,0.19,0.19,1.0,1.92,1.92,1.0,0.81,2.67,2.67,1.0,1.97,1.97,1.0,54.07,54.07,1.0,20.93,20.93,1.0
07/01/2022 01:56:41.000000,7.75,7.75,1.0,2.31,2.31,1.0,2.1,2.1,1.0,0.0,0.0,1.0,2.03,2.03,1.0,0.19,2.76,2.76,1.0,2.07,2.07,1.0,52.94,52.94,1.0,21.07,21.07,1.0
07/01/2022 02:13:50.000000,7.72,7.72,1.0,3.31,3.31,1.0,2.08,2.08,1.0,0.0,0.0,1.0,1.94,1.94,1.0,1.0,2.75,2.75,1.0,2.02,2.02,1.0,52.65,52.65,1.0,21.01,21.01,1.0
07/01/2022 02:30:59.000000,10.45,10.45,1.0,2.12,2.12,1.0,1.79,1.79,1.0,0.19,0.19,1.0,1.71,1.71,1.0,0.38,2.55,2.55,1.0,1.76,1.76,1.0,53.79,53.79,1.0,20.82,20.82,1.0
07/01/2022 02:48:08.000000,12.77,12.77,1.0,2.35,2.35,1.0,2.28,2.28,1.0,0.19,0.19,1.0,2.16,2.16,1.0,0.81,2.86,2.86,1.0,2.24,2.24,1.0,54.6,54.6,1.0,20.66,20.66,1.0
07/01/2022 03:05:17.000000,13.03,13.03,1.0,3.92,3.92,1.0,3.37,3.37,1.0,1.0,1.0,1.0,3.2,3.2,1.0,1.42,3.6,3.6,1.0,3.31,3.31,1.0,54.05,54.05,1.0,20.59,20.59,1.0
07/01/2022 03:22:26.000000,8.65,8.65,1.0,3.69,3.69,1.0,2.45,2.45,1.0,0.38,0.38,1.0,2.32,2.32,1.0,1.19,3.08,3.08,1.0,2.41,2.41,1.0,51.01,51.01,1.0,20.94,20.94,1.0
07/01/2022 03:39:34.000000,3.13,3.13,1.0,3.31,3.31,1.0,2.37,2.37,1.0,0.38,0.38,1.0,2.25,2.25,1.0,1.0,3.13,3.13,1.0,2.34,2.34,1.0,49.2,49.2,1.0,20.59,20.59,1.0
07/01/2022 03:56:44.000000,6.45,6.45,1.0,2.96,2.96,1.0,2.13,2.13,1.0,0.0,0.0,1.0,2.04,2.04,1.0,0.65,2.99,2.99,1.0,2.09,2.09,1.0,49.52,49.52,1.0,20.17,20.17,1.0
07/01/2022 04:13:53.000000,9.92,9.92,1.0,2.92,2.92,1.0,2.26,2.26,1.0,0.38,0.38,1.0,2.16,2.16,1.0,0.62,3.08,3.08,1.0,2.23,2.23,1.0,50.51,50.51,1.0,19.78,19.78,1.0
07/01/2022 04:31:02.000000,7.12,7.12,1.0,2.73,2.73,1.0,2.32,2.32,1.0,0.38,0.38,1.0,2.2,2.2,1.0,1.0,3.14,3.14,1.0,2.27,2.27,1.0,50.76,50.76,1.0,19.29,19.29,1.0
07/01/2022 04:48:11.000000,11.47,11.47,1.0,2.12,2.12,1.0,1.97,1.97,1.0,0.0,0.0,1.0,1.9,1.9,1.0,0.0,2.91,2.91,1.0,1.93,1.93,1.0,51.92,51.92,1.0,18.88,18.88,1.0
07/01/2022 05:05:21.000000,11.66,11.66,1.0,2.42,2.42,1.0,2.02,2.02,1.0,0.19,0.19,1.0,1.91,1.91,1.0,0.58,2.93,2.93,1.0,1.98,1.98,1.0,53.88,53.88,1.0,18.26,18.26,1.0
07/01/2022 05:22:30.000000,16.01,16.01,1.0,3.69,3.69,1.0,2.28,2.28,1.0,0.0,0.0,1.0,2.15,2.15,1.0,1.19,3.07,3.07,1.0,2.22,2.22,1.0,55.58,55.58,1.0,17.73,17.73,1.0
07/01/2022 05:39:40.000000,18.11,18.11,1.0,2.69,2.69,1.0,2.28,2.28,1.0,0.38,0.38,1.0,2.13,2.13,1.0,0.77,3.07,3.07,1.0,2.24,2.24,1.0,57.18,57.18,1.0,17.27,17.27,1.0
07/01/2022 05:56:50.000000,19.83,19.83,1.0,3.69,3.69,1.0,2.99,2.99,1.0,0.81,0.81,1.0,2.87,2.87,1.0,1.38,3.57,3.57,1.0,2.94,2.94,1.0,57.76,57.76,1.0,16.74,16.74,1.0
07/01/2022 06:14:00.000000,25.05,25.05,1.0,4.88,4.88,1.0,4.02,4.02,1.0,1.04,1.04,1.0,3.8,3.8,1.0,2.19,4.21,4.21,1.0,3.97,3.97,1.0,59.69,59.69,1.0,16.43,16.43,1.0
07/01/2022 06:31:09.000000,23.73,23.73,1.0,3.73,3.73,1.0,3.16,3.16,1.0,1.0,1.0,1.0,3.03,3.03,1.0,1.0,3.61,3.61,1.0,3.12,3.12,1.0,60.57,60.57,1.0,16.38,16.38,1.0
07/01/2022 06:48:20.000000,23.06,23.06,1.0,4.15,4.15,1.0,3.09,3.09,1.0,0.62,0.62,1.0,2.97,2.97,1.0,1.23,3.56,3.56,1.0,3.05,3.05,1.0,60.87,60.87,1.0,16.37,16.37,1.0
