InstrumentName, CCD_Jaspe_007,,,,,,,,,,,,,,
StartTime, 2022-09-01 00:00:00,,,,,,,,,,,,,,
EndTime, 2022-09-30 23:59:59,,,,,,,,,,,,,,
Date,*Lat,*Lon,F1,F3,F4,Hmdty,PM10,PM102,PM1_0,PM1_02,PM2_5,PM2_52,Sig,Temp,Uncertainty
09/23/2022 16:02:55.204000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.03,0.0,0.0,0.0,0.03,0.0,,-1.0,334.0
09/23/2022 16:03:55.024000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.63,0.27,0.17,0.0,0.27,0.03,,-1.0,334.0
09/23/2022 16:04:54.907000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.77,0.37,0.17,0.0,0.3,0.13,,-1.0,334.0
09/23/2022 16:05:53.862000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.37,0.13,0.0,0.0,0.37,0.13,,-1.0,334.0
09/23/2022 16:06:55.211000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.18,0.08,0.0,0.0,0.18,0.08,,-1.0,334.0
09/23/2022 16:07:53.804000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.07,0.0,0.0,0.0,0.07,0.0,,-1.0,334.0
09/23/2022 16:08:54.542000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.03,0.03,0.0,0.0,0.03,0.03,,-1.0,334.0
09/23/2022 16:09:54.783000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.17,0.15,0.0,0.0,0.17,0.15,,-1.0,334.0
09/23/2022 16:10:54.008000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.38,0.15,0.0,0.0,0.38,0.15,,-1.0,334.0
09/23/2022 16:11:55.642000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.45,0.0,0.0,0.0,0.45,0.0,,-1.0,334.0
09/23/2022 16:12:56.284000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.47,0.0,0.12,0.0,0.47,0.0,,-1.0,334.0
09/23/2022 16:13:55.825000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.98,0.0,0.2,0.0,0.65,0.0,,-1.0,334.0
09/23/2022 16:14:55.843000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.67,0.03,0.08,0.0,0.33,0.03,,-1.0,334.0
09/23/2022 16:15:55.728000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.27,0.25,0.0,0.0,0.27,0.25,,-1.0,334.0
09/23/2022 16:16:55.421000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.22,0.22,0.03,0.0,0.22,0.22,,-1.0,334.0
09/23/2022 16:17:53.279000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.12,0.0,0.03,0.0,0.12,0.0,,-1.0,334.0
09/23/2022 16:18:55.465000,39.731792,-105.200829,1.0,0.0,0.0,-1.0,0.4,0.25,0.0,0.0,0.4,0.25,,-1.0,334.0
