InstrumentName, Legacy Option High School (RAMP 1354),,,,,,,,,,,,,,,,,,,,,,
StartTime, 2022-10-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,
EndTime, 2022-10-31 23:59:59,,,,,,,,,,,,,,,,,,,,,,
Date,batt,brdv,cell,chrg,csq,fwv,humid,humid2,misc,pm1.0,pm1.0_2,pm10,pm10_2,pm2.5,pm2.5_2,port,run,sd,snr,temp,temp2,wdir,wspd
10/06/2022 14:54:06.000000,,,,,,,33.6,34.0,,6.95,7.1,10.05,10.68,9.75,10.28,,,,,18.5,18.1,375.0,0.0
10/06/2022 14:55:06.000000,3.83,83.0,105100.0,1.61,-63.0,977.0,33.6,34.0,75.0,7.29,7.86,10.49,10.98,10.29,10.6,0.0,193.32,1000.0,-1.0,18.5,18.1,375.0,0.0
10/06/2022 14:56:06.000000,,,,,,,33.6,34.0,,7.33,8.18,10.84,11.5,10.34,11.24,,,,,18.5,18.1,375.0,0.0
10/06/2022 14:57:06.000000,3.82,83.0,105100.0,3.22,-65.0,977.0,33.6,34.0,75.0,7.17,8.08,9.93,11.42,9.77,11.27,0.0,215.87,1000.0,-3.0,18.5,18.1,375.0,0.0
10/06/2022 14:58:07.000000,,,,,,,33.6,34.0,,7.5,8.41,10.86,11.15,10.64,11.1,,,,,18.5,18.1,375.0,0.0
10/06/2022 14:59:07.000000,3.82,83.0,105100.0,3.22,-67.0,977.0,33.6,34.0,75.0,7.82,7.91,11.77,10.92,11.2,10.7,0.0,238.43,1000.0,-3.0,18.5,18.1,375.0,0.0
10/06/2022 15:00:06.000000,,,,,,,33.6,34.1,,7.45,7.97,11.36,11.04,10.97,10.84,,,,,18.5,18.1,375.0,0.0
10/06/2022 15:01:07.000000,3.82,83.0,105100.0,3.22,-67.0,977.0,33.6,34.1,75.0,7.6,7.82,11.23,10.68,11.02,10.46,0.0,254.54,1000.0,0.0,18.5,18.0,375.0,0.0
10/06/2022 15:02:07.000000,,,,,,,33.5,34.1,,7.68,7.64,11.52,10.76,10.79,10.47,,,,,18.5,18.1,375.0,0.0
10/06/2022 15:03:07.000000,3.83,83.0,105100.0,3.22,-65.0,977.0,33.5,34.1,75.0,7.31,7.81,10.9,10.8,10.62,10.49,0.0,196.54,1000.0,-4.0,18.5,18.1,375.0,0.0
10/06/2022 15:04:07.000000,,,,,,,33.6,34.0,,7.43,7.71,10.83,10.69,10.73,10.53,,,,,18.5,18.0,375.0,0.0
10/06/2022 15:05:08.000000,3.82,83.0,105100.0,1.61,-65.0,977.0,33.5,34.1,75.0,7.6,7.32,10.55,10.11,10.36,9.81,0.0,204.6,1000.0,-4.0,18.5,18.1,375.0,0.0
10/06/2022 15:06:07.000000,,,,,,,33.6,34.1,,7.49,7.56,11.26,10.31,11.19,9.92,,,,,18.5,18.0,375.0,0.0
10/06/2022 15:07:07.000000,3.83,83.0,105100.0,1.61,-67.0,977.0,33.5,34.1,75.0,7.54,7.41,11.88,11.01,11.65,10.74,0.0,201.38,1000.0,-2.0,18.5,18.1,375.0,0.0
10/06/2022 15:08:07.000000,,,,,,,33.6,34.1,,7.51,7.09,11.26,10.87,11.19,10.35,,,,,18.5,18.0,375.0,0.0
