InstrumentName, SAMS,,,,,,,,,,
StartTime, 2022-10-01 00:00:00,,,,,,,,,,
EndTime, 2022-10-31 23:59:59,,,,,,,,,,
Date,42603,68108,85101,Ambient Avg Temperature,Carbon monoxide,Nitric oxide,Nitrogen dioxide,PM2.5 - Local Conditions,Relative Humidity,Wind Direction,Wind speed
10/01/2022 00:00:00.000000,13.8,0.808,,20.2,0.15,0.8,12.9,,53.1,326.2,0.0
10/01/2022 00:01:00.000000,13.3,0.808,,20.2,0.16,0.8,12.4,,53.1,340.2,0.0
10/01/2022 00:02:00.000000,12.2,0.808,,20.2,0.17,0.8,11.4,,53.1,335.4,0.0
10/01/2022 00:03:00.000000,11.2,0.808,,20.2,0.2,0.7,10.5,,53.1,323.5,0.0
10/01/2022 00:04:00.000000,10.7,0.808,,20.2,0.18,0.7,10.0,,53.1,2.4,0.0
10/01/2022 00:05:00.000000,10.6,0.808,,20.2,0.17,0.6,10.0,,53.1,269.0,0.0
10/01/2022 00:06:00.000000,10.8,0.808,,20.2,0.16,0.6,10.1,,53.1,127.1,0.0
10/01/2022 00:07:00.000000,11.6,0.808,,20.2,0.18,0.8,10.8,,53.1,126.1,0.0
10/01/2022 00:08:00.000000,12.8,0.808,,20.2,0.22,1.0,11.8,,53.1,164.6,0.0
10/01/2022 00:09:00.000000,13.9,0.808,,20.2,0.24,1.0,12.8,,53.1,186.1,0.0
10/01/2022 00:10:00.000000,14.3,0.808,,20.2,0.22,1.1,13.2,,53.1,112.4,0.0
10/01/2022 00:11:00.000000,14.3,0.808,,20.2,0.19,1.0,13.2,,53.1,96.2,0.0
10/01/2022 00:12:00.000000,14.3,0.808,,20.2,0.17,1.0,13.3,,53.1,99.3,0.0
10/01/2022 00:13:00.000000,14.0,0.808,,20.2,0.15,1.0,12.9,,53.1,85.6,0.0
10/01/2022 00:14:00.000000,13.2,0.808,,20.2,0.13,0.9,12.2,,53.1,93.5,0.0
10/01/2022 00:15:00.000000,12.1,0.808,,20.2,0.14,0.7,11.4,,53.1,103.9,0.0
10/01/2022 00:16:00.000000,10.9,0.808,,20.2,0.17,0.5,10.3,,53.1,91.4,0.0
10/01/2022 00:17:00.000000,9.9,0.808,,20.2,0.21,0.4,9.5,,53.1,107.0,0.0
10/01/2022 00:18:00.000000,8.9,0.808,,20.2,0.18,0.3,8.6,,53.1,93.0,0.0
10/01/2022 00:19:00.000000,8.3,0.808,,20.2,0.16,0.3,8.0,,53.1,88.9,0.0
10/01/2022 00:20:00.000000,7.9,0.808,,20.2,0.13,0.3,7.6,,53.1,102.7,0.0
10/01/2022 00:21:00.000000,8.2,0.808,,20.2,0.13,0.3,7.8,,53.1,90.2,0.0
10/01/2022 00:22:00.000000,8.7,0.808,,20.2,0.13,0.3,8.3,,53.1,100.6,0.0
10/01/2022 00:23:00.000000,8.8,0.808,,20.2,0.16,0.3,8.4,,53.1,104.2,0.0
10/01/2022 00:24:00.000000,8.8,0.808,,20.2,0.15,0.3,8.5,,53.1,113.8,0.0
10/01/2022 00:25:00.000000,8.9,0.808,,20.2,0.15,0.3,8.5,,53.1,108.0,0.0
10/01/2022 00:26:00.000000,9.2,0.808,,20.2,0.17,0.4,8.8,,53.1,112.6,0.0
10/01/2022 00:27:00.000000,9.5,0.808,,20.2,0.17,0.4,9.0,,53.1,96.5,0.0
10/01/2022 00:28:00.000000,9.9,0.808,,20.2,0.16,0.5,9.3,,53.1,90.0,0.0
10/01/2022 00:29:00.000000,10.3,0.808,,20.2,0.18,0.6,9.7,,53.1,90.3,0.0
10/01/2022 00:30:00.000000,10.6,0.808,,20.2,0.19,0.6,9.9,,53.1,93.1,0.0
10/01/2022 00:31:00.000000,10.8,0.808,,20.2,0.18,0.7,10.0,,53.1,118.6,0.0
10/01/2022 00:32:00.000000,11.5,0.808,,20.2,0.19,0.9,10.6,,53.1,152.7,0.0
10/01/2022 00:33:00.000000,12.7,0.808,,20.2,0.22,1.1,11.5,,53.1,204.3,0.0
10/01/2022 00:34:00.000000,13.6,0.808,,20.2,0.24,1.2,12.3,,53.1,237.9,0.0
10/01/2022 00:35:00.000000,14.0,0.808,,20.2,0.22,1.2,12.8,,53.1,269.1,0.0
10/01/2022 00:36:00.000000,13.9,0.808,,20.2,0.18,1.1,12.7,,53.1,293.4,0.0
10/01/2022 00:37:00.000000,13.9,0.808,,20.2,0.18,1.1,12.8,,53.1,320.8,0.0
10/01/2022 00:38:00.000000,14.1,0.808,,20.2,0.19,1.0,13.0,,53.1,334.7,0.0
10/01/2022 00:39:00.000000,14.0,0.808,,20.2,0.17,1.0,13.0,,53.1,22.2,0.0
10/01/2022 00:40:00.000000,13.4,0.808,,20.2,0.18,0.8,12.6,,53.1,51.1,0.0
10/01/2022 00:41:00.000000,12.1,0.808,,20.2,0.18,0.6,11.5,,53.1,63.4,0.0
10/01/2022 00:42:00.000000,11.5,0.808,,20.2,0.17,0.5,10.9,,53.1,83.9,0.0
10/01/2022 00:43:00.000000,11.2,0.808,,20.2,0.18,0.5,10.7,,53.1,95.0,0.0
10/01/2022 00:44:00.000000,11.3,0.808,,20.2,0.18,0.5,10.7,,53.1,86.0,0.0
10/01/2022 00:45:00.000000,11.0,0.808,,20.2,0.18,0.4,10.5,,53.1,93.1,0.0
10/01/2022 00:46:00.000000,10.8,0.808,,20.2,0.17,0.4,10.4,,53.1,106.1,0.0
10/01/2022 00:47:00.000000,10.5,0.808,,20.2,0.17,0.3,10.1,,53.1,132.0,0.0
10/01/2022 00:48:00.000000,10.5,0.808,,20.2,0.16,0.4,10.1,,53.1,108.6,0.0
10/01/2022 00:49:00.000000,10.9,0.808,,20.2,0.18,0.4,10.4,,53.1,93.9,0.0
10/01/2022 00:50:00.000000,11.0,0.808,,20.2,0.17,0.4,10.5,,53.1,92.0,0.0
10/01/2022 00:51:00.000000,11.0,0.808,,20.2,0.16,0.4,10.5,,53.1,98.2,0.0
10/01/2022 00:52:00.000000,11.0,0.808,,20.2,0.18,0.4,10.5,,53.1,127.4,0.0
10/01/2022 00:53:00.000000,11.7,0.808,,20.2,0.18,0.7,10.9,,53.1,95.4,0.0
10/01/2022 00:54:00.000000,12.4,0.808,,20.2,0.21,0.9,11.5,,53.1,83.2,0.0
10/01/2022 00:55:00.000000,12.7,0.808,,20.2,0.21,0.9,11.7,,53.1,89.7,0.0
10/01/2022 00:56:00.000000,12.6,0.808,,20.2,0.18,0.8,11.7,,53.1,112.0,0.0
10/01/2022 00:57:00.000000,12.5,0.808,,20.2,0.18,0.8,11.6,,53.1,173.5,0.0
10/01/2022 00:58:00.000000,12.7,0.808,,20.2,0.19,0.8,11.8,,53.1,288.9,0.0
10/01/2022 00:59:00.000000,12.7,0.808,,20.2,0.18,0.8,11.8,,53.1,256.0,0.0
10/01/2022 01:00:00.000000,12.8,0.808,,20.2,0.18,0.8,11.9,,53.1,238.7,0.0
10/01/2022 01:01:00.000000,12.2,0.808,,20.2,0.21,0.4,11.7,,53.1,271.0,0.0
10/01/2022 01:02:00.000000,11.7,0.808,,20.2,0.21,0.3,11.4,,53.1,280.9,0.0
10/01/2022 01:03:00.000000,11.7,0.808,,20.2,0.2,0.3,11.4,,53.1,277.8,0.0
10/01/2022 01:04:00.000000,11.7,0.808,,20.2,0.19,0.2,11.4,,53.1,274.1,0.0
10/01/2022 01:05:00.000000,11.8,0.808,,20.2,0.18,0.3,11.5,,53.1,280.9,0.0
10/01/2022 01:06:00.000000,14.1,0.808,,20.2,0.19,0.9,13.2,,53.1,273.9,0.0
10/01/2022 01:07:00.000000,24.9,0.808,,20.2,0.18,3.7,21.2,,53.1,267.7,0.0
10/01/2022 01:08:00.000000,21.7,0.808,,20.2,0.18,2.0,19.7,,53.1,260.8,0.0
10/01/2022 01:09:00.000000,18.6,0.808,,20.2,0.19,1.1,17.5,,53.1,267.7,0.0
10/01/2022 01:10:00.000000,18.1,0.808,,20.2,0.18,1.0,17.0,,53.1,297.0,0.0
10/01/2022 01:11:00.000000,18.3,0.808,,20.2,0.18,1.1,17.1,,53.1,274.9,0.0
10/01/2022 01:12:00.000000,18.9,0.808,,20.2,0.17,1.2,17.7,,53.1,287.4,0.0
10/01/2022 01:13:00.000000,19.4,0.808,,20.2,0.18,1.2,18.1,,53.1,277.1,0.0
10/01/2022 01:14:00.000000,20.0,0.808,,20.2,0.21,1.2,18.7,,53.1,294.1,0.0
10/01/2022 01:15:00.000000,20.6,0.808,,20.2,0.2,1.2,19.3,,53.1,299.3,0.0
10/01/2022 01:16:00.000000,20.6,0.808,,20.2,0.19,1.1,19.4,,53.1,358.6,0.0
10/01/2022 01:17:00.000000,20.4,0.808,,20.2,0.2,1.1,19.2,,53.1,24.0,0.0
10/01/2022 01:18:00.000000,19.9,0.808,,20.2,0.22,1.0,18.9,,53.1,25.0,0.0
10/01/2022 01:19:00.000000,19.2,0.808,,20.2,0.22,0.9,18.3,,53.1,35.5,0.0
10/01/2022 01:20:00.000000,18.1,0.808,,20.2,0.23,0.7,17.4,,53.1,41.0,0.0
10/01/2022 01:21:00.000000,17.3,0.808,,20.2,0.22,0.7,16.6,,53.1,67.2,0.0
10/01/2022 01:22:00.000000,16.4,0.808,,20.2,0.24,0.7,15.7,,53.1,77.5,0.0
10/01/2022 01:23:00.000000,15.8,0.808,,20.2,0.23,0.7,15.0,,53.1,86.9,0.0
10/01/2022 01:24:00.000000,15.5,0.808,,20.2,0.24,0.7,14.8,,53.1,80.6,0.0
10/01/2022 01:25:00.000000,15.5,0.808,,20.2,0.23,0.7,14.8,,53.1,77.9,0.0
10/01/2022 01:26:00.000000,15.7,0.808,,20.2,0.23,0.6,15.0,,53.1,73.7,0.0
10/01/2022 01:27:00.000000,15.9,0.808,,20.2,0.22,0.8,15.1,,53.1,84.5,0.0
10/01/2022 01:28:00.000000,16.6,0.808,,20.2,0.24,1.1,15.4,,53.1,76.1,0.0
10/01/2022 01:29:00.000000,17.2,0.808,,20.2,0.26,1.2,15.9,,53.1,68.4,0.0
10/01/2022 01:30:00.000000,17.5,0.808,,20.2,0.25,1.2,16.3,,53.1,46.8,0.0
10/01/2022 01:31:00.000000,17.9,0.808,,20.2,0.25,1.2,16.6,,53.1,45.5,0.0
10/01/2022 01:32:00.000000,18.4,0.808,,20.2,0.26,1.3,17.1,,53.1,43.5,0.0
10/01/2022 01:33:00.000000,18.9,0.808,,20.2,0.24,1.3,17.6,,53.1,18.4,0.0
10/01/2022 01:34:00.000000,19.3,0.808,,20.2,0.24,1.3,18.0,,53.1,18.3,0.0
10/01/2022 01:35:00.000000,19.4,0.808,,20.2,0.27,1.1,18.3,,53.1,34.6,0.0
10/01/2022 01:36:00.000000,19.2,0.808,,20.2,0.28,0.7,18.4,,53.1,46.3,0.0
10/01/2022 01:37:00.000000,19.0,0.808,,20.2,0.29,0.7,18.3,,53.1,16.0,0.0
10/01/2022 01:38:00.000000,19.0,0.808,,20.2,0.28,0.6,18.3,,53.1,19.3,0.0
10/01/2022 01:39:00.000000,18.7,0.808,,20.2,0.28,0.6,18.1,,53.1,24.4,0.0
10/01/2022 01:40:00.000000,18.4,0.808,,20.2,0.27,0.5,17.8,,53.1,23.4,0.0
10/01/2022 01:41:00.000000,18.1,0.808,,20.2,0.26,0.5,17.5,,53.1,28.1,0.0
10/01/2022 01:42:00.000000,17.8,0.808,,20.2,0.26,0.5,17.3,,53.1,29.2,0.0
10/01/2022 01:43:00.000000,17.3,0.808,,20.2,0.24,0.5,16.7,,53.1,22.9,0.0
10/01/2022 01:44:00.000000,16.6,0.808,,20.2,0.22,0.5,16.1,,53.1,9.0,0.0
10/01/2022 01:45:00.000000,15.6,0.808,,20.2,0.22,0.4,15.1,,53.1,10.0,0.0
10/01/2022 01:46:00.000000,14.4,0.808,,20.2,0.19,0.3,14.0,,53.1,357.7,0.0
10/01/2022 01:47:00.000000,13.3,0.808,,20.2,0.18,0.3,12.9,,53.1,33.3,0.0
10/01/2022 01:48:00.000000,12.2,0.808,,20.2,0.17,0.3,11.8,,53.1,51.6,0.0
10/01/2022 01:49:00.000000,11.0,0.808,,20.2,0.17,0.3,10.6,,53.1,23.5,0.0
10/01/2022 01:50:00.000000,9.9,0.808,,20.2,0.17,0.3,9.5,,53.1,31.2,0.0
10/01/2022 01:51:00.000000,9.0,0.808,,20.2,0.16,0.3,8.7,,53.1,49.3,0.0
10/01/2022 01:52:00.000000,8.3,0.808,,20.2,0.16,0.3,8.0,,53.1,56.5,0.0
10/01/2022 01:53:00.000000,7.9,0.808,,20.2,0.17,0.3,7.6,,53.1,46.5,0.0
10/01/2022 01:54:00.000000,7.9,0.808,,20.2,0.18,0.3,7.6,,53.1,65.8,0.0
10/01/2022 01:55:00.000000,8.1,0.808,,20.2,0.17,0.4,7.7,,53.1,51.8,0.0
10/01/2022 01:56:00.000000,8.1,0.808,,20.2,0.18,0.4,7.7,,53.1,59.5,0.0
10/01/2022 01:57:00.000000,8.1,0.808,,20.2,0.17,0.4,7.7,,53.1,22.0,0.0
10/01/2022 01:58:00.000000,8.2,0.808,,20.2,0.17,0.4,7.7,,53.1,35.3,0.0
10/01/2022 01:59:00.000000,8.2,0.808,,20.2,0.19,0.4,7.8,,53.1,11.1,0.0
10/01/2022 02:00:00.000000,8.3,0.808,,20.2,0.19,0.4,7.9,,53.1,18.3,0.0
10/01/2022 02:01:00.000000,8.4,0.808,,20.2,0.18,0.3,8.0,,53.1,330.8,0.0
10/01/2022 02:02:00.000000,8.4,0.808,,20.2,0.18,0.3,8.0,,53.1,305.1,0.0
10/01/2022 02:03:00.000000,8.4,0.808,,20.2,0.17,0.3,8.1,,53.1,353.8,0.0
10/01/2022 02:04:00.000000,8.6,0.808,,20.2,0.2,0.3,8.3,,53.1,14.0,0.0
10/01/2022 02:05:00.000000,9.1,0.808,,20.2,0.28,0.3,8.7,,53.1,318.7,0.0
10/01/2022 02:06:00.000000,9.4,0.808,,20.2,0.27,0.3,9.1,,53.1,269.3,0.0
10/01/2022 02:07:00.000000,9.9,0.808,,20.2,0.2,0.3,9.5,,53.1,307.5,0.0
10/01/2022 02:08:00.000000,10.5,0.808,,20.2,0.2,0.3,10.1,,53.1,281.3,0.0
10/01/2022 02:09:00.000000,11.1,0.808,,20.2,0.2,0.3,10.7,,53.1,284.3,0.0
10/01/2022 02:10:00.000000,11.7,0.808,,20.2,0.19,0.3,11.3,,53.1,258.1,0.0
10/01/2022 02:11:00.000000,12.4,0.808,,20.2,0.19,0.3,12.0,,53.1,263.6,0.0
10/01/2022 02:12:00.000000,12.9,0.808,,20.2,0.2,0.3,12.5,,53.1,269.9,0.0
10/01/2022 02:13:00.000000,13.4,0.808,,20.2,0.22,0.3,13.0,,53.1,274.5,0.0
10/01/2022 02:14:00.000000,14.1,0.808,,20.2,0.25,0.4,13.7,,53.1,271.1,0.0
10/01/2022 02:15:00.000000,14.8,0.808,,20.2,0.3,0.4,14.3,,53.1,277.1,0.0
10/01/2022 02:16:00.000000,14.9,0.808,,20.2,0.31,0.5,14.4,,53.1,279.7,0.0
10/01/2022 02:17:00.000000,14.8,0.808,,20.2,0.31,0.5,14.2,,53.1,286.4,0.0
