InstrumentName, I-25 Globeville,
StartTime, 2022-09-01 00:00:00,
EndTime, 2022-09-30 23:59:59,
Date,NO2,PM2.5
09/01/2022 00:00:00.000000,28.0,5.5
09/01/2022 01:00:00.000000,30.0,6.5
09/01/2022 02:00:00.000000,42.0,5.6
09/01/2022 03:00:00.000000,25.0,5.5
09/01/2022 04:00:00.000000,,6.7
09/01/2022 05:00:00.000000,33.0,8.5
09/01/2022 06:00:00.000000,23.0,8.2
09/01/2022 07:00:00.000000,22.0,8.0
09/01/2022 08:00:00.000000,23.0,
09/01/2022 09:00:00.000000,27.0,7.8
09/01/2022 10:00:00.000000,27.0,7.7
09/01/2022 11:00:00.000000,36.0,9.2
09/01/2022 12:00:00.000000,43.0,8.5
09/01/2022 13:00:00.000000,43.0,12.7
09/01/2022 14:00:00.000000,37.0,11.3
09/01/2022 15:00:00.000000,32.0,10.3
09/01/2022 16:00:00.000000,35.0,10.7
09/01/2022 17:00:00.000000,24.0,9.5
09/01/2022 18:00:00.000000,23.0,5.4
09/01/2022 19:00:00.000000,23.0,6.7
09/01/2022 20:00:00.000000,26.0,6.8
09/01/2022 21:00:00.000000,24.0,6.6
09/01/2022 22:00:00.000000,18.0,6.1
09/01/2022 23:00:00.000000,14.0,4.3
09/02/2022 00:00:00.000000,34.0,5.9
09/02/2022 01:00:00.000000,16.0,5.5
09/02/2022 02:00:00.000000,41.0,6.4
09/02/2022 03:00:00.000000,44.0,7.9
09/02/2022 04:00:00.000000,,6.9
09/02/2022 05:00:00.000000,17.0,6.8
09/02/2022 06:00:00.000000,22.0,6.9
09/02/2022 07:00:00.000000,,6.8
09/02/2022 09:00:00.000000,32.0,8.4
09/02/2022 10:00:00.000000,36.0,9.6
09/02/2022 11:00:00.000000,38.0,11.9
09/02/2022 12:00:00.000000,38.0,13.6
09/02/2022 13:00:00.000000,42.0,14.5
09/02/2022 14:00:00.000000,43.0,14.8
09/02/2022 15:00:00.000000,48.0,15.5
09/02/2022 16:00:00.000000,37.0,11.2
09/02/2022 17:00:00.000000,18.0,7.3
09/02/2022 18:00:00.000000,11.0,7.9
09/02/2022 19:00:00.000000,9.0,8.1
09/02/2022 20:00:00.000000,7.0,7.0
09/02/2022 21:00:00.000000,18.0,7.7
09/02/2022 22:00:00.000000,17.0,5.5
09/02/2022 23:00:00.000000,25.0,5.6
09/03/2022 00:00:00.000000,11.0,5.0
09/03/2022 01:00:00.000000,7.0,6.3
09/03/2022 02:00:00.000000,16.0,19.0
09/03/2022 03:00:00.000000,4.0,6.0
09/03/2022 04:00:00.000000,,3.6
09/03/2022 05:00:00.000000,5.0,2.1
09/03/2022 06:00:00.000000,7.0,3.4
09/03/2022 07:00:00.000000,,3.8
09/03/2022 09:00:00.000000,14.0,3.0
09/03/2022 10:00:00.000000,20.0,3.6
09/03/2022 11:00:00.000000,23.0,4.4
09/03/2022 12:00:00.000000,23.0,7.4
09/03/2022 13:00:00.000000,23.0,11.1
09/03/2022 14:00:00.000000,19.0,11.4
09/03/2022 15:00:00.000000,12.0,10.0
09/03/2022 16:00:00.000000,19.0,9.7
09/03/2022 17:00:00.000000,15.0,7.9
09/03/2022 18:00:00.000000,6.0,5.8
09/03/2022 19:00:00.000000,4.0,2.4
09/03/2022 20:00:00.000000,3.0,2.1
09/03/2022 21:00:00.000000,3.0,2.5
09/03/2022 22:00:00.000000,2.0,2.8
09/03/2022 23:00:00.000000,3.0,3.2
09/04/2022 00:00:00.000000,4.0,3.1
09/04/2022 01:00:00.000000,9.0,3.9
09/04/2022 02:00:00.000000,6.0,3.4
09/04/2022 03:00:00.000000,7.0,3.3
09/04/2022 04:00:00.000000,,3.4
09/04/2022 05:00:00.000000,28.0,4.8
09/04/2022 06:00:00.000000,23.0,5.0
09/04/2022 07:00:00.000000,,4.5
09/04/2022 09:00:00.000000,21.0,7.7
09/04/2022 10:00:00.000000,25.0,8.8
09/04/2022 11:00:00.000000,28.0,9.4
09/04/2022 12:00:00.000000,37.0,10.5
09/04/2022 13:00:00.000000,31.0,8.9
09/04/2022 14:00:00.000000,23.0,7.7
09/04/2022 15:00:00.000000,16.0,6.8
09/04/2022 16:00:00.000000,9.0,5.8
09/04/2022 17:00:00.000000,9.0,4.9
09/04/2022 18:00:00.000000,10.0,3.8
09/04/2022 19:00:00.000000,7.0,3.6
09/04/2022 20:00:00.000000,6.0,3.4
09/04/2022 21:00:00.000000,9.0,3.6
09/04/2022 22:00:00.000000,11.0,3.5
09/04/2022 23:00:00.000000,11.0,4.2
09/05/2022 00:00:00.000000,8.0,3.4
09/05/2022 01:00:00.000000,7.0,4.2
09/05/2022 02:00:00.000000,33.0,8.0
09/05/2022 03:00:00.000000,47.0,8.7
09/05/2022 04:00:00.000000,,8.9
09/05/2022 05:00:00.000000,19.0,6.6
09/05/2022 06:00:00.000000,25.0,7.7
09/05/2022 07:00:00.000000,,7.5
09/05/2022 10:00:00.000000,13.0,7.1
09/05/2022 11:00:00.000000,18.0,8.2
09/05/2022 12:00:00.000000,19.0,7.5
09/05/2022 13:00:00.000000,20.0,7.2
09/05/2022 14:00:00.000000,25.0,7.3
09/05/2022 15:00:00.000000,21.0,6.3
09/05/2022 16:00:00.000000,16.0,5.5
09/05/2022 17:00:00.000000,11.0,5.3
09/05/2022 18:00:00.000000,5.0,4.4
09/05/2022 19:00:00.000000,8.0,5.1
09/05/2022 20:00:00.000000,9.0,4.5
09/05/2022 21:00:00.000000,7.0,4.0
09/05/2022 22:00:00.000000,15.0,4.1
09/05/2022 23:00:00.000000,22.0,3.8
09/06/2022 00:00:00.000000,23.0,3.7
09/06/2022 01:00:00.000000,35.0,6.8
09/06/2022 02:00:00.000000,21.0,5.9
09/06/2022 03:00:00.000000,20.0,5.1
09/06/2022 04:00:00.000000,,6.0
09/06/2022 05:00:00.000000,18.0,5.7
09/06/2022 06:00:00.000000,12.0,5.7
09/06/2022 07:00:00.000000,,5.6
09/06/2022 09:00:00.000000,23.0,6.5
09/06/2022 10:00:00.000000,27.0,8.0
09/06/2022 11:00:00.000000,34.0,8.8
09/06/2022 12:00:00.000000,44.0,12.1
09/06/2022 13:00:00.000000,47.0,11.3
09/06/2022 14:00:00.000000,45.0,12.0
09/06/2022 15:00:00.000000,46.0,12.9
09/06/2022 16:00:00.000000,38.0,10.2
09/06/2022 17:00:00.000000,20.0,8.0
09/06/2022 18:00:00.000000,17.0,10.0
09/06/2022 19:00:00.000000,16.0,10.8
09/06/2022 20:00:00.000000,21.0,11.4
09/06/2022 21:00:00.000000,,11.0
09/06/2022 22:00:00.000000,16.0,9.4
09/06/2022 23:00:00.000000,15.0,10.1
09/07/2022 00:00:00.000000,16.0,11.0
09/07/2022 01:00:00.000000,44.0,16.4
09/07/2022 02:00:00.000000,45.0,16.4
09/07/2022 03:00:00.000000,49.0,16.7
09/07/2022 04:00:00.000000,,17.1
09/07/2022 05:00:00.000000,37.0,17.2
09/07/2022 06:00:00.000000,45.0,20.0
09/07/2022 07:00:00.000000,,18.4
09/07/2022 09:00:00.000000,27.0,20.4
09/07/2022 10:00:00.000000,30.0,18.8
09/07/2022 11:00:00.000000,38.0,16.7
09/07/2022 12:00:00.000000,44.0,24.0
09/07/2022 13:00:00.000000,48.0,19.6
09/07/2022 14:00:00.000000,41.0,18.0
09/07/2022 15:00:00.000000,39.0,16.7
09/07/2022 16:00:00.000000,35.0,16.8
09/07/2022 17:00:00.000000,,13.2
09/07/2022 18:00:00.000000,39.0,14.3
09/07/2022 19:00:00.000000,32.0,10.8
09/07/2022 20:00:00.000000,24.0,8.2
09/07/2022 21:00:00.000000,19.0,7.9
09/07/2022 22:00:00.000000,11.0,10.0
09/07/2022 23:00:00.000000,7.0,10.0
09/08/2022 00:00:00.000000,8.0,11.1
09/08/2022 01:00:00.000000,11.0,10.9
09/08/2022 02:00:00.000000,10.0,11.3
09/08/2022 03:00:00.000000,8.0,11.7
09/08/2022 04:00:00.000000,,11.7
09/08/2022 05:00:00.000000,7.0,11.7
09/08/2022 06:00:00.000000,4.0,11.4
09/08/2022 07:00:00.000000,,11.3
09/08/2022 09:00:00.000000,14.0,12.0
09/08/2022 10:00:00.000000,22.0,13.7
09/08/2022 11:00:00.000000,30.0,14.6
09/08/2022 12:00:00.000000,45.0,16.2
09/08/2022 13:00:00.000000,53.0,18.3
09/08/2022 14:00:00.000000,51.0,19.9
09/08/2022 15:00:00.000000,52.0,18.7
09/08/2022 16:00:00.000000,41.0,14.9
09/08/2022 17:00:00.000000,18.0,13.2
09/08/2022 18:00:00.000000,24.0,8.6
09/08/2022 19:00:00.000000,18.0,10.6
09/08/2022 20:00:00.000000,34.0,11.0
09/08/2022 21:00:00.000000,19.0,6.7
09/08/2022 22:00:00.000000,16.0,10.7
09/08/2022 23:00:00.000000,11.0,8.9
09/09/2022 00:00:00.000000,38.0,10.6
09/09/2022 01:00:00.000000,15.0,10.2
09/09/2022 02:00:00.000000,23.0,9.5
09/09/2022 03:00:00.000000,33.0,11.2
09/09/2022 04:00:00.000000,,9.8
09/09/2022 05:00:00.000000,28.0,10.6
09/09/2022 06:00:00.000000,13.0,40.4
09/09/2022 07:00:00.000000,,25.3
09/09/2022 09:00:00.000000,9.0,21.9
09/09/2022 10:00:00.000000,10.0,20.7
09/09/2022 11:00:00.000000,10.0,20.4
09/09/2022 12:00:00.000000,13.0,19.7
09/09/2022 13:00:00.000000,12.0,14.8
09/09/2022 14:00:00.000000,13.0,15.6
09/09/2022 15:00:00.000000,16.0,17.6
09/09/2022 16:00:00.000000,25.0,19.5
09/09/2022 17:00:00.000000,27.0,20.7
09/09/2022 18:00:00.000000,35.0,25.5
09/09/2022 19:00:00.000000,27.0,19.9
09/09/2022 20:00:00.000000,31.0,20.7
09/09/2022 21:00:00.000000,26.0,20.4
09/09/2022 22:00:00.000000,25.0,18.1
09/09/2022 23:00:00.000000,23.0,15.9
09/10/2022 00:00:00.000000,28.0,16.4
09/10/2022 01:00:00.000000,8.0,12.5
09/10/2022 02:00:00.000000,5.0,12.0
09/10/2022 03:00:00.000000,6.0,12.2
09/10/2022 04:00:00.000000,,9.2
09/10/2022 05:00:00.000000,5.0,7.3
09/10/2022 06:00:00.000000,3.0,3.6
09/10/2022 07:00:00.000000,,6.3
09/10/2022 09:00:00.000000,4.0,7.5
09/10/2022 10:00:00.000000,3.0,5.3
09/10/2022 11:00:00.000000,3.0,4.5
09/10/2022 12:00:00.000000,4.0,3.9
09/10/2022 13:00:00.000000,5.0,2.1
09/10/2022 14:00:00.000000,5.0,2.1
09/10/2022 15:00:00.000000,5.0,1.5
09/10/2022 16:00:00.000000,6.0,2.2
09/10/2022 17:00:00.000000,8.0,2.9
09/10/2022 18:00:00.000000,9.0,2.4
09/10/2022 19:00:00.000000,8.0,2.3
09/10/2022 20:00:00.000000,5.0,1.8
09/10/2022 21:00:00.000000,7.0,1.6
09/10/2022 22:00:00.000000,10.0,1.6
09/10/2022 23:00:00.000000,5.0,0.9
09/11/2022 00:00:00.000000,5.0,1.2
09/11/2022 01:00:00.000000,15.0,2.3
09/11/2022 02:00:00.000000,17.0,2.9
09/11/2022 03:00:00.000000,17.0,3.6
09/11/2022 04:00:00.000000,,5.4
09/11/2022 05:00:00.000000,20.0,7.1
09/11/2022 06:00:00.000000,20.0,7.8
09/11/2022 07:00:00.000000,,6.7
09/11/2022 09:00:00.000000,12.0,10.4
09/11/2022 10:00:00.000000,13.0,11.1
09/11/2022 11:00:00.000000,12.0,10.5
09/11/2022 12:00:00.000000,15.0,10.0
09/11/2022 13:00:00.000000,16.0,9.4
09/11/2022 14:00:00.000000,,9.8
09/11/2022 15:00:00.000000,16.0,10.9
09/11/2022 16:00:00.000000,16.0,11.3
09/11/2022 17:00:00.000000,16.0,10.3
09/11/2022 18:00:00.000000,15.0,8.5
09/11/2022 19:00:00.000000,13.0,7.1
09/11/2022 20:00:00.000000,9.0,5.1
09/11/2022 21:00:00.000000,12.0,5.9
09/11/2022 22:00:00.000000,15.0,4.6
09/11/2022 23:00:00.000000,19.0,5.3
09/12/2022 00:00:00.000000,25.0,5.6
09/12/2022 01:00:00.000000,,8.7
09/12/2022 02:00:00.000000,75.0,12.8
09/12/2022 03:00:00.000000,63.0,15.5
09/12/2022 04:00:00.000000,,15.8
09/12/2022 05:00:00.000000,36.0,12.1
09/12/2022 06:00:00.000000,36.0,11.2
09/12/2022 07:00:00.000000,,12.1
09/12/2022 09:00:00.000000,33.0,10.8
09/12/2022 10:00:00.000000,29.0,10.4
09/12/2022 11:00:00.000000,33.0,11.6
09/12/2022 12:00:00.000000,36.0,13.8
09/12/2022 13:00:00.000000,40.0,16.5
09/12/2022 14:00:00.000000,44.0,16.7
09/12/2022 15:00:00.000000,46.0,21.2
09/12/2022 16:00:00.000000,42.0,12.3
09/12/2022 17:00:00.000000,31.0,9.6
09/12/2022 18:00:00.000000,18.0,8.9
09/12/2022 19:00:00.000000,8.0,5.0
09/12/2022 20:00:00.000000,,6.5
09/12/2022 21:00:00.000000,10.0,5.4
09/12/2022 22:00:00.000000,17.0,6.4
09/12/2022 23:00:00.000000,12.0,6.6
09/13/2022 00:00:00.000000,11.0,5.9
09/13/2022 01:00:00.000000,28.0,7.8
09/13/2022 02:00:00.000000,,12.1
09/13/2022 03:00:00.000000,50.0,12.7
09/13/2022 04:00:00.000000,,14.7
09/13/2022 05:00:00.000000,46.0,15.2
09/13/2022 06:00:00.000000,39.0,13.4
