"","model_name","EVAL_SITE","CORR_SITE","COR","RMSE","BIAS"
"1","I-25 Denver State Site CAMP State Site lm age","I-25 Denver State Site.csv","CAMP State Site lm age",0.798724900899407,5.49704597475612,-3.77473932440159
"2","I-25 Globeville State Site CAMP State Site lm age","I-25 Globeville State Site.csv","CAMP State Site lm age",0.82856913473407,4.61531743762231,-0.361463340375117
"3","La Casa State Site CAMP State Site lm age","La Casa State Site.csv","CAMP State Site lm age",0.902525253169104,3.40551651912829,-1.31105767130631
"4","National Jewish Health State Site CAMP State Site lm age","National Jewish Health State Site.csv","CAMP State Site lm age",0.90965411579397,3.35159271721616,-1.65648327293219
"5","Swansea GRIMM CAMP State Site lm age","Swansea GRIMM.csv","CAMP State Site lm age",0.732250605641514,5.22490230560735,-1.62297074946145
"6","I-25 Denver State Site CAMP State Site lm all","I-25 Denver State Site.csv","CAMP State Site lm all",0.800746701554474,5.44509193790392,-3.72230686934417
"7","I-25 Globeville State Site CAMP State Site lm all","I-25 Globeville State Site.csv","CAMP State Site lm all",0.827278858757612,4.62928440591703,-0.304553103283382
"8","La Casa State Site CAMP State Site lm all","La Casa State Site.csv","CAMP State Site lm all",0.908335680031788,3.30969645027093,-1.27815488041362
"9","National Jewish Health State Site CAMP State Site lm all","National Jewish Health State Site.csv","CAMP State Site lm all",0.91357089606677,3.29072354442232,-1.62133828285326
"10","Swansea GRIMM CAMP State Site lm all","Swansea GRIMM.csv","CAMP State Site lm all",0.735708210921626,5.18025622032665,-1.57670149627368
"11","I-25 Denver State Site CAMP State Site lm met","I-25 Denver State Site.csv","CAMP State Site lm met",0.807657311588242,5.00412224679908,-3.13277675255433
"12","I-25 Globeville State Site CAMP State Site lm met","I-25 Globeville State Site.csv","CAMP State Site lm met",0.82231854385365,4.69109107908711,0.17250264153083
"13","La Casa State Site CAMP State Site lm met","La Casa State Site.csv","CAMP State Site lm met",0.914994904907231,3.09169830737462,-0.8748190395653
"14","National Jewish Health State Site CAMP State Site lm met","National Jewish Health State Site.csv","CAMP State Site lm met",0.923644119180692,3.04828233132761,-1.30750244583046
"15","Swansea GRIMM CAMP State Site lm met","Swansea GRIMM.csv","CAMP State Site lm met",0.767371975889397,4.92266641409956,-1.56066880553175
"16","I-25 Denver State Site CAMP State Site lm pm_raw","I-25 Denver State Site.csv","CAMP State Site lm pm_raw",0.807309080635618,4.39211322732414,-1.990521113858
"17","I-25 Globeville State Site CAMP State Site lm pm_raw","I-25 Globeville State Site.csv","CAMP State Site lm pm_raw",0.835627783459356,4.65632029584899,-0.622855017911188
"18","La Casa State Site CAMP State Site lm pm_raw","La Casa State Site.csv","CAMP State Site lm pm_raw",0.920725308903908,3.50939795066693,-1.84004315023505
"19","National Jewish Health State Site CAMP State Site lm pm_raw","National Jewish Health State Site.csv","CAMP State Site lm pm_raw",0.922491017908213,3.23732224081993,-1.48926411305544
"20","Swansea GRIMM CAMP State Site lm pm_raw","Swansea GRIMM.csv","CAMP State Site lm pm_raw",0.767238448406976,4.97205684454896,-1.63631275360277
"21","I-25 Denver State Site CAMP State Site lm pm10_all","I-25 Denver State Site.csv","CAMP State Site lm pm10_all",0.794905342321413,5.23511826264641,-3.33375614635759
"22","I-25 Globeville State Site CAMP State Site lm pm10_all","I-25 Globeville State Site.csv","CAMP State Site lm pm10_all",0.819917777017971,4.71280911837409,0.297336569096898
"23","La Casa State Site CAMP State Site lm pm10_all","La Casa State Site.csv","CAMP State Site lm pm10_all",0.901499090093259,3.21278768652542,-0.58623322398096
"24","National Jewish Health State Site CAMP State Site lm pm10_all","National Jewish Health State Site.csv","CAMP State Site lm pm10_all",0.908709148783508,3.10251636685997,-1.03358321276258
"25","Swansea GRIMM CAMP State Site lm pm10_all","Swansea GRIMM.csv","CAMP State Site lm pm10_all",0.708540085473835,5.33756279693299,-1.35309030389015
"26","I-25 Denver State Site CAMP State Site lm pm10","I-25 Denver State Site.csv","CAMP State Site lm pm10",0.800549059258529,4.86623716266281,-2.81089583399255
"27","I-25 Globeville State Site CAMP State Site lm pm10","I-25 Globeville State Site.csv","CAMP State Site lm pm10",0.815585515890947,4.81885325529541,0.758090581155242
"28","La Casa State Site CAMP State Site lm pm10","La Casa State Site.csv","CAMP State Site lm pm10",0.904546090002712,3.12042553847369,-0.170764871442268
"29","National Jewish Health State Site CAMP State Site lm pm10","National Jewish Health State Site.csv","CAMP State Site lm pm10",0.91582483123599,2.93001399191946,-0.710633177196979
"30","Swansea GRIMM CAMP State Site lm pm10","Swansea GRIMM.csv","CAMP State Site lm pm10",0.736205865753703,5.10259775659505,-1.32410727956277
"31","I-25 Denver State Site CAMP State Site lm smoke","I-25 Denver State Site.csv","CAMP State Site lm smoke",0.809351002192658,4.96043669890012,-3.08246978476444
"32","I-25 Globeville State Site CAMP State Site lm smoke","I-25 Globeville State Site.csv","CAMP State Site lm smoke",0.819867622675104,4.7247277867683,0.227975873386542
"33","La Casa State Site CAMP State Site lm smoke","La Casa State Site.csv","CAMP State Site lm smoke",0.920175282956386,3.01027458956634,-0.843428460769676
"34","National Jewish Health State Site CAMP State Site lm smoke","National Jewish Health State Site.csv","CAMP State Site lm smoke",0.92699942522704,2.99976588658598,-1.27334762892426
"35","Swansea GRIMM CAMP State Site lm smoke","Swansea GRIMM.csv","CAMP State Site lm smoke",0.77085183974741,4.88237467968726,-1.51358110121794
"36","I-25 Denver State Site CAMP State Site rft age","I-25 Denver State Site.csv","CAMP State Site rft age",0.732055154441476,5.03008156899526,-1.9699824283557
"37","I-25 Globeville State Site CAMP State Site rft age","I-25 Globeville State Site.csv","CAMP State Site rft age",0.771167052734617,5.22575800017391,-0.0447425015653069
"38","La Casa State Site CAMP State Site rft age","La Casa State Site.csv","CAMP State Site rft age",0.868490093018647,3.7718174975652,-1.06190689751713
"39","National Jewish Health State Site CAMP State Site rft age","National Jewish Health State Site.csv","CAMP State Site rft age",0.86034520378171,3.65592294478898,-0.840772919272173
"40","Swansea GRIMM CAMP State Site rft age","Swansea GRIMM.csv","CAMP State Site rft age",0.668397741227138,5.66003978078143,-1.3695914319231
"41","I-25 Denver State Site CAMP State Site rft all","I-25 Denver State Site.csv","CAMP State Site rft all",0.725063255305245,5.27844685035953,-2.21665644045492
"42","I-25 Globeville State Site CAMP State Site rft all","I-25 Globeville State Site.csv","CAMP State Site rft all",0.775748461040693,5.19598178784951,-0.208245930625094
"43","La Casa State Site CAMP State Site rft all","La Casa State Site.csv","CAMP State Site rft all",0.860071211734811,3.93764283435833,-1.20158011092947
"44","National Jewish Health State Site CAMP State Site rft all","National Jewish Health State Site.csv","CAMP State Site rft all",0.854357134818027,3.78720556798415,-0.97295932214503
"45","Swansea GRIMM CAMP State Site rft all","Swansea GRIMM.csv","CAMP State Site rft all",0.691604188213013,5.61942746595809,-1.62513568179962
"46","I-25 Denver State Site CAMP State Site rft met","I-25 Denver State Site.csv","CAMP State Site rft met",0.731198654803942,5.07307764071949,-2.1509771510754
