,model_name,COR,RMSE,MAE,BIAS
1,I-25 Denver State Site CAMP State Site lm age,0.780486596,5.686911708,4.361536461,-3.752397157
2,I-25 Globeville State Site CAMP State Site lm age,0.79535168,5.187142415,2.746440418,-0.30975251
3,La Casa State Site CAMP State Site lm age,0.903058244,3.438160151,2.432303619,-1.313391168
4,National Jewish Health State Site CAMP State Site lm age,0.909351684,3.389635948,2.537590155,-1.647208505
5,Swansea GRIMM CAMP State Site lm age,0.720081974,5.367008375,3.614508943,-1.631558254
6,I-25 Denver State Site CAMP State Site lm all,0.782421706,5.634784746,4.308505583,-3.697814062
7,I-25 Globeville State Site CAMP State Site lm all,0.794158413,5.199137763,2.745057669,-0.251490277
8,La Casa State Site CAMP State Site lm all,0.908822843,3.341809618,2.37311357,-1.279652306
9,National Jewish Health State Site CAMP State Site lm all,0.913272862,3.328546805,2.49652309,-1.611360255
10,Swansea GRIMM CAMP State Site lm all,0.723240263,5.320754205,3.587228467,-1.581620908
11,I-25 Denver State Site CAMP State Site lm met,0.789251985,5.200599447,3.789634015,-3.09348097
12,I-25 Globeville State Site CAMP State Site lm met,0.790056554,5.250801945,2.75317529,0.240947189
13,La Casa State Site CAMP State Site lm met,0.915561088,3.12200861,2.137477486,-0.870641891
14,National Jewish Health State Site CAMP State Site lm met,0.923314129,3.088770105,2.236860542,-1.296742549
15,Swansea GRIMM CAMP State Site lm met,0.75604545,5.046076812,3.393102081,-1.566981891
16,I-25 Denver State Site CAMP State Site lm pm_raw,0.789040649,4.633723082,3.007892633,-1.983245344
17,I-25 Globeville State Site CAMP State Site lm pm_raw,0.80397814,5.19747715,2.790341627,-0.591509278
18,La Casa State Site CAMP State Site lm pm_raw,0.920741048,3.543150692,2.633342191,-1.835533837
19,National Jewish Health State Site CAMP State Site lm pm_raw,0.921615259,3.285926809,2.364733529,-1.480503706
20,Swansea GRIMM CAMP State Site lm pm_raw,0.754517028,5.120873525,3.553402095,-1.725035258
21,I-25 Denver State Site CAMP State Site lm smoke,0.790887181,5.157227855,3.739407418,-3.041060435
22,I-25 Globeville State Site CAMP State Site lm smoke,0.787787564,5.280731505,2.770828891,0.297716646
23,La Casa State Site CAMP State Site lm smoke,0.920705534,3.040330325,2.084410501,-0.838429225
24,National Jewish Health State Site CAMP State Site lm smoke,0.926685452,3.040188883,2.202351693,-1.261874908
