"","Site","ID.x","SensorType","School","Sensor.Start.Date","Major.Roadways","Neighborhood","ID.y","DIR","LENGTH","DIST","TYPE","FACILITY_T","LANE","LANEAB","LANEBA","USE","SPEED_LIMI","AREA_TYPE","ZONE","FFSPEED","FFTIME","CAPACITY","CNTY_CODE","COUNTY","EMAT_SUBAR","EMAT_EQUIT","EMAT_DWTND","EMAT_DENVE","TOT_DYFLOW","TAZ_CNTY","ids","distances","geometry"
"1","Adams Birch Street","Adams Birch Street","Airnow","","","","",22401,0,0.795145,0.795145,1,3,2,2,2,0,45,3,1324,37,1.289424,1600,"De",31,"Denver Globevill",1,0,1,28000,"Denver",4158,3714.79535216647,c(-104.936449, 39.828118)
"2","Adams County Building","Adams County Building","Airnow","","","","",22401,0,0.795145,0.795145,1,3,2,2,2,0,45,3,1324,37,1.289424,1600,"De",31,"Denver Globevill",1,0,1,28000,"Denver",4158,3759.7535991644,c(-104.938288, 39.828547)
"3","I 70 Viaduct","ADGWF7NQ_3.3","Clarity","","19-Dec","","",43891,1,0.426609,0.426609,1,1,3,3,NA,0,55,3,1325,55,0.465392,6000,"De",31,"Denver Globevill",1,0,1,82000,"Denver",4738,151.920846804722,c(-104.9461708, 39.7815066)
"4","I 70 Viaduct","AHHQ76RH_3.6","Clarity","","19-Dec","","",43900,1,0.362875,0.362875,1,1,3,3,NA,0,55,3,1327,55,0.395864,6000,"De",31,"Denver Globevill",1,0,1,88000,"Denver",4742,11.2791572729931,c(-104.955461, 39.78000184)
"5","I 70 Viaduct","AQFDY030_3.1","Clarity","","19-Dec","","",9177,1,0.043061,0.043061,1,5,2,2,NA,0,35,3,1329,30,0.086121,1000,"De",31,"Denver Globevill",1,0,1,15000,"Denver",3392,88.8717343383516,c(-104.9657226, 39.77898614)
"6","AUL Denver","AUL Denver (AJGLJY0D_3.5)","Clarity","High","19-Dec","I25","Highland",8760,0,0.122092,0.122092,1,4,2,2,2,0,30,3,1306,28,0.261625,1200,"De",31,"Denver Northwest",0,0,1,8000,"Denver",1932,37.7182007025838,c(-105.01644, 39.75875)
"7","AUL Denver","AUL Denver New (A06KSDHR)","Clarity","High","22-Jan","","",8760,0,0.122092,0.122092,1,4,2,2,2,0,30,3,1306,28,0.261625,1200,"De",31,"Denver Northwest",0,0,1,8000,"Denver",1932,37.7182007025838,c(-105.01644, 39.75875)
"8","Boulder-CU","Boulder-CU/Athens","Airnow","","","","",8498,0,0.438346,0.438346,1,5,1,1,1,0,30,4,1279,25,1.05203,500,"Je",59,"Denver Northwest",0,0,1,3000,"Denver",1645,29926.3814976316,c(-105.26721, 40.012969)
"9","Bruce Randolph School","Bruce Randolph (CS19)","Lunar","Middle/High","19-Jun","","Clayton",9275,0,0.144957,0.144957,1,5,1,1,1,0,25,3,1338,20,0.434872,450,"De",31,"Denver North Cen",1,0,1,3000,"Denver",3261,135.569920646903,c(-104.95147, 39.77169)
"10","CAMP State Site","CAMP","Airnow","","","","",33557,0,0.058096,0.058096,1,3,2,2,2,0,30,1,1710,28,0.12449,1200,"De",31,"Denver Downtown",1,1,1,43000,"Denver",671,11.7065657679189,c(-104.98753, 39.75118)
